tweet,id,date,time,username,replies_count,retweets_count,likes_count
Congratulations to Mary Rowland on being confirmed by the U.S. Senate today as the first #LGBTQ District Judge for the Northern District of Illinois!,1156678779986763776,2019-07-31,21:31:25,senduckworth,13,82,813
"The Trump Administration must abandon its reported plans to end protections against the deportation of military families, which would threaten our military readiness and national security. https://twitter.com/NBCNightlyNews/status/1155515759751098368 …",1156219935154212864,2019-07-30,15:08:08,senduckworth,24,239,639
"As a Congresswoman, I had the privilege of working alongside @RepCummings - a true public servant & man of integrity devoted to making his community & our nation a better place for all Americans. We all must reject Donald Trump's efforts to divide us with his angry rants. https://twitter.com/RepCummings/status/1155132215208161281 …",1155683601952006144,2019-07-29,03:36:56,senduckworth,106,395,2583
"It truly breaks my heart that these children were forced to grow up unable to speak with their parents. 

No child should EVER have to suffer like this because a government agency isn’t doing its job.
 
We owe it to the children of Illinois to do better. https://twitter.com/ProPublicaIL/status/1151837526212173824 …",1155482463688417280,2019-07-28,14:17:41,senduckworth,31,143,599
"The Trump Administration’s efforts to deport Veterans and proposals to deport military families are a direct threat to military readiness—& it’s senseless & counterproductive too.

I wrote legislation to prevent this from happening. Read about it here: https://www.duckworth.senate.gov/news/press-releases/one-year-after-trump-administration-deported-illinois-veteran-duckworth-re-introduces-comprehensive-bill-package-to-protect-veterans-and-servicemembers-from-unfair-treatment …",1155110639687405569,2019-07-27,13:40:12,senduckworth,11,196,588
Mr. Sabal is a Veteran who served honorably for 6yrs & wants to become a citizen of the country he was willing to sacrifice for. It’s outrageous he's being denied entry in order to attend his citizenship interview. He must be allowed to attend so he can reunite w/his kids+partner https://twitter.com/thehill/status/1151189274982834176 …,1155110636424245249,2019-07-27,13:40:11,senduckworth,40,621,1385
"It’s been two years since Trump tweeted that he would no longer allow transgender servicemembers to serve in the military.

If you’re willing and able to sacrifice for our country, you should be able to serve no matter your gender identity or sexual orientation. Full stop. pic.twitter.com/hsQMMWtETY",1154909123106021376,2019-07-27,00:19:26,senduckworth,49,372,1543
"Nothing is more important than protecting our children, which is why I’m proud to be re-introducing the School Bus Safety Act with @RepCohen to help prevent accidents, make accidents less severe and implement other commonsense safety recommendations that will save lives.",1154863890540498944,2019-07-26,21:19:42,senduckworth,5,32,242
"No parent should have to worry about the safety of their children when they get on a school bus, but school buses often lack seat belts and other basic safety equipment that every parent demands.",1154863887981993990,2019-07-26,21:19:41,senduckworth,7,32,295
I’m proud to work with @SenCasey and my colleagues on this important legislation to strengthen the #ADA and give Americans with disabilities increased opportunity to fully participate in our society.,1154786253520482307,2019-07-26,16:11:12,senduckworth,2,28,182
"With the Americans with Disabilities Act turning 29 this week, I re-introduced legislation to help more businesses comply w/this landmark legislation. My bill is a common-sense alternative to misguided efforts that would roll back hard-earned protections for ppl w/disabilities.",1154786251570077697,2019-07-26,16:11:11,senduckworth,5,76,286
"I’m proud to continue to work with @RepBobbyRush on the Blair Holt Firearm Licensing and Record of Sale Act to help prevent firearms from falling into the wrong hands.

We will keep pushing until our nation’s schools, offices & public spaces are safe from firearm violence.",1154768903039590401,2019-07-26,15:02:15,senduckworth,8,44,391
"I don’t want my daughters to have to grow up in a country that won’t protect them from firearm violence.

We owe it to the countless and growing number of firearm violence victims to take action.",1154768901563199489,2019-07-26,15:02:15,senduckworth,57,151,1313
"To every advocate, every organizer, every disabled American: know that I'll be right beside you fighting like hell to bring about a tomorrow where we don’t have to work so hard just to live our daily lives. 9/9",1154728524693102592,2019-07-26,12:21:48,senduckworth,10,54,309
"The truth is the ADA's benefits and protections will extend to all of us if we live long enough — it’s the human condition. 

That’s why it’s so important for everyone to work to protect the #ADA. 8/",1154728522356858880,2019-07-26,12:21:48,senduckworth,3,44,265
"At 61 million, we're beautifully diverse.
 
It’s a gift + a responsibility.
 
It means we have to fight for *everyone* with disabilities, whether they were born next door or in another country, whether they’re undocumented or disenfranchised or sick + needing care. 7/",1154728519706062849,2019-07-26,12:21:47,senduckworth,3,21,118
