tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Small businesses are the backbone of our economy, so on #SmallBusinessSaturday, I hope we all remember to #ShopSmall!",1200902165012897794,2019-11-30,22:19:22,senduckworth,5,24,130
Wishing a happy #Thanksgiving to all those celebrating this season! I am grateful to have a staff that gives back to their communities through acts of service. pic.twitter.com/95O1F9i46a,1200083185620672513,2019-11-28,16:05:02,senduckworth,12,49,298
"Ahead of #Thanksgiving, it's important to give back to your own community by volunteering just a few hours to those who may need it -- whether at a soup kitchen or in some other way. You can find local service opportunities yourself, too!  https://www2.illinois.gov/sites/serve/pages/default.aspx …",1199437575804637184,2019-11-26,21:19:37,senduckworth,11,26,96
"Yesterday, the former Secretary of the Navy *who Trump nominated and the Senate confirmed* accused POTUS of issuing an order that would have forced him to violate his oath to support and defend the US Constitution. This is a gravely serious accusation & it must be investigated.",1199084841419059201,2019-11-25,21:57:58,senduckworth,20,286,1040
"President George Washington wisely observed that “Discipline is the soul of an army.” By preventing the chain of command from maintaining good order and discipline, Donald Trump is weakening our armed forces and risks poisoning its soul.",1199084839946932226,2019-11-25,21:57:58,senduckworth,6,222,838
The @DeptofDefense Law of War Manual clearly states: “The respectful treatment of the dead is one of the oldest rules in the law of war.” It directs: “Enemy military dead must be protected from disrespectful or degrading acts” which includes “posing with bodies for photographs.”,1199084838483042304,2019-11-25,21:57:58,senduckworth,9,201,673
I’m disappointed @EsperDoD agrees with @realDonaldTrump that violating chapter 7.7 of the @DeptofDefense Law of War Manual (“Treatment and Handling of Enemy Military Dead”) does not warrant a reduction in rank. This threatens good order and discipline.,1199084837031874562,2019-11-25,21:57:57,senduckworth,96,1375,4413
"Chicago's Southeast Side residents have historically been exposed to dangerously high levels of toxins, which is why I led @SenatorDurbin & @RepRobinKelly in sending a letter to the EPA urging swift action to remediate soil contaminated by manganese. https://www.duckworth.senate.gov/news/press-releases/duckworth-durbin-and-kelly-urge-epa-to-act-on-dangerous-levels-of-soil-contamination-in-chicagos-southeast-side …",1199071896299593733,2019-11-25,21:06:32,senduckworth,2,22,95
It's unacceptable that the Trump Administration let the Violence Against Women Act expire. Congress must reinstate and expand #VAWA so every survivor in IL & across our nation has access to the services they need.,1199056255060455426,2019-11-25,20:04:23,senduckworth,7,48,179
"International Day for the Elimination of Violence Against Women is a moment to recognize the work that still needs to be done to make sure women feel safe & protected *everywhere*. Every survivor that has gone through the unimaginable, I'm thinking of you today.",1199056254150348802,2019-11-25,20:04:23,senduckworth,5,58,253
"W/ the Admin seeking to eliminate this critical funding entirely & make this problem worse, our new proposal will make important investments to reduce the critical repair backlog in public housing and keep families safe. Proud to join @SenKamalaHarris & @SenatorDurbin to intro it",1199014438046748674,2019-11-25,17:18:13,senduckworth,4,23,77
"It’s unacceptable that any Illinoisan—that any American—living in public housing finds themselves in units that are crumbling or unsafe. Kids & families rely on investments like these that help improve conditions, increase security & reduce homelessness. https://www.duckworth.senate.gov/news/press-releases/duckworth-durbin-introduce-bill-to-address-public-housing-crisis-in-east-st-louis-and-across-illinois …",1199014436608053249,2019-11-25,17:18:12,senduckworth,2,43,153
".@USCPSC should take swift action to ban crib bumpers. Allowing crib bumpers to be sold undermines the Commission’s own safe crib guidance that bare is best. So long as @USCPSC fails to act, I’ll work to pass the #SafeCribsAct to protect families in IL and throughout the country",1198989254342385665,2019-11-25,15:38:09,senduckworth,2,11,52
Crib bumpers threaten public health. Yet @USCPSC allows them to be sold to unwitting parents. This is unacceptable. That’s why I introduced a bill this summer to ban crib bumpers nationwide: the #SafeCribsAct https://www.duckworth.senate.gov/news/press-releases/legislation-to-protect-infants-from-deadly-crib-bumpers-introduced-in-senate-and-house …,1198989252454998022,2019-11-25,15:38:08,senduckworth,1,19,66
.@CDCgov and @AmerAcadPeds advise parents to NEVER place crib bumpers in a baby’s sleeping area to help prevent sudden infant death syndrome. https://twitter.com/maggieNYT/status/1198379431313711104 …,1198989249917456384,2019-11-25,15:38:07,senduckworth,2,30,90
"If you need help signing up for #OpenEnrollment, free help is available!

Visit  https://localhelp.HealthCare.gov  to find free in-person assistance near you.",1198271236658401283,2019-11-23,16:05:00,senduckworth,4,44,70
"Once again, I’m calling on McDonald’s to improve workplace conditions and protections. This is unacceptable and these workers deserve justice.

Read my letter to the new @McDonaldsCorp CEO here: pic.twitter.com/gZIgoW52rx",1198232669097746432,2019-11-23,13:31:45,senduckworth,10,22,143
"I met with @SEIULocal1 and McDonald’s employees yesterday in Chicago to discuss workplace abuse, harassment and retaliation. No person should be expected to work in an unsafe environment.",1198232660260376579,2019-11-23,13:31:42,senduckworth,4,22,185
I also introduced the National Runaway Prevention Month Resolution today – a push to shine a light on this issue and these stories. Read more here: https://www.duckworth.senate.gov/news/press-releases/duckworth-sullivan-durbin-scott-introduce-bipartisan-resolution-to-support-at-risk-youth-and-help-eliminate-homelessness …,1198020587140071424,2019-11-22,23:29:00,senduckworth,1,24,62
"During #NationalRunawayPreventionMonth and every month, we have to work to break the cycle of poverty, secure affordable housing and provide safe & supportive home environments for at-risk youth. pic.twitter.com/CLwdSkPJbh",1198020583583293442,2019-11-22,23:28:59,senduckworth,2,18,59
"Today, I visited @1800RUNAWAY in Chicago to learn about the important work they’re doing to support runaway youth, teens and their families. pic.twitter.com/NN0TWLDWEL",1198020571998670850,2019-11-22,23:28:57,senduckworth,2,17,80
No one willing to wear our uniform should be deported by the same nation they sacrificed to defend. No one serving overseas should worry that their loved ones at home will be deported by time they finish their mission. I'll keep working with orgs like these to support our heroes. pic.twitter.com/St8ZnZv7CU,1198009670125928449,2019-11-22,22:45:37,senduckworth,8,42,208
Today I joined @AILANational and Green Card Vets in Chicago to discuss my Veterans Day visit to Tijuana and my legislation to protect and support Veterans and servicemembers. Read more here: https://www.duckworth.senate.gov/news/press-releases/duckworth-hosts-chicago-roundtable-on-deported-veterans-and-supporting-immigrant-military-families …,1198009662026735617,2019-11-22,22:45:36,senduckworth,3,26,112
I’ll keep working to ensure IL receives the federal infrastructure funding it needs to keep our economy moving forward!,1197932033080733697,2019-11-22,17:37:07,senduckworth,4,11,72
"While we should be working to pass long-term funding measures instead of passing short-term continuing resolutions, I’m glad that the temporary funding bill the Senate passed yesterday will block more than $450M in cuts to federal funding for critical IL highway & bridge projects",1197932031604412416,2019-11-22,17:37:07,senduckworth,2,23,135
"Is your family insured? It’s easy to sign up for health care coverage – many people are able to pick a plan and enroll in a single visit.

Head to  http://healthcare.gov  to take part in this year's #OpenEnrollment and make sure you #GetCovered in 2020.",1197903757218078726,2019-11-22,15:44:46,senduckworth,2,37,59
"Generations of economic & racial inequality have exposed workers, low-income communities, communities of color & others to toxic pollution & climate threats.

Honored to chair @SenDemsClimate hearing on #EnvironmentalJustice earlier—let's #ActOnClimate & uplift these communities. pic.twitter.com/tQbB0Z5cBS",1197666217844195329,2019-11-22,00:00:52,senduckworth,7,40,147
"HBD, @Fermilab, which has helped lead the world in scientific & technological innovation for 52 yrs. This week, my bill to help prepare the next generation of students to work in our National Labs passed out of committee – one step closer to becoming law! https://www.duckworth.senate.gov/news/press-releases/bipartisan-duckworth-bill-to-help-national-labs-find-qualified-employees-passes-senate-committee …",1197644570126888962,2019-11-21,22:34:51,senduckworth,0,20,61
"A recent study found that *95%* of baby food tested had toxic heavy metals.

Today I sent a letter – along with 8 colleagues – to the @US_FDA asking them to take immediate action and ensure our nation’s baby and toddler food is safe. https://www.duckworth.senate.gov/news/press-releases/duckworth-leads-colleagues-in-sending-letter-to-fda-about-heavy-metals-in-baby-food …",1197634480774766594,2019-11-21,21:54:45,senduckworth,7,61,135
"Happy, happy birthday to my friend and mentor in the Senate, @SenatorDurbin. I hope you have a wonderful day! 🥳🎉",1197630937850417154,2019-11-21,21:40:41,senduckworth,14,51,878
"Happening now: I'm chairing a @SenDemsClimate hearing that features climate crisis experts—including @CEED_Justice, @StopToxics and @faithinplace—testifying and sharing ways to help the communities most impacted by the #climatecrisis. Watch here ⬇️ https://twitter.com/SenateDems/status/1197546259663462400 …",1197547487193645057,2019-11-21,16:09:04,senduckworth,8,34,101
"The climate crisis is real. It's widespread. It's happening now. And low income communities & communities of color in our country are disproportionately impacted. This morning, I'm chairing a @SenDemsClimate hearing to uplift their voices. Tune in here https://www.youtube.com/watch?v=8HglEfaKJhc&feature=youtu.be …",1197543682691387392,2019-11-21,15:53:57,senduckworth,9,31,113
This 👏 Is 👏 What 👏 Environmental 👏 Injustice 👏 Looks 👏 Like 👏 https://twitter.com/NPR/status/1196398421193711616 …,1197324615703564288,2019-11-21,01:23:28,senduckworth,7,178,575
"I'm glad my colleagues passed two of my bipartisan bills out of committee yesterday - one to help train Veterans for careers in the fast-growing solar, wind, nuclear and cyber energy industries & one to prepare the next generation of students to work at our National Laboratories.",1197291740941737991,2019-11-20,23:12:50,senduckworth,6,63,338
"As the stewards of the Great Lakes, water quality issues are front of mind for Illinoisans. Yesterday, I led a hearing in @EPWDems to advocate for every American's access to clean water & to say that we should strengthen the Clean Water Act, not roll back key protections. pic.twitter.com/JMAgBQeyPJ",1197269636582137856,2019-11-20,21:45:00,senduckworth,6,44,208
"Tomorrow's hearing will also continue my work as a leader of the Senate Environmental Justice Caucus, which I co-founded with @SenBooker & @SenatorCarper to uplift the voices of these communities & help address injustice.

You can read more about it here: https://www.duckworth.senate.gov/environmental-justice-caucus …",1197250497490702336,2019-11-20,20:28:57,senduckworth,0,10,54
"🚨 Tomorrow 🚨 I'm chairing a @SenDemsClimate hearing on Environmental Justice.

We'll hear about ways we can help communities of color and other disadvantaged communities that are disproportionately impacted by climate change. Tune in here: https://www.youtube.com/watch?v=8HglEfaKJhc&feature=youtu.be …",1197250494017785861,2019-11-20,20:28:56,senduckworth,4,21,89
"Today is #LatinaEqualPay day – signifying that, on average, it will take Latina women all of 2018 and until today to reach the same salary that white men made last year. Latina women need equal pay – families and communities suffer when women are not achieving economic security. pic.twitter.com/QyS1xfZyKG",1197230126381092864,2019-11-20,19:08:00,senduckworth,6,35,68
I’ve been calling for an investigation to be conducted for the community of Sauget — they deserve to know if their air is toxic. I’m encouraged by this announcement and will continue monitoring the situation. https://www.bnd.com/news/politics-government/article237556179.html …,1197207501298642945,2019-11-20,17:38:06,senduckworth,2,29,128
