tweet,id,date,time,username,replies_count,retweets_count,likes_count
"“No one in this country should be fearful of practicing their religion, yet that’s exactly what we’re witnessing. To enter a home and viciously stab five worshippers with a machete is an unthinkable act of terror, plain and simple.” https://www.feinstein.senate.gov/public/index.cfm/press-releases?id=459E2585-C38E-426B-8AA9-827E0461759E …",1211719645142683648,2019-12-30,18:44:10,senfeinstein,34,39,197
"“Saturday’s horrific attack at a rabbi’s home in Monsey, N.Y., was the latest in a string of anti-Semitic attacks in New York and New Jersey that should shake all of us to our core.”",1211719643938861057,2019-12-30,18:44:10,senfeinstein,55,72,498
Congressman John Lewis represents the very best of our country. I’ve long had great personal admiration for him—he's a hero who stood when others would sit on issues of justice and civility. I've always viewed him as one of the righteous. My love is with him and his family.,1211698136130957314,2019-12-30,17:18:42,senfeinstein,24,141,1208
"The census is a cornerstone of our democracy. It’s imperative that the #2020Census is fair and accurate, so I’m glad the Senate unanimously passed a resolution this month recognizing it’s importance. pic.twitter.com/vk4nCoKlhB",1211014958189830144,2019-12-28,20:04:00,senfeinstein,106,97,385
"Last week's funding package included reforms to the Low Income Housing Tax Credit, which incentivizes construction of affordable housing. It's vital for areas rebuilding after disasters. Towns like Paradise, Calif., devastated by wildfire last year, will benefit from its passage.",1210679749451927552,2019-12-27,21:52:00,senfeinstein,82,112,513
The FAA this week proposed a rule on remote identification of drones. This is a very important safety step to help identify drones that endanger aircraft (like those fighting wildfires) and at-risk locations. I look forward to a robust final rule. https://www.cnbc.com/2019/12/26/faa-remote-id-rule-for-drones-would-enable-tracking-identification.html …,1210652318691028992,2019-12-27,20:03:00,senfeinstein,39,66,258
"Homelessness isn’t just a California problem, it affects families across the United States. The federal government must be a partner in local and state efforts to solve it, and that’s what this year’s federal funding bill does. https://www.feinstein.senate.gov/public/index.cfm/press-releases?ID=34927494-AE2F-47FF-9331-30816B462253 …",1210630424482975745,2019-12-27,18:36:00,senfeinstein,206,194,830
Federal funding for gun violence research is long overdue. Knowing more about this epidemic will help us find better ways to confront it. We must do more to reduce gun violence. https://www.cnn.com/2019/12/17/politics/gun-research-congress-spending-bill-cdc-trnd/index.html …,1210602490653134848,2019-12-27,16:45:00,senfeinstein,269,252,1118
"This year’s federal energy and water funding bill supports the fight against climate change, helps modernize California’s water infrastructure and increases science funding for energy programs, among other priorities. It’s a strong bill. pic.twitter.com/LgnWvBQfLc",1210308553585631232,2019-12-26,21:17:00,senfeinstein,71,67,269
The Census Bureau is hiring for the #2020Census. You can apply for these temporary jobs online. https://twitter.com/uscensusbureau/status/1197454615576547328 …,1210272780144517120,2019-12-26,18:54:51,senfeinstein,25,56,129
