tweet,id,date,time,username,replies_count,retweets_count,likes_count
Small businesses create two out of every three new jobs in the U.S. and many are veteran-owned. Support your community today by shopping at locally-owned businesses in your community. #SmallBusinessSaturday,1200849223438217217,2019-11-30,18:49:00,senfeinstein,58,142,559
"Around 45 million turkeys will be eaten today at Thanksgiving tables across the country. Enjoy your bird, but make sure you’re safe! You can call the USDA poultry hotline at 1-888-674-6854 with any questions. Have a happy and healthy Thanksgiving! pic.twitter.com/0NIBlOV7Pw",1200139798914240513,2019-11-28,19:50:00,senfeinstein,76,45,183
"We must drastically reduce greenhouse gas emissions to avoid catastrophe. We can’t afford to wait. While this administration denies even the existence of climate change, our situation is rapidly deteriorating. https://www.washingtonpost.com/climate-environment/2019/11/26/bleak-report-un-says-drastic-action-is-only-way-avoid-worst-impacts-climate-change/ …",1199431653594152960,2019-11-26,20:56:05,senfeinstein,181,175,575
New financial assistance is available to those who qualify when signing up for health care through @CoveredCA. Find out if you qualify and make sure you’re covered next year. https://twitter.com/CoveredCA/status/1191883077720530944 …,1199402458210078720,2019-11-26,19:00:04,senfeinstein,21,35,64
"Patrick Bumatay lacks the experience needed of an appellate judge and Lawrence VanDyke has a deeply troubling record. Both lack the support of their home state senators, so I strongly oppose their nominations to the Ninth Circuit and urge all of my colleagues to do the same. pic.twitter.com/Q2kGJQiOfl",1199041264727068672,2019-11-25,19:04:49,senfeinstein,514,923,3103
"It’s time to reauthorize the Violence Against Women Act. The bill we introduced in the Senate earlier this month has already passed the House 263-158 with 33 Republican yes votes. It’s not a partisan bill, it’s a survivors’ bill. https://www.feinstein.senate.gov/public/index.cfm/press-releases?id=DAACC350-2722-4F80-9B9F-5536D0158A06 …",1199003400391811079,2019-11-25,16:34:21,senfeinstein,70,413,1151
"Exciting news! With grant support from @GoParks, more than 40,000 California students will experience our iconic national parks at a dozen @NatlParkService sites throughout the current school year! #FindYourPark pic.twitter.com/DeAtDvswGq",1197980000366018560,2019-11-22,20:47:44,senfeinstein,29,36,159
"There are more than 400,000 youth in foster care across the country. All children belong in loving homes with forever families, which is why I’m proud to cosponsor a resolution recognizing November as #NationalAdoptionMonth.",1197927508047532033,2019-11-22,17:19:08,senfeinstein,55,62,368
"I’ve long advocated for safe, smart use of antibiotics to successfully fight illness. However, overuse and misuse of antibiotics pose grave dangers to the public. During #AntibioticAwarenessWeek, learn more about how to best prevent #AntibioticResistance. https://twitter.com/CDCgov/status/1196427843594575872 …",1197623025048440835,2019-11-21,21:09:14,senfeinstein,23,33,124
"An estimated 5,900 Californians and more than 56,000 people nation-wide are diagnosed with pancreatic cancer every year. It’s important to spot this disease early. On #WorldPancreaticCancerDay learn more about the symptoms here: https://twitter.com/PanCAN/status/1192551551203717120 …",1197602956465573888,2019-11-21,19:49:29,senfeinstein,17,48,136
Good news! @PacificCouncil has voted against establishing a West Coast permit for shallow set longlines. This is a win for sustainable fisheries and our precious marine resources. Thanks to @CaliforniaDFW and my colleagues who joined me on a letter opposing longlines. https://twitter.com/SenFeinstein/status/1196909637855010816 …,1197577868785672193,2019-11-21,18:09:48,senfeinstein,13,49,176
November is Chronic Obstructive Pulmonary Disease Awareness Month. Millions of Americans have COPD but haven’t been diagnosed. Take some time to learn how to spot the symptoms. #COPDAwarenessMonth https://twitter.com/NIH/status/1196453031602216960 …,1197562611052826625,2019-11-21,17:09:10,senfeinstein,10,21,61
"The broad support for our VAWA reauthorization bill shows this isn’t a Democratic or Republican bill, it’s a survivors’ bill. I encourage my Senate colleagues to listen to these advocates and pass a bill that includes important enhancements that these groups are asking for. pic.twitter.com/9aLrL6jsPf",1197295180531085313,2019-11-20,23:26:30,senfeinstein,15,39,124
"I applaud Governor Newsom’s decision to take a hard, close look at fracking and steam-injected oil drilling, the type of drilling that caused the Kern County spill. pic.twitter.com/Z7KJQSl4r1",1197293232478138370,2019-11-20,23:18:45,senfeinstein,50,68,306
"Earlier, I spoke on the Senate floor in an attempt to reauthorize the Violence Against Women Act. Senate Republicans blocked me. Now is the time for action. I call on Republicans to debate this bill and vote on it. The issue is too important to ignore. pic.twitter.com/ZVWeGRqI5o",1197278703841161217,2019-11-20,22:21:02,senfeinstein,153,736,2433
Latinas have to work for almost 23 months to earn the same amount of money that the average white man makes in 12 months. It’s long past time we pass the #PaycheckFairnessAct and make equal pay for equal work a reality. #LatinaEqualPayDay,1197259116965715970,2019-11-20,21:03:12,senfeinstein,70,73,228
