tweet,id,date,time,username,replies_count,retweets_count,likes_count
"In 2019, I heard from Michiganders across the state on the issues that matter most to them.

In 2020, I’ll keep working on efforts to protect our Great Lakes, expand vocational training programs, lower healthcare & prescription drug costs & strengthen our national security.",1212148930189897729,2019-12-31,23:10:00,sengarypeters,18,15,98
"Advances in AI technology combined with an increasing reliance on social media as a primary news source have left us vulnerable to bad actors attempting to sow discord & spread misinformation.

Proud my bill addressing deepfakes passed the Senate. https://www.freep.com/story/news/local/michigan/2019/12/24/deepfakes-michigan-members-of-congress-address-threat/2679222001/ …",1212113160590761986,2019-12-31,20:47:52,sengarypeters,25,22,106
"This summer the Senate unanimously passed my One Small Step Act, which would protect the Apollo lunar landing sites—just in time for the 50th Anniversary of mankind first stepping foot on the moon.

#GarysYearinReview pic.twitter.com/RTRn4ycjj4",1212072043304370177,2019-12-31,18:04:28,sengarypeters,10,11,33
"Closely monitoring the situation at our embassy in Iraq. Protection of our embassy, its diplomats and our servicemembers needs to be top priority. I’m alarmed this attack happened in an area that Iraqi security forces should have secured.",1212052323746353152,2019-12-31,16:46:07,sengarypeters,8,20,71
"We must do more to combat this senseless violence.

Whether at a church, synagogue, mosque or home, everyone should be able to worship free of the fear of violence.

My bipartisan bill to help secure & protect nonprofit and religious institutions will soon be signed into law. pic.twitter.com/ISFpgSCQrd",1211756689382359040,2019-12-30,21:11:22,sengarypeters,15,31,123
"Proud to have gotten the bipartisan Project Safe Neighborhoods Act, which I helped author, signed into law in 2018.

The Project Safe Neighborhoods program is working to strengthen community partnerships, reduce violence & foster safer communities. https://www.detroitnews.com/story/news/local/detroit-city/2019/12/18/attorney-general-william-barr-detroit-aid-violent-crime-trump-administration/2677506001/?csp=chromepush …",1211705185086722056,2019-12-30,17:46:43,sengarypeters,3,7,28
"Saddened by the shooting at a Texas church. Everyone should be able to worship free of the fear of violence whether at church, synagogue, mosque or home. https://twitter.com/wxyzdetroit/status/1211378990939885569 …",1211480904629202944,2019-12-30,02:55:30,sengarypeters,8,14,61
.@RepJohnLewis has never been one to back down from a challenge—and I know he is up for the fight. Colleen and I are praying for him. https://twitter.com/AP/status/1211437039297675264 …,1211468846722428934,2019-12-30,02:07:35,sengarypeters,2,16,120
Go @wmu_football in @FRBowl!,1211338253665738755,2019-12-29,17:28:39,sengarypeters,2,5,18
"As Jewish families across Michigan light the last Hanukkah candles, we’re reminded the fight against hate & bigotry is far from over.

Anti-Semitic attacks are happening more frequently. This has to stop. We can’t let this horrifying, targeted violence become normalized. https://twitter.com/detroitnews/status/1211287667649982464 …",1211324624757305345,2019-12-29,16:34:30,sengarypeters,18,48,194
Congratulations to Grand Rapids-native @Astro_Christina who now holds the record for longest spaceflight by a woman! 🚀 https://www.cnn.com/2019/12/28/us/christina-koch-longest-spaceflight-record-woman-scn-trnd/index.html …,1211056623655018497,2019-12-28,22:49:34,sengarypeters,4,34,148
"Today marks one year since Michigander Paul Whelan was arrested by Russian authorities. 

It’s past time for his release. https://www.nytimes.com/2019/12/28/us/politics/paul-whelan-russia.html …",1211032262441086977,2019-12-28,21:12:45,sengarypeters,6,37,92
#GoGreen! https://twitter.com/MSU_Football/status/1210709584870100992 …,1210722220177149952,2019-12-28,00:40:46,sengarypeters,2,7,38
"As 2019 comes to a close, I’m reflecting on this year.

In August I went on my annual motorcycle tour across Michigan and heard from folks about the issues affecting them most. pic.twitter.com/L6ebQJyGML",1210701895343464449,2019-12-27,23:20:00,sengarypeters,12,35,141
Good luck to @MSU_Football as they play in the @PinstripeBowl today in NYC! #GoGreen https://twitter.com/MSU_Football/status/1210380377031880704 …,1210655685450620928,2019-12-27,20:16:22,sengarypeters,0,4,20
"This Republican-backed lawsuit could end protections for Michiganders with preexisting health conditions, raise costs and bring back annual & lifetime coverage limits. https://www.usatoday.com/story/news/politics/2019/12/18/affordable-care-act-appeals-court-strikes-down-law/1988457001/ …",1210614318208704512,2019-12-27,17:32:00,sengarypeters,21,84,97
"Good luck to @EMUFB in tonight’s bowl game in Detroit @FordField against Pittsburgh! 🏈
#ETOUGH⛓ https://twitter.com/EMUFB/status/1209970950114021385 …",1210296959166275587,2019-12-26,20:30:55,sengarypeters,1,5,27
Merry Christmas from my family to yours! 🎄 pic.twitter.com/D6kBb156HN,1209909049602592768,2019-12-25,18:49:31,sengarypeters,12,34,299
Today I’m thinking about our Michigan servicemembers who aren’t home for the holidays with their families. Thank you for your service and sacrifice for our country. I hope you have a Merry Christmas. pic.twitter.com/SUprhqhqGO,1209831417724751873,2019-12-25,13:41:02,sengarypeters,10,51,284
"I’ve had the pleasure of working with Nels of Traverse City to help level the playing field for Michigan cherry growers.

My Self-Initiation Trade Enforcement Act would help protect our Michigan growers & producers from abusive trade practices. pic.twitter.com/QszoYMOrXW",1209539758747193345,2019-12-24,18:22:05,sengarypeters,6,11,56
"It’s been nearly a year since Novi resident Paul Whelan was unjustly arrested by Russian authorities.

The Russians have presented no evidence, his health is deteriorating and our Embassy staff are being denied information & access. https://www.theoaklandpress.com/opinion/time-for-paul-whelan-s-release-from-russia/article_ac0fe722-2128-11ea-ae44-a74e30863707.html …",1209208755088429057,2019-12-23,20:26:47,sengarypeters,16,37,96
I’m wishing our Michigan Jewish community a Happy Hanukkah spent with family and friends! pic.twitter.com/zCH65jwGZY,1208862591319257088,2019-12-22,21:31:16,sengarypeters,1,19,76
"Secretary @BetsyDeVosED's & @usedgov’s stunning lack of oversight on the charter school program has wasted over $500 million in taxpayer dollars that went to charter schools that closed or never opened, including in Michigan.
 
I'm pressing for answers. https://www.peters.senate.gov/newsroom/press-releases/peters-presses-devos-for-answers-on-program-that-wasted-over-500-million-in-taxpayer-money-on-failed-charter-schools …",1208828467820806145,2019-12-22,19:15:40,sengarypeters,18,78,166
"Robocalls are the worst. Over ONE BILLION have been made into Michigan this year alone!
 
Glad the bipartisan TRACED Act that I cosponsored is going to be signed into law to help crack down on robocalls. pic.twitter.com/Ofln8YSFmT",1208502554553978889,2019-12-21,21:40:36,sengarypeters,13,26,103
"First up in this busy Michigan bowl season: @CMU_football in the @NMBowl today! 

#FireUpChips https://twitter.com/NMBowl/status/1208208288992514048 …",1208468835193573378,2019-12-21,19:26:37,sengarypeters,2,7,28
"I’m proud provisions I led and supported were just signed into law. Some of these will
💧Strengthen Great Lakes protection
🐟Help Michigan fisheries programs
💊Lower prescription drug costs for Michiganders https://www.peters.senate.gov/newsroom/press-releases/peters-provisions-to-preserve-great-lakes-lower-prescription-drug-costs-for-michiganders-signed-into-law …",1208403717239791623,2019-12-21,15:07:51,sengarypeters,8,19,58
Great news! These provisions were just signed into law: https://twitter.com/SenGaryPeters/status/1204440307141685248 …,1208212861966790656,2019-12-21,02:29:28,sengarypeters,6,14,79
"Michigan had the highest number of taxpayer-funded schools that never opened:

$21 million in grants went to
112 defunct charter schools
72 of which never opened https://www.michiganadvance.com/blog/peters-blames-devos-lack-of-oversight-for-charter-school-program-waste/ …",1207831343339581440,2019-12-20,01:13:27,sengarypeters,19,99,139
"I was proud to support Judge Stephanie Dawkins Davis’ confirmation. She is a highly respected member of the Michigan legal community, qualified jurist and will serve our state well as a District Court Judge. pic.twitter.com/i0pbdlnvaA",1207808130287050754,2019-12-19,23:41:12,sengarypeters,6,13,48
"With yesterday’s health care ruling it’s clear:
 
The Trump Administration remains determined to
🚫 end protections for preexisting conditions
🚫 raise costs for families
🚫 bring back annual & lifetime coverage limits
 
I’ll keep fighting to protect care for Michiganders.",1207748670189383682,2019-12-19,19:44:56,sengarypeters,28,61,174
"For President Trump to come to Michigan and insult both Chairman Dingell and my friend @RepDebDingell is reprehensible.

John was a WWII veteran and a true statesman. Both he and Debbie embody the best of Michigan. https://www.freep.com/story/news/politics/2019/12/18/donald-trump-bashes-debbie-dingell-john-dingell-battle-creek-rally/2694887001/ …",1207518478816731138,2019-12-19,04:30:14,sengarypeters,142,379,1563
Read my full statement following the House impeachment vote: pic.twitter.com/zZFeOl495u,1207480990639280132,2019-12-19,02:01:16,sengarypeters,38,33,201
"I’m going to continue fighting to ensure Michiganders have access to affordable, accessible care and work to lower health care and prescription drug costs for families.",1207464274580443137,2019-12-19,00:54:51,sengarypeters,13,16,82
"Let’s be clear: the Trump Administration is trying to overturn the health care law & end protections for millions of Michiganders with preexisting health conditions, raise health care costs & allow insurance companies to impose limits on coverage. https://www.washingtonpost.com/news/politics/wp/2019/12/18/appeals-court-rules-acas-individual-mandate-unconstitutional-asks-lower-court-to-decide-whether-rest-of-law-can-stand-without-it/ …",1207464272558804992,2019-12-19,00:54:50,sengarypeters,29,86,164
"I’ve long said we need to renegotiate NAFTA to help level the playing field for Michigan. When the bipartisan USMCA agreement comes before the Senate I plan to vote for it.
 
Read my full statement: pic.twitter.com/HlI9o1OYa6",1207056290192736257,2019-12-17,21:53:40,sengarypeters,27,12,50
"Proud the national defense bill passed the Senate and is heading to the President's desk. This bill:

💵Gives our servicemembers a pay raise
📑Helps members of our National Guard & Reserve access their full benefits
🛡Invests in Michigan’s defense sector https://www.peters.senate.gov/newsroom/press-releases/peters-provisions-supporting-servicemembers-and-michigan-defense-sector-headed-to-presidents-desk-in-national-defense-bill …",1207039388225552384,2019-12-17,20:46:30,sengarypeters,5,14,42
"Proud to announce my bipartisan Great Lakes Fisheries legislation will be included in the final government funding bill.

This will help provide resources to keep the Great Lakes ecosystem vibrant for generations to come. I look forward to it becoming law. https://www.peters.senate.gov/newsroom/press-releases/peters-stabenow-bipartisan-bill-to-establish-great-lakes-fisheries-program-authorization-included-in-government-funding-bill …",1206708514124644352,2019-12-16,22:51:43,sengarypeters,10,15,77
"Proud to secure increased funding for the Great Lakes Restoration Initiative as part of the final funding bill. I look forward to it becoming law so we can clean up more waterways, restore more habitats & combat invasive species in the Great Lakes basin.  https://www.peters.senate.gov/newsroom/press-releases/final-government-funding-bill-includes-peters-effort-to-increase-great-lakes-restoration-funding … pic.twitter.com/NiJZ2ARYGo",1206704026559156224,2019-12-16,22:33:54,sengarypeters,5,18,60
"This report is alarming. More than $500 million was wasted on charter schools that closed or never opened—and the most were in Michigan, where @BetsyDeVosEd was leading the charge.

I’m going to look into this abuse of Michigan & federal taxpayer money. https://www.washingtonpost.com/education/2019/12/09/report-federal-government-wasted-millions-dollars-charter-schools-that-never-opened/ …",1206670029498060801,2019-12-16,20:18:48,sengarypeters,59,297,555
"Had the honor of delivering the commencement address at @EasternMichU!
 
I’m confident this class of hardworking, dedicated young people will help provide the leadership & innovative problem-solving we’ll need in the years ahead. pic.twitter.com/FLzOxggGSW",1206253770075758593,2019-12-15,16:44:44,sengarypeters,3,11,64
"As a former Lt. Commander in the Navy Reserve, I’m a little biased when it comes to the Army-Navy game.
 
#GoNavyBeatArmy ⚓️ https://twitter.com/USNavy/status/1205853885480472576 …",1205902502123778049,2019-12-14,17:28:55,sengarypeters,8,9,62
