tweet,id,date,time,username,replies_count,retweets_count,likes_count
"A big thank you to @BobbyScott Chairman of the @EdLaborCmte for his leadership to strengthen public education, invest in school infrastructure, & help uplift communities nationwide. Looking forward to working together to #RebuildAmericasSchools.",1090702461147459584,2019-01-30,20:05:05,senjackreed,5,4,13
GOP passed a nearly $2 Trillion #TrumpTax bill that overwhelmingly benefited corporations & ultra-wealthy. Investing $100 Billion in upgrading America's schools could pay more effective economic dividends for the country & help create 1.9 million jobs. #RebuildAmericasSchools pic.twitter.com/5cyLN2QTYU,1090697487839563779,2019-01-30,19:45:19,senjackreed,6,24,50
"Good schools expand opportunities for students & help create a healthier, more vibrant community & economy for all. But currently, funding for public school buildings falls $46 Billion short. Federal gov't should step up & Congress should pass the #RebuildAmericasSchools Act. pic.twitter.com/oeozHD9tQT",1090694268543553536,2019-01-30,19:32:32,senjackreed,5,10,22
"Americans deserve #equalpay for equal work. Proud to help introduce the Paycheck Fairness Act today to bridge the gender pay gap, prevent pay discrimination, & advance equality for women in the workplace. #PayCheckFairness will strengthen our economy & working families everywhere",1090670219243278341,2019-01-30,17:56:58,senjackreed,11,23,87
Health & wellness are crucial to student success and #schoolnurses do so much to help promote healthy schools. Thanks to @schoolnurses RI chapter’s Amy Dark of Fogarty Memorial School for her advocacy on behalf of students & families. pic.twitter.com/JG0Wn4fSxZ,1090351347940102144,2019-01-29,20:49:53,senjackreed,2,3,5
"Another cold snap is set to hit this week, with temperatures expected to plunge on Wednesday night. Please take precautions. Warming centers are available around RI for any residents needing warmth & shelter from extreme cold:  http://www.riema.ri.gov/warmingcenters/ ",1090294284815949824,2019-01-29,17:03:08,senjackreed,3,10,25
Further evidence that the $1.5 Trillion #TrumpTax plan hasn’t worked as promised & failed to broadly boost hiring or capital investment: http://fortune.com/2019/01/28/trump-tax-reform-hiring-investment/ …,1089983396170948608,2019-01-28,20:27:47,senjackreed,16,17,50
"Clean, safe drinking water is sometimes taken for granted when we turn on the tap. But keeping it that way requires smart investments in our #cleanwater infrastructure & partnerships at local, state & federal level. Pleased to join @info_riwwa to address water system management. pic.twitter.com/orYswtOy6B",1089979415713460227,2019-01-28,20:11:58,senjackreed,2,6,15
"Honored to receive @RIKidsCount Young Children’s Champion Award. There is no better investment than ensuring that every child gets a healthy start, a strong educational foundation, & the opportunity to reach their full potential. https://www.providencejournal.com/news/20190127/kids-count-outlines-priorities-for-early-years-development …",1089971879346098177,2019-01-28,19:42:01,senjackreed,4,7,37
"Small schools can accomplish big things! @NatlBlueRibbon of Excellence Award for @JSDNews Melrose School is a national recognition of the outstanding work & high academic achievement by students, teachers, principal, staff & @JSDSupt. Congrats on earning this prestigious award! pic.twitter.com/5A4GUMhhUV",1089922271827890177,2019-01-28,16:24:54,senjackreed,3,9,24
"#Medicare's #PartD program paid $32.5 BILLION for top 50 prescription drugs.
 
If @CMSGov was able to negotiate w/ drug makers the way @DeptVetAffairs does & paid same prices, then U.S. would have saved $14.5 BILLION.

Trump admin must get on board with bills to cut Rx costs!",1089665268819902464,2019-01-27,23:23:39,senjackreed,11,22,91
"74 years after the liberation of Auschwitz, we commemorate #HolocaustRemembranceDay. We honor victims & survivors & resolve to combat hatred, prejudice, anti-Semitism & religious intolerance. To #NeverAgain be indifferent to the suffering & oppression of others. #WeRemember",1089540970239193088,2019-01-27,15:09:44,senjackreed,8,33,131
The #TrumpShutdown is finally ending. It should never have happened in the first place. This is a recognition by Pres Trump that his forced shutdown is hurting America & is the wrong way to try to change policy.,1088880822734782465,2019-01-25,19:26:33,senjackreed,42,38,285
