tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Saddened by the passing of Joe Wilson. As a diplomat & truth-teller, Ambassador Wilson served with honor & distinction. The Bush Admin sought to punish him for telling the truth about Iraq. But Americans are grateful to public servants like Amb. Wilson who speak truth to power.",1177726510314201090,2019-09-27,23:27:35,senjackreed,4,23,89
"Trump Admin's plan to slash #refugee cap to 18k is appalling. Turning our backs on suffering people doesn't make U.S. safer. Compassion, humanitarian assistance, & demonstrating America’s values by resettling fully-vetted #refugees strengthens our nation.
 https://www.reed.senate.gov/imo/media/doc/final.refugee.letter.pdf …",1177665990777290752,2019-09-27,19:27:06,senjackreed,7,20,48
"Congrats to the students, teachers & staff, and community partners from RI's 2019 @NatlBlueRibbon honorees:

Ashaway Elementary School
Brown Avenue Elementary School (#Johnston)
Flora S. Curtis Memorial School (#Pawtucket)

Nice to see your outstanding work get nat'l recognition!",1177602738785439746,2019-09-27,15:15:46,senjackreed,1,3,10
"Deeply saddened by the passing of Marcia Reback. a good friend, tenacious leader, and fearless advocate for students, teachers, and working men and women everywhere.",1177319009705955339,2019-09-26,20:28:20,senjackreed,3,5,25
"The federal gov't must be more proactive in helping RI & other states impacted by outbreak of #EEE, a rare & serious mosquito-borne illness. @SenWhitehouse & I are asking both @USDA @CDCgov to provide RI funding & resources for EEE surveillance, research & control activities. pic.twitter.com/oaYvRzfIHb",1177231903591673857,2019-09-26,14:42:12,senjackreed,5,11,37
It’s beyond troubling to read in black and white that the President of the United States is abusing his power and pressuring a foreign government to interfere in our democracy for his personal political interests. My statement: https://www.reed.senate.gov/news/releases/reed-statement-on-trumps-efforts-to-pressure-ukrainian-government-to-help-with-his-re-election-bid …,1176993341214527489,2019-09-25,22:54:14,senjackreed,17,28,91
"Today, I voted once again to overturn Pres Trump’s phony emergency border declaration. 11 Republican Senators agreed that it's wrong for Pres Trump to take away appropriated funds from our troops & divert them to his pet wall project (that he failed to get Mexico to pay for). pic.twitter.com/KRPyvBnbNU",1176977712528973835,2019-09-25,21:52:08,senjackreed,10,28,122
"Happy #NationalLobsterDay! Summer may be over, but today is a perfect opportunity to get a great deal on your favorite lobster dish. And thank you to our dedicated lobstermen and women who are a vital part of our coastal communities! pic.twitter.com/2Vue0QLm9D",1176922656899309569,2019-09-25,18:13:22,senjackreed,3,5,28
"Didn’t get the red coat memo today, but I support #CTE & #Perkins. Enjoyed visiting w/ talented, hardworking @SkillsUSARI students & discussing need to expand career & technical education opportunities. pic.twitter.com/KFG9KBC1AG",1176606704907280384,2019-09-24,21:17:53,senjackreed,1,4,21
"New $7.8M High Impact Neighborhoods Demonstration grant for @RIHousing will help eliminate lead-based paint hazards, protect at-risk kids, & save taxpayer $. I created this program because every child deserves a #healthyhome & I'm thrilled RI will benefit. #LeadSafe #LeadFree",1176579914016927750,2019-09-24,19:31:25,senjackreed,4,11,39
Pleased to announce that @federalreserve Chairman Jerome H. Powell is scheduled to visit RI on November 25. The Fed Chairman will deliver a speech to @Provchamber for their Annual Meeting.,1176481642493485058,2019-09-24,13:00:56,senjackreed,1,7,19
"I created SNEP Watershed Grants to help restore water quality & reduce pollution into #NarragansettBay. Pleased Cranston, Newport, Warren, @RIAudubon @WRWC @GroundworkRI & Northern RI Conservation District have won a share of $1.1M in SNEP funds & are putting them to good work. pic.twitter.com/ps46xcX1nE",1176234080100388864,2019-09-23,20:37:12,senjackreed,3,6,16
"There has been an uptick of #EEE cases in New England this year. EEE is still rare, but @CDCgov should boost federal assistance for RI to help contain & combat the deadly virus & everyone should be smart about avoiding mosquito bites.
 
 https://www.timesunion.com/news/article/Rhode-Island-senators-seek-more-funds-to-combat-14458079.php …",1175511073283354626,2019-09-21,20:44:14,senjackreed,7,7,15
"Ahhh, the smell of wastewater being treated! Actually, it smells pretty bad. But the fact it's being treated means raw sewage isn't flowing into the Bay. And that's great news for everyone! #WaterInfrastructure isn't glamorous, but it's essential. 
 https://www.providencejournal.com/news/20190920/269-million-loan-from-epa-will-help-complete-project-to-stop-tainted-water-from-running-into-narragansett-bay … pic.twitter.com/0IdJy5llt5",1175094180764405760,2019-09-20,17:07:39,senjackreed,2,6,28
"Joined w/ Narragansett Bay Commission, @RITreasury @RhodeIslandDEM @EPAnewengland to announce a $268.7M low-interest #WIFIA loan to help RI make more water infrastructure improvements for less money. These funds will save ratepayers, create jobs, & protect the Bay. pic.twitter.com/FVrtFWtoe8",1175091171447771137,2019-09-20,16:55:42,senjackreed,1,4,14
"Today, on #NationalPOWMIARecognitionDay, we honor U.S. service members who were #POW & those missing in action. We can never repay the profound debt to our heroes, but we must support their families & uphold the American values they fought so hard to defend. #YouAreNotForgotten pic.twitter.com/wgGBTtKNbZ",1175083014755368961,2019-09-20,16:23:17,senjackreed,1,11,29
"The Moving Wall is indeed a moving experience & it’s at Touro Park in #NewportRI this weekend. The traveling replica of the @VVMF Wall pays tribute to the tremendous sacrifices of the 58,282 American soldiers lost in the Vietnam War. https://turnto10.com/news/local/moving-wall-stops-in-newport …",1175075275308175360,2019-09-20,15:52:32,senjackreed,2,3,14
Caught up w/ @AllanFungRI in DC today for #NationalCLF to talk about civic leadership & Cranston’s successful bid for a SAFER grant. New $2.6M federal grant will help Cranston Fire Department hire 15 new firefighters to enhance public safety. pic.twitter.com/DVGRVAAPja,1174062103067549696,2019-09-17,20:46:33,senjackreed,7,4,35
"Parks are essential to our community, economy, & public wellness. Here at Goddard Park w/ @RhodeIslandDEM to announce $1.7M boost to support @RIStateParks. These federal funds will help upgrade parks & rec across RI and preserve open spaces. Leslie Knope would be proud! pic.twitter.com/n9BZC8n5eV",1173627480093208576,2019-09-16,15:59:30,senjackreed,5,10,37
"Grateful to our RI veterans, guardians, volunteers, Chief Farrell & everyone who made today’s #HonorFlight possible. Glad we could salute these amazing RIers & hear their stories. @HonorFlightRI pic.twitter.com/Oc5Dwlkaw6",1172957513735708673,2019-09-14,19:37:18,senjackreed,2,9,35
I always enjoy meeting and paying tribute to #RI vets who valiantly served our nation. Proud to welcome them & help show them around their national memorial. #HonorFlight pic.twitter.com/gMAbb6e4qp,1172949886611931138,2019-09-14,19:06:59,senjackreed,6,10,49
"New @BryantUniv study shows the positive impact @QuonsetRI has on RI’s economy. From railways to harbor cranes to submarines, I’m proud to have delivered funding over the years to help transform #Quonset & create good-paying jobs in RI.
 http://www.quonset.com/_resources/common/userfiles/file/Bryant%20University%20Economic%20Impact%20Report_9.12.19_FINAL.pdf … pic.twitter.com/G4bJqhhFva",1172586179188989952,2019-09-13,19:01:45,senjackreed,1,6,17
