tweet,id,date,time,username,replies_count,retweets_count,likes_count
Lahontan cutthroat trout are a threatened species – I’m glad to see this fish-passage project get underway! https://www.kolotv.com/content/news/Fish-friendly-changes-at-Nevada-dam-to-help-threatened-trout-560175701.html …,1178770412701925379,2019-09-30,20:35:41,senjackyrosen,0,4,18
Mari Chuy’s Mexican Kitchen is a staple of Reno’s Midtown District. Jesus “Chuy” Gutierrez owns this restaurant known for its warm atmosphere & community commitment. He's one of the many Hispanic small business owners in NV helping to make our state thrive! #HispanicHeritageMonth pic.twitter.com/csWg4lOwow,1178721224446357513,2019-09-30,17:20:14,senjackyrosen,1,5,16
"Tonight, at sundown, friends and families across America and around the world gather to celebrate #RoshHashanah – a time of celebration, reflection, and renewal. 

My family and I wish all who celebrate a sweet and joyful Rosh Hashanah. L’Shanah Tova.",1178396282756435969,2019-09-29,19:49:02,senjackyrosen,4,30,184
"Our Gold Star Families have made an immense sacrifice in defense of our nation. 

I couldn’t be prouder to have co-sponsored this resolution designating Gold Star Families Remembrance Week. 

We can never truly know what it means to carry a Gold Star pin. http://www.kkoh.com/2019/09/23/rosen-supports-honors-for-gold-star-families-moms …",1178355554890240001,2019-09-29,17:07:11,senjackyrosen,2,9,42
"Our legal marijuana businesses have created thousands of jobs and exceeded projections in raising revenue for our state. 

Glad to see the House pass the SAFE Banking Act to allow these businesses to bank without fear of federal interference – now the Senate should do the same. https://twitter.com/MarijuanaPolicy/status/1176975776161439746 …",1178327880826331136,2019-09-29,15:17:13,senjackyrosen,9,31,119
"I had the best time today visiting with the Gutierrez family and the entire team at @ElSoldeNevada, the largest Spanish newspaper in northern Nevada. 

Thank you, El Sol, for your commitment to Nevada’s Hispanic community for the past 16 years! pic.twitter.com/JMugcHXMB7",1178089136017874950,2019-09-28,23:28:32,senjackyrosen,1,11,28
"Encantada de visitar a la familia Gutiérrez y a todo el equipo del @ElSoldeNevada, el periodico en español mas grande del norte de Nevada. 

¡Gracias, El Sol, por su compromiso con la comunidad hispana de Nevada durante los ultimos 16 años! pic.twitter.com/zDHXyiGM9K",1178088992736198656,2019-09-28,23:27:58,senjackyrosen,2,9,14
"TODAY: Team Rosen is joining @MiFamiliaVota Education Fund Nevada and Councilwoman @OliviaDiazLV’s National Citizenship Day Workshop.
 
Come meet my team and get connected to federal resources or help with a federal agency!
 
📍 East Las Vegas Community Center
📅 TODAY
⏰ NOW-4PM pic.twitter.com/GGPx5SS4tD",1178046731075936257,2019-09-28,20:40:02,senjackyrosen,0,8,14
"Today is #PublicLandsDay, a day to celebrate Nevada’s incredible natural beauty and recommit to protecting our public lands and outdoor spaces for generations to come! 

I’ll continue to be a fierce defender of our public lands in the Senate. pic.twitter.com/pqihOQUfWY",1178039423918891009,2019-09-28,20:11:00,senjackyrosen,9,12,68
"Happy #PublicLandsDay! 

I’m celebrating by joining a cleanup of the Truckee River at Idlewild Park in Reno. 

We can all do more to engage in good stewardship of our public lands. pic.twitter.com/IwnS4C1vhh",1178029617904541698,2019-09-28,19:32:02,senjackyrosen,6,6,44
"Enjoyed my tour of Reno’s @RenownHealth today to learn about telehealth programs and patient services. 

Developing these programs will help Nevadans in rural communities who have difficulty accessing medical care because of where they live. pic.twitter.com/fg8oinDlPV",1177767090339618818,2019-09-28,02:08:50,senjackyrosen,4,9,34
Glad to address the @NTIAGov workshop at @UNevadaReno to discuss the need for better access to broadband! pic.twitter.com/UKYkty0To8,1177748356396965888,2019-09-28,00:54:24,senjackyrosen,5,5,14
Thanks to Reno Councilman Devon Reese for taking the time to meet with me – I enjoyed our conversation! pic.twitter.com/88F9Cu6DxM,1177721686378070016,2019-09-27,23:08:25,senjackyrosen,2,4,34
"🚨 TOMORROW: all Nevada State Parks will be free to enter and enjoy on Saturday, September 28 in honor of Nevada Public Lands Day. 

Get out and enjoy our state’s stunning natural beauty!",1177671856607895554,2019-09-27,19:50:25,senjackyrosen,2,54,149
"✅ Check! My bipartisan Building Blocks of STEM Act has passed the Senate! 

Retweet to show your support for this important legislation. pic.twitter.com/5axSTUjIIE",1177592429001752578,2019-09-27,14:34:48,senjackyrosen,2,24,52
"I’m thrilled to announce that my bipartisan Building Blocks of STEM Act has cleared a new milestone by passing the Senate! 

This legislation is one step closer to becoming law, and our children are closer to getting the STEM education they deserve. pic.twitter.com/KnOwX4iXRS",1177579480782639105,2019-09-27,13:43:21,senjackyrosen,6,33,149
Proud to introduce the bipartisan Small Business Child Care Investment Act alongside @SenJoniErnst to make child care more accessible for hardworking families in Nevada and across the country. pic.twitter.com/ZTNXpYPEkH,1177312361012695040,2019-09-26,20:01:54,senjackyrosen,1,7,12
We can start by voting in the Senate on the House-passed bill to expand background checks and save lives.,1177243266858856448,2019-09-26,15:27:21,senjackyrosen,4,4,23
"It’s past time for Congress to come together and pass commonsense gun safety legislation. We can prevent mass shootings in this country, but ‘can’ is not possible without courage. 

I implore Congress to have the courage so no other family ever has to endure this kind of tragedy.",1177243144355815424,2019-09-26,15:26:52,senjackyrosen,1,7,29
"This massacre shook our community to its very core, but the bright lights of Las Vegas will continue to shine through the darkness of that day. 

We are resilient. 

We will always be #VegasStrong.",1177241416101244930,2019-09-26,15:20:00,senjackyrosen,2,5,17
"In the ten minutes that the shooting lasted, over eleven hundred rounds were fired, 58 innocent people were murdered, and 422 were injured – making it the deadliest mass shooting in American history.",1177240977297293313,2019-09-26,15:18:15,senjackyrosen,3,4,15
