tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Proud to join with @SenStabenow to reintroduce our bipartisan bill that gives our nation’s seniors, especially in rural areas, expanded access to mental health care professionals.  https://bit.ly/2BfufMK ",1091071155241394176,2019-01-31,20:30:09,senjohnbarrasso,5,18,80
"Happy birthday to Wyoming’s own, former Vice President Dick Cheney. pic.twitter.com/j0uu8Os0UU",1090650530291109894,2019-01-30,16:38:44,senjohnbarrasso,12,11,70
"We must be good stewards of our wildlife. That’s why I worked with a bipartisan group of senators to introduce the WILD Act. It will help protect threatened wildlife, fight illegal poaching, and manage invasive species.  https://bit.ly/2RooJN3  pic.twitter.com/msUl3H8ESj",1090648068993753088,2019-01-30,16:28:57,senjohnbarrasso,19,38,125
"Since Republicans passed the Tax Cuts and Jobs Act, 8,000 jobs have been added in #Wyoming. #TaxReformWorks pic.twitter.com/XlVKk90Hmo",1090634633308487680,2019-01-30,15:35:34,senjohnbarrasso,108,75,268
"Today, the Senate @IndianCommittee passed my bill to increase the safety of roads throughout Indian Country. It will empower tribes to address immediate road safety issues like railroad crossings, rumble strips, & general pedestrian safety on tribal lands.  https://bit.ly/2TgzWBb ",1090355762122182656,2019-01-29,21:07:26,senjohnbarrasso,8,11,41
The Ellbogen Foundation and WY National Board Certified Teacher Initiative has transformed quality education in Wyoming. I’m always impressed by these dedicated teachers at the annual celebration dinner in Cheyenne. They will advance students in classrooms across the state. pic.twitter.com/ojyk91bpNW,1089359569799839744,2019-01-27,03:08:55,senjohnbarrasso,13,6,44
Yesterday’s Cheyenne Boys and Girls Club annual chili challenge was a huge success. It’s fitting that their theme this year was superheroes since these bright kids bring so much to the community. This event is a great way to give back to such an important organization. pic.twitter.com/aPIlMZVG4G,1089205146817626112,2019-01-26,16:55:18,senjohnbarrasso,10,9,44
I support @POTUS’s plan to reopen the government & ensure furloughed federal employees are paid. Both parties must come together to address the security & humanitarian crisis at our southern border. @POTUS has shown a willingness to compromise. Democrats must now do the same.,1088913350413770753,2019-01-25,21:35:48,senjohnbarrasso,418,229,935
"Today we honor the life of the Reverend Dr. Martin Luther King, Jr. A champion of liberty for all, his dream of a more just and free nation continues to inspire new generations of Americans. #MLKDay pic.twitter.com/AvgOrL9zK7",1087375909101854720,2019-01-21,15:46:33,senjohnbarrasso,126,44,178
Wonderful to visit with so many veterans from across Wyoming at today’s American Legion and American Legion Auxiliary Mid-Winter Meeting in Casper. We talked about ways to improve veteran care and how important it is we implement the recently passed VA MISSION Act. pic.twitter.com/yYg6Pnkhre,1086809464517214208,2019-01-20,02:15:42,senjohnbarrasso,26,10,59
President @realDonaldTrump has put a reasonable proposal on the table to secure our border and get furloughed federal employees back to work. http://www.republican.senate.gov/public/index.cfm/media-updates?id=851FD303-2292-4F61-A9F7-A85A0CB1DE4D …,1086773770994442241,2019-01-19,23:53:52,senjohnbarrasso,259,267,935
"Meals on Wheels is an admirable organization that works hard to better both the physical and mental health of the community. Thanks to all of the volunteers who came out to Bubbles, Baubles, and Beans in Casper yesterday to support such a worthy cause. pic.twitter.com/bg3bnfpnCL",1086726533874499584,2019-01-19,20:46:10,senjohnbarrasso,12,7,29
Was fortunate to have a lively discussion with the members of Wyoming Medical Society’s Leaders in Medicine cohort today in Cheyenne. It was terrific to see these doctors combining advocacy and action for the common good of the state. #Wyoming pic.twitter.com/l9zJn09RyF,1086413034015285248,2019-01-19,00:00:26,senjohnbarrasso,10,10,22
"Democrats shouldn’t be playing politics with border security. It’s time to work together to secure the border, reopen the government, and protect the American people.  https://www.barrasso.senate.gov/public/index.cfm/news-releases?ID=F0AA19A0-76B2-4B23-8084-2CE6F7658C4E …",1085626358582136833,2019-01-16,19:54:28,senjohnbarrasso,276,118,430
Spoke on the Senate floor today about the need for increased border security & a stronger physical barrier along our southern border. https://youtu.be/F9ijBguh874 ,1085625991966412807,2019-01-16,19:53:01,senjohnbarrasso,123,83,307
Congratulations to the hundreds of students from across Wyoming who competed in this weekend’s Forensics Meet in Casper hosted by Kelly Walsh High School. The skills these students learn from speech and debate competition prepare them for lifelong success. pic.twitter.com/jGJOE7sFZ8,1084515394918981632,2019-01-13,18:19:54,senjohnbarrasso,14,4,40
"All Americans want a healthy immigration system that secures the border, that enforces the law, and that keeps families together. It’s time to #SecureOurBorder. pic.twitter.com/GA6vLQiqOW",1083437146659319809,2019-01-10,18:55:19,senjohnbarrasso,208,210,550
"As a doctor, lowering health insurance costs for families in WY and across the country has always been one of my top priorities. The health insurance tax needlessly drives up the cost of coverage. It is time to repeal this tax once and for all. #StopTheHIT  https://bit.ly/2AHIgTd ",1083429655145795584,2019-01-10,18:25:33,senjohnbarrasso,10,8,32
Reintroduced bipartisan legislation today along with @SenCoryGardner & @SenatorSinema to save jobs and prevent health insurance premiums from skyrocketing for America’s small businesses and families. #StopTheHIT  https://bit.ly/2AFPKGq ,1083429318037065729,2019-01-10,18:24:13,senjohnbarrasso,7,11,28
"Honored to continue serving as chairman of Senate Committee on Environment and Public Works. Last Congress, we passed major bipartisan laws to upgrade America’s water infrastructure and modernize our nuclear energy sector. Looking forward to building on that success. https://twitter.com/EPWGOP/status/1083108068051824641 …",1083108908732956672,2019-01-09,21:11:01,senjohnbarrasso,25,9,41
"Let’s start 2019 by passing commonsense legislation that does secure the border, that does reopen the government & that protects the American people. Let’s work together to make ‘this the most important year’ the start of a better future for all Americans.  https://bit.ly/2M2PNjZ ",1083072524492128257,2019-01-09,18:46:27,senjohnbarrasso,224,63,254
Spoke on the Senate floor this morning about the need to pass commonsense legislation that secures the border and reopens the government. pic.twitter.com/nKEHdHMFkR,1083072185760133120,2019-01-09,18:45:06,senjohnbarrasso,177,137,508
Congratulations to Wyoming’s newly sworn in Gov. @GordonGovernor  and his wife Jennie—looking forward to working together with you for Wyoming. And thank you to outgoing @GovMattMead and his wife Carol for their incredible service to the Cowboy State. pic.twitter.com/qoiqUP0vmb,1082374687835987970,2019-01-07,20:33:29,senjohnbarrasso,12,11,56
Thanks @SenatorFischer for escorting me at my swearing-in as well.  #116thCongress https://twitter.com/SenatorFischer/status/1080942254758465536 …,1080945744515923970,2019-01-03,21:55:23,senjohnbarrasso,8,3,29
"We will continue our work to secure our borders & confirm federal judges who will apply the law, not legislate from the bench. I look forward to working with @SenatorEnzi & @RepLizCheney as we continue to stand up for Wyoming’s ideas & values in Washington. #116thCongress pic.twitter.com/W3LdQlEBpd",1080943341091672065,2019-01-03,21:45:50,senjohnbarrasso,131,54,216
"Honored to represent the people of Wyoming in the U.S. Senate for six more years. My focus remains on improving the quality of life for Wyoming families. This means good jobs, a strong economy, and a safe, strong & free America. pic.twitter.com/kw6G2u7M1a",1080942445947469824,2019-01-03,21:42:16,senjohnbarrasso,60,56,287
