tweet,id,date,time,username,replies_count,retweets_count,likes_count
I urge my colleagues to support the proposed rules changes that would prevent good nominees from being anonymously delayed and derailed.,1101184894913429504,2019-02-28,18:18:32,senkevincramer,3,3,7
"The adequate pace of @EPAAWheeler’s confirmation process stands in stark contrast to many well-qualified presidential appointees who faced unnecessary and unprecedented delays, both in this Congress and the last one. https://twitter.com/mirandacgreen/status/1101182413840007169?s=21 …",1101184892577218560,2019-02-28,18:18:32,senkevincramer,5,3,5
"It’s good to see Mr. Wheeler confirmed, and I hope to bring him to North Dakota soon.",1101183053752348675,2019-02-28,18:11:13,senkevincramer,4,3,8
".@EPAAWheeler handled WOTUS and the Clean Power Plan well. 

Cementing his role as Administrator allows him to continue working on important issues like the E15 ethanol rule, which I’m confident he’ll finalize this summer as he’s stated. pic.twitter.com/WWrLCVBHdf",1101183050803625985,2019-02-28,18:11:12,senkevincramer,2,4,5
Senate Democrats’ arguments against Mr. Wheeler just didn’t add up. pic.twitter.com/PJXu2dCTyq,1101183045137248256,2019-02-28,18:11:11,senkevincramer,1,2,1
I voted yes on @EPAAWheeler’s nomination because the policies he’s promoted and implemented are good for my state and the country. https://twitter.com/senategopfloor/status/1101175649165824000 …,1101183043186896896,2019-02-28,18:11:11,senkevincramer,10,4,13
"As a Farm Bill conferee representing @HouseCommerce, I was directly responsible for ensuring this top North Dakota priority receive adequate funding. https://bismarcktribune.com/news/local/farm-bill-compromise-includes-north-dakota-priorities/article_f96c5e1e-6b9c-553d-840f-e0368722006e.html …",1101156806146035714,2019-02-28,16:26:55,senkevincramer,1,2,4
Encouraged to see @USDA_APHIS acting quickly to implement the federal vaccine bank funded by the 2018 Farm Bill.  https://subscriber.politicopro.com/agriculture/whiteboard/2019/02/usda-angling-for-quick-creation-of-livestock-vaccine-bank-2744321 …,1101156804619395072,2019-02-28,16:26:55,senkevincramer,4,2,4
"Well done today, @RepArmstrongND. https://twitter.com/jpodhoretz/status/1100834136347025408 …",1100901026964619266,2019-02-27,23:30:33,senkevincramer,10,6,33
"This bipartisan legislation ensures all student veterans using GI benefits- like the 2,000 student veterans in ND colleges and universities- can take advantage of paid internships or work opportunities while in school. https://www.reviewjournal.com/news/politics-and-government/sen-rosen-introduces-bill-to-promote-hiring-student-veterans-1605718/ …",1100887253503655941,2019-02-27,22:35:49,senkevincramer,3,5,11
