tweet,id,date,time,username,replies_count,retweets_count,likes_count
.@SpeakerPelosi stop harassing @POTUS @realDonaldTrump & do something for America. Pass #USMCANow! Ukraine whistleblower’s lawyers work for group that offers to pay officials who leak against Trump http://washex.am/2kUpByY ,1178707626261131264,2019-09-30,16:26:12,senkevincramer,30,9,20
"Excellent piece by @senatemajldr & @GOPLeader. 

Democrats are focusing on their impeachment obsession instead of good policies that help our country. 

They should stop the antics and put #USMCA up for a vote. https://www.wsj.com/articles/house-democrats-resist-a-win-for-american-workers-11569786329 …",1178681571773239296,2019-09-30,14:42:40,senkevincramer,201,314,807
Grateful to introduce the Safe Step Act with @lisamurkowski. Fail first requirements bypass the patient’s best interests & delay the care they desperately need. Our bill creates an exemption process to ensure North Dakotans can safely and efficiently access appropriate treatment. https://twitter.com/lisamurkowski/status/1177294185671602177 …,1177589710581063681,2019-09-27,14:24:00,senkevincramer,7,4,7
"I look forward to working with her, Secretary Bernhardt, and Assistant Secretary Wallace to address these issues.",1177585477093863424,2019-09-27,14:07:10,senkevincramer,2,2,0
I support Skipwith’s nomination because she has committed to working with us to address Waterfowl Production Area (WPA) Easements and to visiting North Dakota to meet landowners whose private property rights have been infringed by FWS.,1177585475558809602,2019-09-27,14:07:10,senkevincramer,1,2,1
"Ahead of @SecBernhardt's landowner roundtable in North Dakota next Wednesday, I helped advance Aurelia Skipwith's nomination to be @USFWS Director through @EPWGOP this week.

My hope is she will bring a fresh, innovative approach to managing the bureau.  https://bit.ly/2lFIXbx  pic.twitter.com/F0vApWMOj0",1177585470303285248,2019-09-27,14:07:09,senkevincramer,2,4,3
I look forward to him hearing from North Dakota landowners as part of our collaborative efforts to find solutions that work for everyone.,1177555519667654656,2019-09-27,12:08:08,senkevincramer,0,2,2
"During his confirmation process, @SecBernhardt accepted my invitation to visit our state to hear from North Dakotans facing problems and challenges in dealing with @Interior.",1177555518656790530,2019-09-27,12:08:08,senkevincramer,1,2,2
"Announcing today @Interior @SecBernhardt will visit North Dakota for a landowner roundtable next Wednesday, October 2nd.  https://bit.ly/2n912PC  pic.twitter.com/4t3KN2bwu8",1177555514399608833,2019-09-27,12:08:07,senkevincramer,1,4,9
"Wonderful seeing ND Sheriffs this week. We talked mental health awareness, opposing gun legislation, & ways to stop drugs from coming into our country across our borders. 

These brave public servants work overtime to protect our families & friends, & I am grateful for them. pic.twitter.com/KJHr5LblG2",1177355165227257856,2019-09-26,22:52:00,senkevincramer,10,8,21
"Glad to see the Senate move forward with confirming our military leaders. 

I look forward to working with Secretary McCarthy on issues relating to the @NDNationalGuard, implementing reforms at the Army Corps of Engineers, & other shared priorities. https://twitter.com/SenatePPG/status/1177327522226278408 …",1177336973805129729,2019-09-26,21:39:43,senkevincramer,0,4,7
"General Hyten’s background and keen understanding of important national and North Dakota military issues make him an exceptional choice for this role. 

I look forward to working with him on these shared priorities. https://twitter.com/SenatePPG/status/1177283519208480769 …",1177291996005883905,2019-09-26,18:40:59,senkevincramer,1,3,13
I hope to bring him to our state to hear about these issues directly from North Dakotans.,1177288390145990658,2019-09-26,18:26:39,senkevincramer,2,3,7
"I supported Scalia because he is well-qualified and ready to serve our country in @USDOL. 

I look forward to working with him on apprenticeships, the joint employer rule, association health care plans, and other shared priorities. pic.twitter.com/OgjXsxWAPR",1177288345367580672,2019-09-26,18:26:29,senkevincramer,27,22,109
"A CR only funds existing projects, hurting efforts to rebuild our military and preventing new projects from receiving the resources they need.",1177271707477905409,2019-09-26,17:20:22,senkevincramer,3,2,6
"I don’t like this. 

The only thing worse than a short-term CR would be a government shutdown. 

With this additional time, I urge Democrats to put the partisan games aside and return to a normal appropriations process. https://twitter.com/ChadPergram/status/1177271215653871616 …",1177271600489684993,2019-09-26,17:19:56,senkevincramer,9,2,5
"Discussed Ground Based Strategic Deterrence, maintaining the nuclear triad, & the Global Hawk mission with Kathy Warden of @NorthropGrumman. pic.twitter.com/sTUnnpT3f6",1177228329587486720,2019-09-26,14:28:00,senkevincramer,3,3,5
"Wonderful to see the Traynor family today. 

@POTUS @realDonaldTrump made an excellent choice in nominating Dan to be North Dakota's next district judge, demonstrated by his excellent job at today’s @senjudiciary hearing. He will serve our country well. pic.twitter.com/z9yxNeRZVn",1176972141238947841,2019-09-25,21:30:00,senkevincramer,1,4,12
"As they continue to indulge their impeachment obsession, Republicans will continue to do the work of the American people, like passing #USMCA.

Democrats ought to be ashamed of themselves.",1176959714720137217,2019-09-25,20:40:37,senkevincramer,23,2,6
"While @POTUS is on the world’s biggest stage at #UNGA - starting new trade deals, wrapping up others, speaking on religious liberty, representing us to the world- Democrats are undermining POTUS & consequently our nation’s credibility by carrying on this impeachment circus.",1176959713222807554,2019-09-25,20:40:37,senkevincramer,4,2,6
That Democrats rushed to begin impeachment proceedings because of false allegations from an unknown bureaucrat with only a second-hand account of this phone call says a lot more about them than it does about our President.,1176959712165847045,2019-09-25,20:40:36,senkevincramer,7,1,4
"The conversation between @POTUS and President Zelenskyy was entirely appropriate. It did not need to be read by every member of Congress or the American people, and I am concerned about the precedent this sets for future conversations between world leaders. 

My statement⬇️ pic.twitter.com/4PZxE5PjzX",1176959709133377536,2019-09-25,20:40:36,senkevincramer,43,5,24
"I applaud @POTUS @realDonaldTrump for securing this deal, and I hope to continue working with the Administration to advance similar bilateral agreements.",1176929433158115330,2019-09-25,18:40:17,senkevincramer,2,4,9
"This deal not only helps American workers and businesses, but Japan’s agreement to reduce tariffs on top North Dakota products like wheat, ethanol, and beef will also be of significant help to our farmers and ranchers. https://twitter.com/BloombergAsia/status/1176926945864536064 …",1176929316216680451,2019-09-25,18:39:49,senkevincramer,27,31,142
".@NDAREC stopped by to discuss PURPA reforms, 45Q, and legislation we’ve put forward in Congress to support affordable & reliable electricity, such as the RURAL Act & the Improving Rural Access to Power Act. pic.twitter.com/qkBIrW1c82",1176877770019880962,2019-09-25,15:15:00,senkevincramer,3,6,10
Nice to see my friend @GranerKenny- president of @uscattlemen- and Shane Eaton to talk Mandatory Price Reporting reauthorization. pic.twitter.com/mFCI0rhFTq,1176873491192340486,2019-09-25,14:58:00,senkevincramer,3,10,15
"Met with the Associated General Contractors of North Dakota to speak about the Highway Trust Fund, hours of service limits on their crews, and their need for flexibility during construction seasons. pic.twitter.com/Gk81k5RKk7",1176857385195003904,2019-09-25,13:54:00,senkevincramer,0,4,11
Joining @ChrisBergPOVNOW tonight to talk about Democrats’ ridiculous actions on impeachment. pic.twitter.com/1BSzLntiOJ – at U.S. Senate,1176608806626709504,2019-09-24,21:26:14,senkevincramer,26,8,19
"Passing the #USMCA would provide our producers with more flexibility and better market access. 

It’s time to put partisanship aside & bring this deal to the floor to give our farmers a win. pic.twitter.com/HclLt1XPzN",1176569905048694785,2019-09-24,18:51:39,senkevincramer,6,5,14
"Delivered remarks to the National Mining Association this morning.

While an all-the-above approach to energy is great, we must anchor our energy supply to other factors as well, including grid reliability. pic.twitter.com/oiQFcFdGou",1176523126039072768,2019-09-24,15:45:46,senkevincramer,9,4,6
"Now that the Corps has reluctantly given this reprieve and expanded the process, it is critical every stakeholder express their concerns and stand up for their rights in order to make the Corps better understand this issue and give us a better product.",1176491083318140932,2019-09-24,13:38:27,senkevincramer,2,3,4
"It was never the intention of Congress to federalize the water in our country’s major rivers, and the final rule should reflect that.",1176491082336616449,2019-09-24,13:38:26,senkevincramer,3,2,2
