tweet,id,date,time,username,replies_count,retweets_count,likes_count
"If President Trump is looking to turn the impeachment trial into a reality TV show, he chose the right team with Alan Dershowitz, Ken Starr, and Robert Ray. But this is the U.S. Senate, not the People's Court. 

The pressure is on Senate Republicans to ensure this trial is fair. pic.twitter.com/5xt0yVQAvd",1218303412523163649,2020-01-17,22:45:43,senmarkey,31,33,115
NOW: I'm on @CNN with @wolfblitzer to talk about next week's impeachment trial in the Senate. Tune in.,1218293898713485318,2020-01-17,22:07:54,senmarkey,7,4,29
"This is the scope of the climate crisis. We cannot stand by and give Trump the power to destroy the planet. That’s what drove this lawsuit and that’s what drives the fight for a #GreenNewDeal.
 https://www.cnn.com/2020/01/17/politics/climate-childrens-lawsuit/index.html … pic.twitter.com/D8Pjssm2dA",1218278979817410560,2020-01-17,21:08:37,senmarkey,10,20,54
346 people were killed because of a flawed aircraft certification system and Boeing’s dangerous safety culture. We cannot accept anything less than major reforms to our aviation system. https://twitter.com/SenMarkey/status/1218198634166128640 …,1218198686771089408,2020-01-17,15:49:34,senmarkey,19,25,80
It's both unsurprising and deeply disturbing that this industry-led report on the Boeing 737 MAX is more focused on protecting business innovation than lives. https://www.politico.com/news/2020/01/16/737-max-boeing-faa-099700 …,1218198634166128640,2020-01-17,15:49:22,senmarkey,4,24,53
I’ll be on @CNN on @AC360 to talk about President Donald Trump’s impeachment trial in the Senate. Tune in at 8:30pm EST.,1217977470722494469,2020-01-17,01:10:32,senmarkey,3,6,38
I was just sworn in for the Senate impeachment trial of President Donald Trump. I pledge to my constituents and to the American people to do my constitutional duty and to follow the facts where they lead. The American people deserve a fair trial. pic.twitter.com/M0K8eldqxS,1217899570249764865,2020-01-16,20:00:59,senmarkey,55,56,438
"USMCA had a chance to correct NAFTA’s disastrous approach toward climate change. Instead, it completely ignores it. The trade deal will allow the fossil fuel industry to continue to play by its own rules at the expense of our planet’s future. That’s why I voted NO today.",1217856320864444416,2020-01-16,17:09:08,senmarkey,13,45,125
The Senate needs to be briefed by the Administration on the GAO’s findings and the American people need answers.,1217846742248456196,2020-01-16,16:31:04,senmarkey,4,10,38
"President Trump’s withholding aid from Ukraine wasn’t just bad judgment or unethical, it was illegal. This GAO report makes it even clearer that President Trump must be held accountable for his illegal extortion scheme. https://www.washingtonpost.com/business/economy/white-house-hold-on-ukraine-aid-violated-federal-law-congressional-watchdog-says/2020/01/16/060ea7aa-37a3-11ea-9c01-d674772db96b_story.html …",1217846741048885252,2020-01-16,16:31:04,senmarkey,9,38,94
"‘Exit bans’ are oppressive. This legislation will make sure that Chinese authorities responsible for the mistreatment of my constituents Victor and Cynthia Liu, and for the mistreatment of other Americans, know that denial of basic rights is unacceptable. https://www.nytimes.com/reuters/2020/01/15/world/asia/15reuters-usa-china-exitbans.html …",1217833273197547520,2020-01-16,15:37:33,senmarkey,16,645,683
"The Constitution gives Congress, not the President, the power to make war and to authorize the use of military force. We are the direct representatives of the American people. And we cannot allow Trump to start an illegal war in Iran.

#NoWarWithIran pic.twitter.com/NxOGas36MS",1217564997410263052,2020-01-15,21:51:31,senmarkey,13,35,107
"#NoWarWithIran

I’m on the Senate floor to support Senator Kaine’s resolution to prevent President Trump from starting an unnecessary and unauthorized war with Iran. Watch LIVE:  https://facebook.com/EdJMarkey ",1217541817379557381,2020-01-15,20:19:24,senmarkey,8,13,78
 https://www.nytimes.com/interactive/2020/01/15/climate/hottest-year-2019.html …,1217496470313754624,2020-01-15,17:19:13,senmarkey,3,13,21
"New NASA/NOAA analysis: 2019 was second-hottest year ever, 2010s hottest decade ever.

The planet is on fire, and it’s getting worse. The trend is dramatic and clear.

What gives me hope is that the trend for climate action and the #GreenNewDeal is also dramatic and clear. pic.twitter.com/5fhpoYeYie",1217496467901992961,2020-01-15,17:19:12,senmarkey,8,28,52
"We are seeing the dramatic effects of the climate crisis every day, with floods, hurricanes, wildfires, and rising seas all worsening as we fail to act. But USMCA fails to even mention climate change. 

The trade deal is a profound climate failure. I voted NO. pic.twitter.com/ymgYiLD4Qv",1217476457536073728,2020-01-15,15:59:41,senmarkey,19,22,119
"The people of Puerto Rico are owed far more than our thoughts and prayers. The Trump administration must immediately release the $8.3 billion they are withholding and provide all additional resources the island requires in its time of need.
 https://www.markey.senate.gov/news/press-releases/senator-markey-joins-senate-democrats-in-support-of-puerto-ricos-request-for-a-major-disaster-declaration-to-respond-to-earthquakes_ … pic.twitter.com/YeAoZiUGak",1217169632458629120,2020-01-14,19:40:28,senmarkey,10,65,156
“We know what stranded assets are: all the fossil fuel that has to be kept in the ground. Workers should never be stranded assets.” - @JaneFonda on justice and the #GreenNewDeal pic.twitter.com/rK7NUeCVG4,1217150549281341445,2020-01-14,18:24:39,senmarkey,13,68,179
We can no longer negotiate trade deals using the same framework of the past. Trade deals must reflect the urgency of the climate crisis and implement the strategic vision necessary for our planet’s survival.,1217129441949880321,2020-01-14,17:00:46,senmarkey,4,7,35
It also gives polluters new power over the policymaking process while continuing old rules that allow fossil fuel companies like Chevron and ExxonMobil to file suit in secret tribunals against climate or environmental policies.,1217129440565780485,2020-01-14,17:00:46,senmarkey,2,7,23
"USMCA includes explicit giveaways for the fossil fuel industry, making it cheaper to export dirty tar sands oil and continues giving the gas industry carte blanche to export American gas to Mexico.",1217129439445835776,2020-01-14,17:00:46,senmarkey,2,5,10
"Since NAFTA went into effect 26 years ago, every year of a young person’s life has been warmer than the 20th century average. We cannot afford another 26 days, let alone years, of business as usual, where fossil fuel companies get to play by their own rules.",1217129437994606595,2020-01-14,17:00:45,senmarkey,2,5,15
"The USMCA trade deal fails to even mention climate change – the most important issue of our time. It is a profound environmental and climate failure that will hinder progress on climate action for a generation. 

I’m voting NO.",1217129436530860034,2020-01-14,17:00:45,senmarkey,12,32,96
"Justice is at the heart of the #GreenNewDeal. We’re not just fighting against climate change and the fossil fuel industry. We’re fighting FOR each other. 
 
I talked with climate champion @JaneFonda about how we’re building a climate movement that puts justice front and center: pic.twitter.com/N9eukGUBXb",1217118943602708481,2020-01-14,16:19:03,senmarkey,8,18,70
What is happening to these Americans is reprehensible. Nobody should be punished by a foreign government for traveling to commemorate a relative’s final days. https://www.markey.senate.gov/news/press-releases/senators-markey-and-warren-call-on-china-to-release-massachusetts-residents-and-us-citizens-cynthia-and-victor-liu …,1217111270752735233,2020-01-14,15:48:34,senmarkey,2,27,83
Bringing Cynthia and Victor Liu home this week will demonstrate that President Trump is not overlooking rights violations when negotiating trade deals. China must cease its practice of trapping U.S. citizens when those people have done nothing wrong. https://www.cbsnews.com/news/american-siblings-trapped-in-china-make-public-plea-for-help …,1217111269771227136,2020-01-14,15:48:34,senmarkey,14,786,836
"One question looms before the Senate: will we fulfill our duty to conduct a fair impeachment trial with witnesses and properly consider these serious charges? Or will Republicans participate in a cover-up?

I’ll discuss impeachment with @chrislhayes on @MSNBC. Tune in at 8pm EST.",1216880837129572355,2020-01-14,00:32:54,senmarkey,21,22,80
