tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Today, I voted in support of the FY 2020 NDAA to provide funding for our national defense. As the Senior Marine in Congress, I believe our number one job as a governing body is to fund our military. I proudly cast my vote to give our troops the largest pay raise in a decade. pic.twitter.com/JNUZSyx2F5",1144346931105345545,2019-06-27,20:49:03,senpatroberts,36,27,145
"Today, the Lower Health Care Costs Act was voted out of the @GOPHELP Committee. This legislation includes two provisions I authored. 
Read more here:  https://www.roberts.senate.gov/public/index.cfm/pressreleases?ID=DCAFFB9B-063C-428F-BD84-5D5C4FFBBE49 … pic.twitter.com/cdq4VcxSEp",1143986174089936898,2019-06-26,20:55:32,senpatroberts,8,4,4
"The brave men & women who put their lives on the line for our country deserve the best education possible. I’m glad to join @SenStabenow in introducing a bill to ensure housing stipends will still be provided to student veterans during academic breaks.
 https://www.roberts.senate.gov/public/index.cfm?p=PressReleases&id=75E713A0-2316-43BD-95EF-FB16D4D615D3 …",1143251113975721984,2019-06-24,20:14:40,senpatroberts,6,4,7
Franki and I are praying for the entire Meyers family during this difficult time.,1142205553554468865,2019-06-21,22:59:59,senpatroberts,7,1,7
"As the first Republican woman elected to the U.S. House of Representatives from Kansas, she set a great example for future generations. She was kind, caring, honest and extremely well respected in not only the 3rd district, but the entire state.",1142205462403801088,2019-06-21,22:59:38,senpatroberts,5,2,12
"Congresswoman Jan Meyers was a trusted colleague, but most importantly a friend. I always looked up to Jan and depended on her advice and counsel during my time serving alongside her in Congress. pic.twitter.com/GDgFhenAjG",1142205331927392256,2019-06-21,22:59:06,senpatroberts,4,6,25
.@realDonaldTrump just approved the Kansas Disaster Declaration for areas affected by tornadoes and flooding. pic.twitter.com/7tOQITWBst,1142052876992299010,2019-06-21,12:53:18,senpatroberts,12,14,30
"Today, I stressed the importance of protecting our food supply against emerging threats during a Memorandum of Agreement Signing Ceremony for the National Bio and Agro-defense Facility located in Manhattan. Read more here:  https://www.roberts.senate.gov/public/index.cfm/pressreleases?id=A2A01B23-C04E-426A-9CBE-2FFCE6068F23 … pic.twitter.com/9d8BFv0DIr",1141804411913744390,2019-06-20,20:26:00,senpatroberts,7,4,10
It was great visiting with a group of Washburn Rural High School’s JROTC students during their trip to the nation’s capital this week for the College Options Foundation JROTC Leadership Academic Bowl. pic.twitter.com/CWxynqx7eX,1141774843307864064,2019-06-20,18:28:30,senpatroberts,3,3,3
Thanks for visiting! https://twitter.com/KansasElectric/status/1141027310075822080 …,1141098376630591488,2019-06-18,21:40:28,senpatroberts,8,2,3
