tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Today, I’m reflecting on all that we’ve been able to accomplish for FL families over the past year. In 2018, FL businesses created over 250,000 jobs, our tourism industry set new records & our unemployment rate fell to just 3.3 percent – the lowest in 12 years.",1079806544957583365,2018-12-31,18:28:36,senrickscott,76,127,769
"Florida has the best state parks in the nation. I’m encouraging all Florida residents and visitors to start the new year outside, enjoying time with family and friends at  @FLStateParks. Find out more -  https://bit.ly/2Vi7i4c ",1079557258130927616,2018-12-31,01:58:02,senrickscott,46,125,749
Big win from @GatorsFB today in Atlanta. Congrats to Coach Mullen and the team on a great season. Peach Bowl champs!,1079152011315154944,2018-12-29,23:07:43,senrickscott,23,101,653
These projects will have a strong economic impact and will greatly benefit communities throughout our state. See what the project leaders are saying about this latest round of funding here -  http://bit.ly/2BHjmCM  https://twitter.com/SenRickScott/status/1078744722984837121 …,1079046542986756097,2018-12-29,16:08:38,senrickscott,17,31,137
"I am happy to award $9 million from the Florida Job Growth Grant Fund to support infrastructure, workforce training & economic development projects to continue making our state the best place in the nation to get a great job and raise a family.  http://bit.ly/2CDW6Ya ",1078744722984837121,2018-12-28,20:09:18,senrickscott,39,116,514
We are proud to provide $24 million in funding to small and rural communities across our state to help grow their economies so more Floridians can live the American dream. More here -  http://bit.ly/2rZxiE2 ,1078386344550957058,2018-12-27,20:25:14,senrickscott,42,108,492
Happy that this targeted funding will grow more job opportunities for Florida families. More announcements coming soon. http://bit.ly/2QVkEof ,1078014763207196673,2018-12-26,19:48:42,senrickscott,29,61,278
.@FLAnnScott and I are grateful to spend today with our family and would like to wish a Merry Christmas to everyone celebrating. We also wish a special Merry Christmas to law enforcement and our military who work around the clock to keep our country and communities safe.,1077588487992471552,2018-12-25,15:34:50,senrickscott,79,148,1002
This is what the holiday season is all about. Great work @FLHSMV and @NCSO_FL! https://twitter.com/FLHSMV/status/1076960640965603330 …,1077248796751552512,2018-12-24,17:05:02,senrickscott,16,26,144
FL businesses created 23k new private-sector jobs in November and our state had the lowest unemployment rate among the 10 largest states for that month. More here -  http://bit.ly/2GCKMzC ,1076950693473337346,2018-12-23,21:20:28,senrickscott,29,60,272
ICYMI: News Service of Florida: “Gov. Rick Scott leaving office with low unemployment rate — 8 points lower than when he was sworn in”  http://bit.ly/2LwSCcO  @newsservicefla,1076878628896550912,2018-12-23,16:34:07,senrickscott,50,221,736
