tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Great piece by @SecPompeo & @EsperDoD. South Korea and the US have a great alliance that has been built on our shared goals in the region.

But both sides must share the burden, and together we can continue to protect peace and prosperity throughout the region. https://twitter.com/wsj/status/1218307068874100736 …",1219027964253347840,2020-01-19,22:44:49,senrickscott,7,16,57
"Hoy le pido a #Cuba que libere de inmediato a @jdanielferrer y a los presos políticos que están injustamente encarcelados.

Han pasado más de 100 días desde que el régimen lo detuvo arbitrariamente a él y a otros por su lucha por los derechos humanos. 

@Cubadecide
#FreeFerrer",1218986853119987717,2020-01-19,20:01:28,senrickscott,5,13,27
"Today I’m asking #Cuba to immediately release @jdanielferrer and all other political prisoners who are unjustly imprisoned. 

It’s been more than 100 days since the regime arbitrarily detained him and others for their fight for human rights in Cuba.

@Cubadecide
#FreeFerrer pic.twitter.com/DRiEYIHYOB",1218986758832054272,2020-01-19,20:01:05,senrickscott,13,36,77
"I’m glad the Pentagon is taking a serious look at programs to train foreign nationals.

But simply adding new vetting restrictions is not enough. We need a hard reset of the entire program. The loss of 3 innocent lives is evidence enough that the program is fundamentally flawed. https://twitter.com/washingtonpost/status/1218311808764862465 …",1218948002628493312,2020-01-19,17:27:05,senrickscott,22,51,184
"Developing countries should understand that Communist China’s approach to economics corrupts everything it touches. 

It is hostile to democracy and human rights, and it benefits only the elite. https://nationalinterest.org/feature/corruption-chinas-friend-its-quest-dominate-africa-31242 …",1218913213083013121,2020-01-19,15:08:50,senrickscott,97,722,1016
"Hello Florida! 

While New York, California and Illinois tax and spend their residents to death, Florida has low taxes, less regulation, and a business environment where everyone has the opportunity to live their version of the American Dream. https://twitter.com/bopinion/status/1217862256358240257 …",1218643484372013056,2020-01-18,21:17:02,senrickscott,87,104,371
"Congrats to the Wounded Warriors who participated in this year's Soldier Ride through the Florida Keys.

Thank you to everyone involved, and to our veterans - thank you for your service! https://keysweekly.com/42/soldier-ride-2020-takes-victory-lap-around-town/ …",1218598925197856774,2020-01-18,18:19:58,senrickscott,12,51,157
"I applaud the administration for placing sanctions on the leaders in Iran who use violence to silence the voices of their people. 

The US will always stand for freedom around the world and we stand with the brave people of #Iran fighting for democracy! https://apnews.com/b7c3c8e9e1b20e0d1a5166f9fcf95d4f …",1218570830709428227,2020-01-18,16:28:20,senrickscott,28,65,223
"Carrie Lam’s denial of the police brutality occurring in #HongKong is just another example of her commitment to remaining one of Xi’s puppets.

But you can’t hide the truth. The world sees the violence and we hear the voices of the people of #HK. We stand with them! https://twitter.com/thetimes/status/1217819354605203457 …",1218333240731348995,2020-01-18,00:44:14,senrickscott,434,3523,4504
"¡Gran noticia! Más países en América Latina deberían seguir a Ecuador, Bolivia y ahora a Guatemala y cortar los lazos con el régimen de Maduro.

@NicolasMaduro es un dictador que mata de hambre a su pueblo y apoya a terroristas. Debemos continuar haciéndolo un paria.",1218278278118694912,2020-01-17,21:05:50,senrickscott,3,48,81
"Great news! More countries in Latin America should follow Ecuador, Bolivia and now Guatemala in cutting ties with the Maduro regime. 

@NicolasMaduro is a dictator who is starving his people and supporting terrorists. We must continue to make him a pariah. https://twitter.com/reutersvzla/status/1218277563459608587 …",1218278173307211786,2020-01-17,21:05:25,senrickscott,19,68,197
"The Cuban regime has violated the basic rights of Cubans and spread violence throughout LatAm for far too long. 

I’m urging all European & Canadian tourists to stand for freedom & reconsider traveling to Cuba, as it only provides $$ to the Cuban regime. pic.twitter.com/slviHgVjss",1218240004159348736,2020-01-17,18:33:45,senrickscott,31,42,128
"Grato conocer que la Administración ha liberado fondos de ayuda para desastres para #PR y designó un monitor federal por el cual luché para asegurar que el $ de los contribuyentes estadounidense se gaste sabiamente.
 
Continuaré haciendo todo lo posible para apoyar a #PuertoRico. pic.twitter.com/Ym9gdjIao8",1218201399768555521,2020-01-17,16:00:21,senrickscott,4,6,18
"I’m proud the Administration is releasing disaster aid funding for #PuertoRico & appointing a Federal Financial Monitor that I fought for to make sure US taxpayer $$ are spent wisely.
 
I will continue to do everything I can to support our brothers & sisters on the island. pic.twitter.com/8ZVURDpXvM",1218201294864879616,2020-01-17,15:59:56,senrickscott,31,46,160
