tweet,id,date,time,username,replies_count,retweets_count,likes_count
Came across this great photo of Dick Lugar attending an agriculture event. He was bipartisan to his core and widely respected on both sides of the aisle. I will miss my dear friend. pic.twitter.com/kqFhwqnqPK,1123348144652193794,2019-04-30,22:07:23,senrobportman,46,6,43
"I look forward to working with Gordon Hartogensis, who was confirmed today as the new #PBGC Director, to address our pension crisis. Will continue to work w/ @SenSherrodBrown, #Ohio small businesses, workers, and retirees in this effort.  https://bit.ly/2GOOliR ",1123340678010896385,2019-04-30,21:37:42,senrobportman,11,1,5
My staff attended the “We Are The Majority” Drug Free Rally with students across the state at the #Ohio Statehouse. Proud of their commitment to living a drug free life. pic.twitter.com/MMRsJlHJnY,1123284166144069633,2019-04-30,17:53:09,senrobportman,17,4,15
 https://www.mydailytribune.com/opinion/39160/broadband-key-to-job-creation …,1123270244267638784,2019-04-30,16:57:50,senrobportman,7,2,2
"In order to ensure that all of #Ohio benefits from broader economic growth we must ensure there is access to reliable broadband internet. In my column for @gd_trib I highlight my bipartisan #RURALAct, which will expand broadband deployment in our rural communities.",1123270171874004992,2019-04-30,16:57:32,senrobportman,17,3,3
I'll continue to work w/ local communities to address & help solve this epidemic. https://www.newsdemocrat.com/2019/04/29/help-coming-in-opiate-fight/ …,1123238158886420480,2019-04-30,14:50:20,senrobportman,6,4,7
Good read from @thenewsdemocrat about how Brown Co. in #Ohio will be part of the multi-million dollar federal effort to combat the #opioidcrisis. I worked with the Ohio delegation to help secure this funding.,1123238157900746753,2019-04-30,14:50:20,senrobportman,14,5,12
"Heroics knows no age.  Thanks to the quick thinking of 8-year-old Chance from Middletown, #Ohio, he was able to save himself and his sister from a potential kidnapping. Very proud of this brave young man! https://www.cnn.com/2019/04/29/us/ohio-boy-hero-trnd/index.html …",1122988298539012097,2019-04-29,22:17:29,senrobportman,31,14,40
"Thankful for @DispatchAlerts ed. board support for my legislation that ensures the safety of these kids, the bipartisan Responsibility for Unaccompanied Minors Act. https://www.dispatch.com/opinion/20190429/editorial-for-better-and-worse-kids-welfare-prompts-legislative-responses …",1122961553089880066,2019-04-29,20:31:12,senrobportman,16,5,7
"In 2015, the Obama admin’s @HHSgov placed 8 unaccompanied minors w/ human traffickers & they endured forced labor at an egg farm in #Ohio. Since then, I have worked to protect unaccompanied kids in HHS’ care so that situations like this never happen again.",1122961551517016065,2019-04-29,20:31:12,senrobportman,125,14,26
