tweet,id,date,time,username,replies_count,retweets_count,likes_count
Wonderful to catch up with Jordan and @LauraMclinn as we celebrate their work in helping pass Right to Try. Big legislative accomplishment this year! #RTT pic.twitter.com/DNccUfLkVZ,1068622329935261696,2018-11-30,21:46:32,senronjohnson,29,9,38
"Packed house at @LambeauField for @WI_Guard 2nd Battalion, 127th Infantry sendoff for deployment to Afghanistan. Grateful for your service. https://twitter.com/Gabrielle_Mays/status/1068176469346668549 …",1068316835383296000,2018-11-30,01:32:36,senronjohnson,40,20,76
"Proud to be a champion for small business. Thanks, @NFIB for this #SmallBizGuardian award. pic.twitter.com/cIcad9dQqT",1068264379324481538,2018-11-29,22:04:10,senronjohnson,14,6,16
Deadline fast approaching to apply for federal disaster assistance if you had property damage in the Aug/Sept storms.  https://dma.wi.gov/DMA/wemnews/2018wemnews/ready181128 …,1068257139645403138,2018-11-29,21:35:24,senronjohnson,3,5,5
Thank you to the President of Kosovo @HashimThaciRKS for coming to Washington to discuss the ongoing process for reaching an agreement between #Kosovo and #Serbia. I look forward to continuing to strengthen our bilateral relationship. pic.twitter.com/sS52k9US3V,1068215032868233216,2018-11-29,18:48:04,senronjohnson,14,5,19
This podcast features a conversation with a former @CCAInstitute Angel in Adoption for #NationalAdoptionMonth. Glad to be catching up with Grace!  https://soundcloud.com/senronjohnson/catching-up-with-grace … pic.twitter.com/NE5Vef8Teo,1067574136724172801,2018-11-28,00:21:23,senronjohnson,20,3,11
"Catching up with Grace for #NationalAdoptionMonth. Check out this new episode of ""Hey, Wisconsin"" https://soundcloud.com/senronjohnson/catching-up-with-grace …",1067569561044692993,2018-11-28,00:03:12,senronjohnson,10,2,4
"Congrats, @NASA! #Mars https://twitter.com/NASA/status/1067145015216861184 …",1067164054123364353,2018-11-26,21:11:52,senronjohnson,25,9,35
We continue to support the sovereignty and territorial integrity of Ukraine and their right to freedom of navigation. Russia cannot rewrite international rules by force.,1067152893738999809,2018-11-26,20:27:31,senronjohnson,30,7,25
"Russia must swiftly release all Ukrainian crew members and vessels, cease the disruption of Ukrainian and international shipping, and allow unhindered access through the Kerch Strait and in the Sea of Azov.",1067152892241547269,2018-11-26,20:27:30,senronjohnson,6,6,27
Joint statement with @ChrisMurphyCT: We strongly condemn the Russian Federation's attack on Ukrainian vessels in the Kerch Strait and increasingly aggressive actions in the Sea of Azov.,1067152890798768128,2018-11-26,20:27:30,senronjohnson,23,10,31
Wishing you a wonderful Thanksgiving with family and friends. #HappyThanksgiving pic.twitter.com/NnKvYl0FU5,1065646265688559616,2018-11-22,16:40:43,senronjohnson,54,8,40
"For the past several months, Sen. Johnson’s office has been interviewing young men and women for potential nomination to one of our nation’s service academies. It’s an arduous process and the stakes are high. @WestPoint_USMA @NavalAcademy @AF_Academy #USMMA pic.twitter.com/xhSreHSn5C",1065285425651163136,2018-11-21,16:46:52,senronjohnson,40,8,21
Sent a letter to White House counsel asking for a briefing on Ivanka Trump's use of personal email.  https://www.fresnobee.com/news/business/technology/article221976490.html …,1065055803554574336,2018-11-21,01:34:26,senronjohnson,132,16,87
"Wisconsin’s nine-day gun deer season  is underway!  Stay safe and good luck, hunters! #openingday #deerhunting pic.twitter.com/M3yZEZABv7",1063805751301472256,2018-11-17,14:47:10,senronjohnson,57,9,31
No one wants kids to use tobacco. But the @US_FDA proposed actions will also affect adult Americans who use e-cigarette products to quit smoking. Regulatory overreach could reduce alternatives to cigarettes and have other unintended consequences. #ecigarettes,1063183601045512192,2018-11-15,21:34:58,senronjohnson,92,91,204
"I want to thank Ronald Vitiello for his willingness to lead @ICEgov. It's extremely unfortunate that in this political climate the dedicated employees of ICE face constant criticism, threats of violence, and calls from some members of Congress to #AbolishICE. pic.twitter.com/nhwtaQBcuY",1063112838846300160,2018-11-15,16:53:47,senronjohnson,46,48,100
We need more moments like this.  #neverforget https://twitter.com/DanCrenshawTX/status/1061712528219271168 …,1062005937353961472,2018-11-12,15:35:21,senronjohnson,59,18,109
"On this 11th day of the 11th month in the 11th hour 100 years ago, #WorldWar1 ended.  Today we celebrate this day as #VeteransDay. Thank you to all who serve! pic.twitter.com/ivsJFOG5EC",1061619556806873089,2018-11-11,14:00:00,senronjohnson,46,28,103
It was a privilege to meet Ed Blomberg of Algoma this summer at the Marine Corps Barracks in Washington. @MBWDC #MarineCorpsBirthday pic.twitter.com/Bf0QKO5iXS,1061316308036284416,2018-11-10,17:55:00,senronjohnson,26,6,34
"Happy Birthday, @USMC! Thank you! #MarineCorpsBirthday pic.twitter.com/SOcjNSWpBl",1061245841954922499,2018-11-10,13:15:00,senronjohnson,42,77,258
Thank you @we_energies for coming to the Joseph Project this week and for donating a 12-passenger van from your fleet. The van will help get #JosephProjectWI participants to their new jobs! pic.twitter.com/BInizqEVMw,1060957528866078721,2018-11-09,18:09:21,senronjohnson,20,5,14
Graduation day for Class 61 of the Joseph Project!  We look forward to seeing where your job interviews with great Wisconsin companies take you. #JosephProjectWI pic.twitter.com/iPs7biq0zb,1060955015500779521,2018-11-09,17:59:21,senronjohnson,10,9,26
A @fema Disaster Recovery Center will open in Marquette County tomorrow for 3 days to help those affected by the big storms in Aug. & Sept. You can get information about rebuilding or making homes more flood resistant. pic.twitter.com/8AJaMOqfD4,1060892010691919872,2018-11-09,13:49:00,senronjohnson,18,2,5
One more day to get in-person help from @fema in Monroe County if you were affected by the August & Sept. storms. pic.twitter.com/lXQzncoPnq,1060657377173798912,2018-11-08,22:16:39,senronjohnson,24,8,16
Voting information for Wisconsinites. #GoVote  https://myvote.wi.gov/en-us/  pic.twitter.com/4Ds3bx0ZJH,1059888497417437184,2018-11-06,19:21:24,senronjohnson,37,5,22
"💯%  Proud to receive the Award for Manufacturing Legislative Excellence from @ShopfloorNAM for a perfect voting record on manufacturing issues. Honored to stand with the men & women who make things in America. 
 http://www.nam.org/uploadedFiles/NAM/Site_Content/Advocacy/Key-Manufacturing-Votes/Award/115th%20Congress%20Award%20Winner%20Senate%20List-%20by%20State.pdf …",1058389677273726976,2018-11-02,16:05:37,senronjohnson,38,7,26
"A @fema Disaster Recovery Center will open tomorrow through Monday in Crawford County to help homeowners, renters and businesses who were affected by those severe storms in August/Sept. Before attending, register for federal assistance here:  https://www.disasterassistance.gov  pic.twitter.com/AJCnhxaFg6",1058129582157651968,2018-11-01,22:52:06,senronjohnson,7,7,6
Thanks for all the great questions from students @NeillsvilleSD High School. Enjoyed visiting your school! pic.twitter.com/TzgavIaaA5,1058116380384526337,2018-11-01,21:59:38,senronjohnson,14,6,13
Great to visit Eau Claire and Marshfield areas with events at @MACCIWI and @ecareachamber. pic.twitter.com/iipfT6NLyl,1058101464139251712,2018-11-01,21:00:22,senronjohnson,13,6,14
"Honored to get the @USChamber's Spirit of Enterprise Award while at the @ecareachamber's Lawmaker Luncheon. Proud to support business and workers, the heart of the American dream!  #SOE18 pic.twitter.com/7bVct5igRD",1058095981533843456,2018-11-01,20:38:35,senronjohnson,14,8,21
