tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Our office welcomed Ohio’s newest citizens in Columbus this week – their diversity, their bravery, and their perseverance help make our state and our country stronger. It’s not where you come from that makes you an American – it’s your commitment to our constitution. pic.twitter.com/4aOsogV8Yd",1218273885487091712,2020-01-17,20:48:23,sensherrodbrown,15,71,549
One child’s death is too many – and we can’t solve the problem if we don’t even have accurate data on how bad it is. Working with @RoyBlunt to change that. https://www.wdtn.com/news/local-news/sherrod-brown-working-on-federal-child-abuse-data-system-following-deaths/ …,1218214509652971526,2020-01-17,16:52:27,sensherrodbrown,9,29,150
Trump's Treasury Dept is writing new regulations to fill in the blanks in the #GOPTaxScam that could amount to another billion+ giveaway to the multinational corporations that lobby the hardest. Yet another betrayal of workers. https://twitter.com/jimtankersley/status/1217877709885341696 …,1217946884351975424,2020-01-16,23:09:00,sensherrodbrown,15,263,346
"Just came off the Senate floor, where we were sworn in as jurors in the impeachment trial - hear my thoughts: pic.twitter.com/a1kjqDo5es",1217906519007813633,2020-01-16,20:28:36,sensherrodbrown,111,318,2055
"I just voted for a trade deal for the first time in my career, because of our work with @RonWyden to fix President Trump’s corporate deal and, for the first time ever, to put workers at the center of a trade agreement. pic.twitter.com/Z8ft1N9COX",1217853840311103490,2020-01-16,16:59:16,sensherrodbrown,20,46,299
Victoria Parks' historic swearing in to the Hamilton County Board of Commissioners is an occasion to celebrate across Ohio. Our government works better when it reflects the people we serve. https://www.wcpo.com/news/local-news/hamilton-county/first-all-female-hamilton-county-commission-swears-in-victoria-parks …,1217830251134377985,2020-01-16,15:25:32,sensherrodbrown,3,25,124
"I’ve spent my career fighting for a trade policy that puts workers first. After working to fix President Trump’s corporate first draft, tomorrow I’m voting “yes” on a trade deal for the first time ever. Read why here >> https://finance.yahoo.com/news/this-senator-has-never-voted-in-favor-of-a-trade-deal-until-now-185531943.html …",1217590438590369792,2020-01-15,23:32:36,sensherrodbrown,25,45,261
WATCH NOW: Speaking with @SenSchumer and @RonWyden about President Trump’s latest worker betrayal and sellout to China. https://www.youtube.com/watch?v=zgTRNWZkqJ8&feature=youtu.be …,1217525493190316032,2020-01-15,19:14:32,sensherrodbrown,14,28,86
"As we celebrate what would have been Dr. King’s 91st birthday today and reflect on his life’s work, we must continue striving to make his  dream of justice and equality for all a reality. As he reminded us, “progress never rolls in on the wheels of inevitability.”",1217483392356405248,2020-01-15,16:27:15,sensherrodbrown,11,117,510
"What do they look like? More money in the pockets of workers and families with the #WorkingFamilies Tax Relief Act.
What do they NOT Look like? The President’s #GOPTaxScam that betrayed workers and gave handouts to corporations and unaccountable CEOs #TaxChat https://twitter.com/MomsRising/status/1216444247265742849 …",1217251049494302722,2020-01-15,01:04:00,sensherrodbrown,11,21,83
Glad to join @NLIHC @DianeYentel @Just_shelter and everyone at today’s #OpportunityStartsatHome event. We need to work together to ensure everyone can afford a place to call home. https://twitter.com/NLIHC/status/1217167242896515072 …,1217194542195191809,2020-01-14,21:19:27,sensherrodbrown,4,16,57
