tweet,id,date,time,username,replies_count,retweets_count,likes_count
It’s a great day for a #Spartan win against Oregon! Good luck @MSU_Football in the @RedBoxBowl #GoGreen!,1079755730096439297,2018-12-31,15:06:41,senstabenow,11,5,50
Good luck to @CoachJim4UM and @UMichFootball as they take on the Florida gators in the @CFAPeachBowl today #GoBlue!,1079026097919049729,2018-12-29,14:47:23,senstabenow,8,6,50
Wishing all celebrating Kwanzaa a wonderful and joyous holiday! pic.twitter.com/BZ0od1ThpZ,1077923673322016768,2018-12-26,13:46:45,senstabenow,15,41,203
Merry Christmas and happy holidays to you and your loved ones! pic.twitter.com/rDRfDOdFfB,1077249841439428610,2018-12-24,17:09:11,senstabenow,13,9,106
The Senate unanimously passed a bipartisan government funding bill with strong border security funding. House Republicans should pass it immediately and President Trump should sign it.,1076309702844317697,2018-12-22,02:53:24,senstabenow,58,26,145
A government shutdown is bad for the country and especially for the border patrol officers and TSA agents who will be forced to work without pay over the holidays.,1076309630572249090,2018-12-22,02:53:07,senstabenow,85,65,320
Hopefully the shortest day of the year means the quickest win of the year for the #Broncos! Good luck to @WMU_Football in the @IDPotatoBowl and happy winter solstice everyone! #LetsRide,1076170879242039297,2018-12-21,17:41:46,senstabenow,8,3,12
"So sorry for your loss, Coach @DantonioMark https://twitter.com/freep/status/1075816884442947584 …",1075876872683220993,2018-12-20,22:13:29,senstabenow,3,3,20
"Vital support for our farmers, families and agricultural economy in Michigan was just signed into law by the President. Proud to co-author this important legislation and to witness its signing! #FarmBill https://www.stabenow.senate.gov/news/senator-stabenow-president-trump-signs-bipartisan-farm-bill- …",1075868268982927360,2018-12-20,21:39:18,senstabenow,28,19,66
Hope everyone is enjoying this festive season so far. Happy holidays to you and your loved ones! pic.twitter.com/AYpDOcmrEb,1075832906021593089,2018-12-20,19:18:47,senstabenow,21,13,101
"The American people have made it clear over and over again that health care is personal, not political. This outrageous court decision affects the health care of literally every American. It must be overturned. pic.twitter.com/K37WevU48M",1075500746261569536,2018-12-19,21:18:54,senstabenow,99,130,523
"Warmest congratulations to Peter and Amy Rothstein, from West Bloomfield, for making it on @ForbesUnder30 list! Amazing to see how far you both and your business, @DonaChai, have come! https://www.mlive.com/news/kalamazoo/2018/12/kalamazoo-college-alumnus-honored-on-forbes-30-under-30-list.html …",1075467046874431488,2018-12-19,19:04:59,senstabenow,2,6,31
"The 2018 #FarmBill could not have happened without the important work being done on a daily basis by our conservation and environmental leaders. I am so thankful to them for working with me to protect our land, water and wildlife. https://www.bridgemi.com/guest-commentary/opinion-environmental-issues-just-got-boost-you-can-thank-debbie-stabenow …",1075444831776849924,2018-12-19,17:36:43,senstabenow,6,15,62
"While there is still much more work to be done to ensure fairness and justice for all Americans, this bill is an important step in the right direction and the Senate should pass it.",1075087032958009344,2018-12-18,17:54:57,senstabenow,9,7,21
"Last night, I voted to advance a bipartisan criminal justice reform bill. It’s called the #FirstStepAct because it takes the first step towards reforming and modernizing our criminal justice system. https://www.washingtonpost.com/politics/criminal-justice-bill-clears-hurdle-in-the-senate-on-strong-bipartisan-vote/2018/12/17/da9e09e0-0232-11e9-8186-4ec26a485713_story.html?utm_term=.acae69d04d32 …",1075086982143975424,2018-12-18,17:54:45,senstabenow,10,19,98
"The 2018 #FarmBill doubles down on the progress we have already made for Michigan agriculture. It will support Detroit’s growing agriculture economy and make sure our communities have access to more healthy, local food. https://www.detroitnews.com/story/news/politics/michigan/2018/12/17/stabenow-farm-bill-michigan-urban-agriculture/2332256002/ …",1074795967688396801,2018-12-17,22:38:22,senstabenow,12,25,61
"I voted against Ryan Zinke’s nomination and it’s past time that he step down. The next Secretary of the Interior needs to stand up for our Great Lakes and public lands, not cozy up to big oil and gas companies. https://www.washingtonpost.com/national/health-science/interior-secretary-zinke-resigns-amid-investigations/2018/12/15/481f9104-0077-11e9-ad40-cdfd0e0dd65a_story.html?utm_term=.75a28b4fbf5e …",1074782923147108352,2018-12-17,21:46:32,senstabenow,9,25,156
"Great to be with @MayorMikeDuggan, @BlakeFarms, and @FarmOakland at Eastern Market this morning to celebrate the passage of the 2018 #FarmBill, which supports Michigan agriculture — our 2nd largest industry! pic.twitter.com/KEQy3XSPih",1074721511758536704,2018-12-17,17:42:30,senstabenow,2,6,16
I agree. The Senate should send a clear message that we stand against this outrageous ruling that threatens our health care. https://www.politico.com/story/2018/12/16/schumer-obamacare-senate-vote-republicans-1066716 …,1074699145275940866,2018-12-17,16:13:37,senstabenow,106,141,523
This outrageous federal court ruling threatens health coverage for millions of Americans. Read my statement here: https://www.stabenow.senate.gov/news/stabenow-statement-on-federal-court-ruling-threatening-health-care-for-millions-of-americans …,1073982460126486528,2018-12-15,16:45:46,senstabenow,28,25,107
"This week, Congress passed the 2018 #FarmBill, which I co-authored to support Michigan’s farmers and communities. It’s truly a bipartisan victory that has Michigan on every page! https://www.9and10news.com/2018/12/12/farmers-applaud-passing-of-new-farm-bill/ …",1073644842864050176,2018-12-14,18:24:12,senstabenow,7,9,59
Congrats @RepDanKildee! https://www.mlive.com/news/flint/2018/12/congressman-dan-kildee-appointed-to-leadership-position-in-us-house.html …,1073640371949891584,2018-12-14,18:06:26,senstabenow,3,7,28
"Happy 382nd birthday to the @USNationalGuard and all our Michigan guardsmen and women! Thank you to all who have served, past and present #Guard382 #AlwaysReadyAlwaysThere",1073345945864159232,2018-12-13,22:36:29,senstabenow,3,8,38
The Senate took a very important step today towards stopping US involvement in the war in Yemen. Michigan is home to a large Yemeni-American community and I stand with them calling for an end to the worst humanitarian crisis in the world.,1073327912001200133,2018-12-13,21:24:50,senstabenow,16,53,248
"Great to join @Morning_Joe to talk about passage of our bipartisan Farm Bill with the largest vote ever in the Senate and a strong vote in the House. If you work hard to build consensus on both sides of the aisle, you can get a lot done. pic.twitter.com/fsUwDrv26t",1073274316375146496,2018-12-13,17:51:52,senstabenow,10,14,83
"Sending my condolences to all of Jessica Starr’s loved ones and the entire @Fox2News family – she will be greatly missed. If you or someone you know needs help, I urge you to please call the National Suicide Prevention Lifeline 24 hours a day at 800-273-8255.",1073251201507123202,2018-12-13,16:20:01,senstabenow,2,42,160
"It may not have been the result we wanted in the @UMichFootball @OhioStateFB game, but I got to share some delicious @BellsBrewery Christmas Ale with my friend @SenRobPortman to settle our bet today! pic.twitter.com/D2KGaGb9UP",1073001203427172354,2018-12-12,23:46:36,senstabenow,0,2,9
BREAKING NEWS - House passes bipartisan 2018 #FarmBill. It now heads to the President’s desk! Read more about the wins for MI here:  https://www.stabenow.senate.gov/imo/media/doc/2018%20Farm%20Bill%20MI%20Handout.pdf …,1072965559212539907,2018-12-12,21:24:58,senstabenow,21,47,195
Now on to the House of Representatives and then to the President's desk!,1072634683085783045,2018-12-11,23:30:11,senstabenow,3,6,43
"Big news - the Senate just passed our bipartisan Farm Bill that has Michigan on every page! This bill strongly supports our farmers and agricultural economy, our state's second largest industry, and maintains a strong safety net for families and seniors in need.",1072634640207372289,2018-12-11,23:30:01,senstabenow,20,55,368
So excited that former First Lady @MichelleObama will be speaking in Detroit tonight @LCArena_Detroit. Wish I could be there – thank you for sharing #IAmBecoming with us! https://www.clickondetroit.com/all-about-michigan/michigan-events/michelle-obama-brings-book-tour-to-detroit-on-tuesday …,1072591862765109249,2018-12-11,20:40:02,senstabenow,6,14,136
"The 2018 bipartisan #FarmBill is a jobs bill for Michigan – it will fuel our economy, support our farmers, protect our Great Lakes, strengthen our small towns and rural communities as well as improve food access for our families. https://www.stabenow.senate.gov/news/stabenow-final-farm-bill-has-michigan-on-every-page …",1072536647659675650,2018-12-11,17:00:38,senstabenow,7,19,59
"The deadline for health care open enrollment is Saturday, December 15th – that means only one week left to make sure you and your family are covered! Visit  http://HealthCare.gov   to find a plan.",1072235753676128257,2018-12-10,21:04:59,senstabenow,4,35,50
"🚨🚨🚨

Big Pharma is making a closed-door push to raise drug prices for seniors in the end-of-year spending bill.
   
Dems won't let that happen! https://twitter.com/AARPadvocates/status/1070078546259963904 …",1072188402869637121,2018-12-10,17:56:50,senstabenow,16,47,105
We will never forget the bravery and sacrifice of our heroes at #PearlHarbor – today we honor and thank them and all who served in World War II.,1071054201030103040,2018-12-07,14:49:55,senstabenow,6,31,206
Dean Robb was an incredible civil rights activist – his character and his commitment to helping others is unmatched and will forever be remembered. Sending thoughts and prayers to Cindy and all of Dean’s family.,1070815220690505728,2018-12-06,23:00:18,senstabenow,0,5,19
It is absolutely critical that we find new opportunities for our workers who have lost their jobs. I told Mary Barra that @GM must also make sure that future investments are made in Michigan – not overseas. I will continue to stand with Michigan’s autoworkers no matter what.,1070790408203063301,2018-12-06,21:21:42,senstabenow,12,25,100
"I just finished meeting with @GM CEO Mary Barra and members of the Michigan delegation. I am deeply disappointed by the GM plant closures in Michigan and the devastating impact it will have on our workers, their families, and our communities.",1070790287470063623,2018-12-06,21:21:13,senstabenow,21,30,124
"This is a power grab, clear and simple. It goes against the will of people who made their voices heard at the voting booth 30 days ago. https://www.msnbc.com/all-in/watch/the-republicans-midwest-power-grab-extends-to-michigan-1389936195701 …",1070712642791268352,2018-12-06,16:12:41,senstabenow,208,1172,2533
Proud to cosponsor the BOLD Infrastructure for Alzheimer's Act that assists the 5.7 million Americans living with Alzheimer’s dementia – thank you @alzassociation for the hard work you do in helping those and their loved ones suffering from Alzheimer’s.,1070421909999890432,2018-12-05,20:57:25,senstabenow,6,21,78
"I agree, @ElleMagazine: a woman’s place is in the House and the Senate! Can’t wait to serve with all of these impressive women in the next Congress. https://www.elle.com/culture/career-politics/a25310446/congresswomen-2018/ …",1070413227924881413,2018-12-05,20:22:55,senstabenow,50,197,907
"Honored to be a part of the ceremony preceding the Lying in State of George H.W. Bush, a true American patriot and a good man. #Remember41 pic.twitter.com/7ZdrKh6rnb",1069732980405485568,2018-12-03,23:19:51,senstabenow,3,10,97
Fortunate to have known George for many years. He really set the standard for journalistic integrity and had a deep understanding of Michigan politics. https://twitter.com/RichardBurr_DN/status/1069640848374185985 …,1069709126849179650,2018-12-03,21:45:04,senstabenow,2,8,37
"I co-authored this bill to provide much needed certainty to our Michigan farmers and families, protect our land and Great Lakes and revitalize our small towns and rural communities.",1069681748324347905,2018-12-03,19:56:17,senstabenow,4,7,45
We have finally reached a bipartisan agreement in principle on a new #FarmBill that will continue to strengthen Michigan agriculture! pic.twitter.com/ncPCTwVxWv,1069681682847031296,2018-12-03,19:56:01,senstabenow,12,25,112
Happy Hanukkah to my Jewish friends in Michigan and across the country! pic.twitter.com/DIBXrBYfLk,1069648404815507456,2018-12-03,17:43:47,senstabenow,1,9,35
Happy 60th birthday to my great friend and fellow senator for our amazing Great Lakes State @SenGaryPeters! Wishing you a wonderful day filled with happiness!,1068882410983444486,2018-12-01,15:00:00,senstabenow,8,21,239
"We mourn the loss of former President George H.W. Bush and honor his lifetime of service to our country – as a Navy pilot in World War II, a diplomat, and a statesman who brought principled leadership to the world. Our hearts are with the Bush family during this difficult time.",1068877371414126592,2018-12-01,14:39:58,senstabenow,6,27,155
This is not how elections work. Voters made their choices at the ballot box and state Republicans need to respect the results. https://www.freep.com/story/news/politics/2018/11/29/michigan-bill-limit-democratic-power/2156549002/ …,1068663998957133829,2018-12-01,00:32:06,senstabenow,499,2450,4623
