tweet,id,date,time,username,replies_count,retweets_count,likes_count
The Mark Takai Atomic Veterans Healthcare Parity Act will recognize those veterans and ensure they are able to receive access to the medical treatment for which their service should have entitled them to long ago.,1101208197094871041,2019-02-28,19:51:08,senthomtillis,21,6,35
.@SenTinaSmith and I reintroduced our bipartisan legislation to secure health care benefits for “Atomic Veterans” who were exposed to harmful radiation when they cleaned up nuclear testing sites during the late 1970s. https://www.tillis.senate.gov/public/index.cfm/press-releases?id=30397C48-1DD8-4DEC-8851-BDCCC70E8D56 …,1101208196218277889,2019-02-28,19:51:08,senthomtillis,26,6,52
Welcomed 7th graders from Pine Lake Preparatory Middle School to Capitol Hill. pic.twitter.com/43HkYOp0lA,1100879955045552128,2019-02-27,22:06:49,senthomtillis,31,5,50
"I joined a bipartisan group of colleagues to introduce a disaster relief package which would provide additional federal relief for North Carolina as it recovers from #HurricaneFlorence, as well as other states reeling from recent natural disasters. https://www.tillis.senate.gov/public/index.cfm/press-releases?ID=C29E5CD5-6E50-4A04-B384-A2A440515C3F …",1100828182834540544,2019-02-27,18:41:05,senthomtillis,50,21,78
I strongly support President Trump’s efforts to secure our borders but believe we should not set a precedent that I know future presidents will exploit to advance radical left-wing policies that will erode economic and individual freedoms. pic.twitter.com/sqL2ULqSWp,1100534170089074688,2019-02-26,23:12:47,senthomtillis,1192,109,548
"My op-ed | @washingtonpost @PostOpinions 
""There is no intellectual honesty in now turning around and arguing that there’s an imaginary asterisk attached to executive overreach — that it’s acceptable for my party but not thy party."" https://wapo.st/2EenOdv ",1100392932325183488,2019-02-26,13:51:34,senthomtillis,742,256,882
I’m pleased to see this Administration develop a plan of action to further our mission of deploying high-speed broadband access to all Americans and I look forward to complementing the ongoing efforts of stakeholders at every level to address this connectivity challenge. https://twitter.com/WHOSTP/status/1095685289912225792 …,1098663657960099840,2019-02-21,19:20:02,senthomtillis,94,16,88
"Congratulations to Navami Jain from Charlotte, one of 40 student finalists in the Regeneron Science Talent Search 2019! #RegeneronSTS  https://bit.ly/2HsFZ4h ",1097971590992723968,2019-02-19,21:30:01,senthomtillis,18,9,36
"The Senate passed the Justice for Victims of Lynching Act, legislation that is a long-overdue step to criminalize lynching and honor those who suffered from these disgusting acts of violence. https://www.tillis.senate.gov/public/index.cfm/press-releases?ID=8E2C92CF-3FAA-4823-B4BA-BDD110EBF379 …",1096556645147119616,2019-02-15,23:47:31,senthomtillis,75,27,121
My full statement on President Trump's National Emergency Declaration:  https://www.tillis.senate.gov/public/index.cfm/press-releases?id=788AE382-A3D2-4DC7-AF17-1951F8C5E40A … pic.twitter.com/8kO1TePJA0,1096500735200673798,2019-02-15,20:05:21,senthomtillis,733,132,431
ICYMI: My statement on the confirmation of Bill Barr as the United States Attorney General: https://www.tillis.senate.gov/public/index.cfm/press-releases?id=18290042-5B28-4FC7-95D3-1003F52B78D0 …,1096410146098565121,2019-02-15,14:05:23,senthomtillis,47,5,25
"Happy Valentine's Day to the love of my life, Susan. pic.twitter.com/TLS3qMKuUi",1096160677188771842,2019-02-14,21:34:05,senthomtillis,28,12,95
"Rest in Peace @RepWalterJones, thank you for your dedicated service to North Carolina and this great nation. pic.twitter.com/lWlEOCj97u",1096136661438791681,2019-02-14,19:58:39,senthomtillis,7,15,60
"Thank you to @NTIAgov for collaborating with 8 states, including North Carolina, to broaden and update the national broadband availability map so we can work to ensure that all Americans have access to broadband. https://twitter.com/NTIAgov/status/1095361469116571651 …",1096113785318842370,2019-02-14,18:27:45,senthomtillis,7,2,16
"I sent a bipartisan letter with @SenatorBurr urging congressional leaders to promptly pass disaster supplemental funding legislation to help communities recover in the aftermath of recent natural disasters, including Hurricane Florence. https://www.tillis.senate.gov/public/index.cfm/press-releases?id=FE14AF6C-469C-4B85-AFD9-03AAE11A84A3 …",1096035077140697088,2019-02-14,13:15:00,senthomtillis,38,9,49
The Senate unanimously passed bipartisan legislation I co-sponsored that will strengthen partnerships between federal agencies and the country’s more than 100 HBCUs.  https://www.tillis.senate.gov/public/index.cfm?p=press-releases&id=B9F4156A-4F03-4F7D-8056-4E78E0C80BE7&fbclid=IwAR2gYUzn-axGpx8Jn8TpFSACnFc_r1q57bK0-2xBifQJHyF0yZHgqD9Oeow … pic.twitter.com/AWcHTmzGpI,1095834253525278721,2019-02-13,23:57:00,senthomtillis,13,9,31
"The Senate passed a provision I authored to annually designate at least one city in the United States as an “American World War II Heritage City,” with Wilmington, NC likely to be among the first cities to receive the honor.  https://www.tillis.senate.gov/public/index.cfm/press-releases?ID=2451929D-3C62-4EE8-A176-609DF9CBD8CF&fbclid=IwAR0pN5sGL00LGpjZiF1FKot1wcNgpp9bKn4qrRkFi0pnnDCVOCEg0nZWJQQ … pic.twitter.com/lunlfQShjO",1095783118299164673,2019-02-13,20:33:48,senthomtillis,19,12,65
"Welcome home to @FtBraggNC, soldiers! 🇺🇸 https://twitter.com/ABC11_WTVD/status/1094914617682419712 …",1095480109971185664,2019-02-13,00:29:45,senthomtillis,4,11,73
My thoughts and prayers are with the three @FtBraggNC @ArmyGK injured during a training exercise in FL. https://twitter.com/ABC11_WTVD/status/1095348004956057600 …,1095387899879739392,2019-02-12,18:23:21,senthomtillis,11,10,32
"My statement on the passing of Congressman Walter B. Jones, Jr.
 https://www.tillis.senate.gov/public/index.cfm/press-releases?id=5F93D311-DA60-48CA-8837-B0783A0BB7BB … pic.twitter.com/ej4KNTj4o2",1094747870308302849,2019-02-11,00:00:06,senthomtillis,12,17,64
".@SBAgov Offers Disaster Loans for NC Private NonProfit Organizations Affected by Tropical Storm Michael. @SBAsoutheast @SBA_NC
 https://www.sba.gov/offices/disaster/dfoce/resources/1635106 …",1093977016771198976,2019-02-08,20:57:00,senthomtillis,14,4,10
My letter to administration officials requesting additional info on the recent decision to open the Atlantic Outer Continental Shelf for review under a new oil & gas leasing program. What actions are agencies taking to safeguard longstanding industries in our coastal communities? pic.twitter.com/SyNKV2Zd3q,1093928883999657985,2019-02-08,17:45:44,senthomtillis,47,11,46
"2.7.19: Shine a Light on Slavery Day 
Please join me in raising awareness for more than 40 million people trapped in modern day slavery and human trafficking. #EndItMovement pic.twitter.com/JbIxfo2uz9",1093641086344544256,2019-02-07,22:42:08,senthomtillis,20,24,41
"This is big news for North Carolina and the city of Charlotte. The Queen City continues to reaffirm its status as a world-class finance and banking hub, currently the second biggest in the county. https://twitter.com/business/status/1093476149227864065 …",1093613371923070977,2019-02-07,20:52:00,senthomtillis,22,16,75
"My statement after voting to advance Bill Barr’s nomination for Attorney General to the floor of the U.S. Senate. 
 https://www.tillis.senate.gov/public/index.cfm/press-releases?id=B2FFEDD2-F8C1-44ED-A20F-DA54D3DB3258 … pic.twitter.com/bfHkAc6W3P",1093597125378797568,2019-02-07,19:47:27,senthomtillis,39,11,49
I joined @RepBillFlores to re-introduce the Hatch-Waxman Integrity Act in the Senate and House. The legislation would help ensure that alternative procedures for challenging drug patents do not tilt the playing field contrary to Hatch-Waxman’s design. https://www.tillis.senate.gov/public/index.cfm/press-releases?ID=F06BBFE3-171E-496E-A03E-DD7C9777DA31 …,1093266106796646400,2019-02-06,21:52:06,senthomtillis,10,4,13
The 2019 tax filing season is now underway. Find help to file and prepare your tax return on the #IRS site.  http://www.irs.gov/help  https://twitter.com/IRSnews/status/1093200238452592640 …,1093216203798167552,2019-02-06,18:33:48,senthomtillis,18,6,6
It was an honor to welcome North Carolina natives Pastor Andrew Brunson and Norine Brunson as my guests to the #SOTU. One of my proudest moments as a U.S. Senator was the work we did to help secure Andrew’s release from Turkish prison. pic.twitter.com/kcUveMuu31,1092994065291988992,2019-02-06,03:51:06,senthomtillis,50,73,426
"My full statement on President Trump’s #SOTU address.
 https://www.tillis.senate.gov/public/index.cfm/press-releases?id=05670D3C-8961-4DFF-A5AA-957B60491C13 … pic.twitter.com/wWjxKyED5Q",1092990199523614721,2019-02-06,03:35:44,senthomtillis,54,18,63
"Empowering veterans to make decisions about their own health care is not only the right thing to do, it is a critical step in allowing the VA to continue to modernize and meet the needs of an increasingly diverse veteran community. https://twitter.com/fayobserver/status/1091789286784024576 …",1092535644805623809,2019-02-04,21:29:30,senthomtillis,21,16,54
"It’s an incredible feeling that nearly one year after I first met Pastor Andrew Brunson in a Turkish prison, where he faced an effective life sentence, I now have the honor of welcoming him and his wife, Norine, as my special guests to the #SOTU. https://www.tillis.senate.gov/public/index.cfm/press-releases?id=B25F4FDD-4717-443D-A603-02A06DE303FC …",1092500470873157632,2019-02-04,19:09:44,senthomtillis,42,103,347
Good luck to North Carolina native @TG3II in the #SuperBowl today.  Great story on his journey from Tarboro — and what brings him back. https://www.charlotteobserver.com/sports/nfl/carolina-panthers/article225355755.html …,1092096655191613440,2019-02-03,16:25:07,senthomtillis,2,10,42
"This week, I signed a bipartisan letter to @EPAAWheeler asking for set drinking standards on PFOA and PFOS, including GenX. https://www.tillis.senate.gov/public/index.cfm/press-releases?ID=9915915D-F3DA-4B21-9D10-C50762B76435 …",1091840707785048064,2019-02-02,23:28:04,senthomtillis,22,6,42
Happy #GroundhogDay! Looking forward to an early spring. pic.twitter.com/rNbp6M1Mbx,1091709299691261953,2019-02-02,14:45:54,senthomtillis,28,8,56
"I often ask military leaders what keeps them up at night. Time and time again, their answer is the rapidly growing national debt and the uncertainty it brings. I'm proud to cosponsor legislation to require POTUS & Congress to enact annual balanced budgets. https://www.tillis.senate.gov/public/index.cfm/press-releases?id=D3D2CABF-AF7A-484A-9E75-0429ECCFD7A2 …",1091460184298405889,2019-02-01,22:16:00,senthomtillis,102,24,124
"""Tillis introduced legislation on Monday that would provide responsible management of the [Corolla] wild horse population. The time is right."" | @JournalNow https://www.journalnow.com/opinion/editorials/our-view-protect-the-corolla-wild-horses/article_343b8e5a-fba3-55a6-8a67-b3131b4b83d5.html …",1091417281144520704,2019-02-01,19:25:32,senthomtillis,10,3,17
"This month, we reflect on the African-American history and heritage in North Carolina and across our country. #BlackHistoryMonth pic.twitter.com/LCo0qTaviY",1091394607919910912,2019-02-01,17:55:26,senthomtillis,148,8,53
