tweet,id,date,time,username,replies_count,retweets_count,likes_count
A blanket tax increase on American consumers is the wrong remedy for the crisis at the southern border. Congress must step up and reassert its Constitutional responsibility on tariffs. Read my full statement--  http://bit.ly/2Wvru63 ,1134567594067931137,2019-05-31,21:09:28,sentoomey,334,45,240
I am pleased to hear that the @EPA granted a temporary waiver to grant Allegheny County commuters access to cheaper gas. I will continue to fight and work with the EPA until the job is finished and prices at the pump return to normal. http://bit.ly/2Ww3xeF ,1134190208705081344,2019-05-30,20:09:52,sentoomey,79,7,42
Sanctuary city policies pose a threat to public safety. I spoke with @CharlesFLehman from @FreeBeacon yesterday about my legislation to get local politicians to comply with federal immigration law. http://bit.ly/2WuFJYN ,1134137953368858624,2019-05-30,16:42:14,sentoomey,210,61,182
"Officer Chad McGowan of the Harrisburg Police Department is an American hero. On a harrowing night in 2017, Officer McGowan bravely ran towards danger, killing a deranged shooter & saving many lives. I was honored to present him with the Congressional Badge of Bravery. pic.twitter.com/ZwG5raGceq",1134109888987181056,2019-05-30,14:50:42,sentoomey,38,20,109
"This #MemorialDay, we should each take time to remember the brave men & women who've given their lives in defense of our nation. God bless the veterans who gave what Abraham Lincoln called the ""last full measure of devotion,"" the troops that protect us today, & their families. pic.twitter.com/qlILkIle00",1133000149293248513,2019-05-27,13:21:00,sentoomey,100,19,84
Last week was National Police Week — a time to send a message that we support law enforcement officers who are keeping our communities safe. Read my op-ed in the @CourierTimes reflecting on their service and sacrifice. http://bit.ly/2VZDcGH ,1131928395049242626,2019-05-24,14:22:14,sentoomey,45,10,19
"Robocalls are the worst. So we're doing something about it. Today, the Senate passed bipartisan legislation to crackdown on these miserable calls from scammers. By the way... If someone calls to say you won a free trip to the Bahamas, you didn't. Sorry.",1131638178765524997,2019-05-23,19:09:01,sentoomey,184,82,464
"In 2015, Philly's sanctuary city policy blocked DHS from deporting a violent illegal immigrant, Juan Ramon Vasquez. He was permitted to roam free and in 2016 he raped a 5-yr-old girl. Philly’s sanctuary city policy enabled this awful crime.   http://bit.ly/2VWMjrm  pic.twitter.com/5Dzu6LwIfu",1131615011095437312,2019-05-23,17:36:57,sentoomey,156,28,51
"Honored to have @FLEOAORG's support for my Thin Blue Line Act. Law enforcement officers across the US put themselves at risk to protect & serve our communities. My bill sends a clear message: if you kill or target an officer, expect the harshest penalty. https://abcn.ws/2W4CIz6 ",1131569501034749957,2019-05-23,14:36:07,sentoomey,55,11,35
"Yesterday, the Senate unanimously passed my bipartisan legislation to provide tax relief for Gold Star children across Pennsylvania and the nation. The House should move quickly to pass it and send it to the president for his signature. pic.twitter.com/KAVn1KxIAs",1131254507403456518,2019-05-22,17:44:26,sentoomey,63,14,64
The Senate unanimously passed my bipartisan bill to lower taxes for Gold Star children. These families have all endured a terrible tragedy - the loss a loved one in the line of duty. The House should move swiftly to pass this measure. More:  http://bit.ly/2VToC3i ,1130913782836944896,2019-05-21,19:10:31,sentoomey,55,36,120
"In the tragic event that a police officer is killed in the line of duty, we owe that officer and his family justice. My Thin Blue Line Act makes clear this point: if you murder or target a police officer, expect the harshest possible penalty. Learn more: pic.twitter.com/XjXUP7JKBK",1130569205538066432,2019-05-20,20:21:18,sentoomey,63,16,47
"This #WorldBeeDay, a throwback to the day I installed my family's first beehive! We've since gotten a second hive and have been enjoying homemade honey ever since! pic.twitter.com/e7ajvSfaqx",1130527444375678981,2019-05-20,17:35:21,sentoomey,50,10,73
"ICYMI, I joined @FoxNewsSunday this AM and we discussed a host of issues, including ongoing trade tensions with China, the admin’s misuse of “national security” tariffs, and more. Watch here:   https://video.foxnews.com/v/6038558884001/#sp=show-clips …",1130127635454005248,2019-05-19,15:06:39,sentoomey,130,9,11
"Today, we celebrate #ArmedForcesDay. Let us each give thanks to the brave men and women who serve in defense of our great nation. Thank you all for your service and sacrifice.",1129736978705076224,2019-05-18,13:14:19,sentoomey,48,8,60
"The Commerce Department has it wrong. Toyota Corollas and VW Beetles do not pose a national security threat. Putting tariffs on imported cars would hurt our economy, and raise vehicle and car repair prices for Americans.  http://bit.ly/2VIUpUt ",1129476435268243458,2019-05-17,19:59:01,sentoomey,104,63,226
"This year will mark a century since the 19th amendment was ratified, which granted women across America the right to vote. I'm happy to support @LisaMurkowski’s resolution honoring and recognizing the efforts of the women's suffrage movement.",1129440986617307137,2019-05-17,17:38:09,sentoomey,135,12,76
Gas prices in #SWPA should not be through the roof. I've been working to remove Allegheny County from the summer gas mandate. Glad to see the @EPA is moving quickly to bring down prices at the pump: http://bit.ly/2VH3Gwt ,1129364378959187969,2019-05-17,12:33:45,sentoomey,41,7,41
"Given the life-threatening dangers police officers face every day, we have an obligation to send a message to criminals: if you kill or target a cop, expect the death penalty. My Thin Blue Line Act does just that:  http://bit.ly/2VHg1AO ",1129085177035198464,2019-05-16,18:04:18,sentoomey,132,22,104
".@WSJopinion is right: We don’t have a revenue problem, we have a spending problem. After tax reform, federal revenue is up, but federal spending has increased even faster. https://on.wsj.com/2VA7zDc ",1128415357260242945,2019-05-14,21:42:40,sentoomey,192,56,172
Good news. Glad to see the President revised his original budget proposal to fight for restoration of our Great Lakes and the communities that rely upon them. https://twitter.com/realDonaldTrump/status/1128051913419837442 …,1128083221600710657,2019-05-13,23:42:53,sentoomey,84,8,58
"Each day, law enforcement officers across the state and nation selflessly put themselves in harm’s way. This week, we give thanks to all of those who bravely protect and serve our communities. #PoliceWeek2019 pic.twitter.com/1VMJFQBEKl",1127999682414829568,2019-05-13,18:10:56,sentoomey,59,26,118
Kim Jong-un is a brutal dictator who is responsible for the death of Otto Warmbier. @ChrisVanHollen & I introduced bipartisan legislation in Otto's memory that ratchets up pressure on the North Korean regime. Learn more about our bill & why it's important: http://bit.ly/2VBQkS7 ,1127953405991890945,2019-05-13,15:07:03,sentoomey,99,17,84
"Wishing my wife Kris, my mother, and all the other fantastic moms out there a love filled and happy #MothersDay! pic.twitter.com/GWBwWVcrmj",1127560741165436929,2019-05-12,13:06:44,sentoomey,61,7,98
Saddened to hear of David Montgomery's passing. He was integral to the @Phillies successes & securing the @MLB All Star game for the city in 2026. His legacy is one of charity & improving the lives of others. My condolences are with his family & the entire Phillies community. https://twitter.com/Phillies/status/1126098368449667078 …,1126110833380155393,2019-05-08,13:05:19,sentoomey,23,8,80
"The @EximBankUS, absent reforms, is an example of corporate welfare that puts U.S. taxpayers at risk and subsidizes China, Russia, and huge corporations. That’s why I am opposing all three nominations to the Ex-Im board.  http://bit.ly/2Vntttm  pic.twitter.com/gTF8tcqXoz",1125875802413903872,2019-05-07,21:31:23,sentoomey,39,12,41
"Actively working with @SenDougJones on a bipartisan bill to crack down on any country, like China, that allows the export of this lethal, illicit drug to our shores.  http://bit.ly/2SgzCG5  https://twitter.com/DailySignal/status/1125766234769907712 …",1125777694266929154,2019-05-07,15:01:32,sentoomey,24,7,32
#SWPA commuters are paying more for gas than anyone else in the state because of a misguided federal mandate. I'm working with the @EPA to allow gas stations in Allegheny County to sell regular fuel. That will bring down prices at the pump! More: http://bit.ly/2VqKz9S ,1125760096703741953,2019-05-07,13:51:37,sentoomey,70,10,39
Kim Jong-un’s provocations against the U.S. and our allies are unacceptable. North Korea isn't a good faith negotiator and we must step up the pressure. I'm grateful for Fred and Cindy Warmbier's support of my and @ChrisVanHollen's bipartisan BRINK Act.  https://washex.am/2ViSqG7 ,1125438296165953537,2019-05-06,16:32:54,sentoomey,66,17,40
"Gas prices in Allegheny County don't have to rise. I am working with the @EPA to allow the delivery of cheaper fuel, which will bring down prices at the pump in the county. https://cbsloc.al/2VbocF8 ",1124420609411354626,2019-05-03,21:08:58,sentoomey,102,16,82
"Another month, another set of great job numbers. In April, our economy added 263,000 more jobs and the unemployment rate dropped to 3.6%, which is a 50 year low. More evidence that tax reform and regulatory relief are working! http://bit.ly/2VaXuws ",1124294314312577025,2019-05-03,12:47:07,sentoomey,190,37,129
"More than 82,000 U.S. service members have been listed as POW/MIA or unaccounted for as a result of our nation’s wars and conflicts. Our bipartisan bill would honor them and their families by flying the POW/MIA flag more frequently.  http://bit.ly/2V8FRx8 ",1124020181972471808,2019-05-02,18:37:49,sentoomey,54,10,35
Great news for #SWPA! @U_S_Steel is investing $1 billion to upgrade the Mon Valley Works! This project will keep PA at the forefront of U.S. steelmaking and keep good paying jobs in Allegheny County for years to come.  http://bit.ly/2V7PmN7 ,1123950414083366913,2019-05-02,14:00:35,sentoomey,29,8,35
"It was a pleasure to meet Jordan Lewis from Hershey today. Jordan is representing Pennsylvania in the @PoetryOutLoud National Recitation Contest! Congratulations Jordan, you've made our commonwealth proud! pic.twitter.com/yskkZynvZA",1123647741933105154,2019-05-01,17:57:52,sentoomey,21,2,21
