tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Earlier this month, @SenJackReed & I urged the @USGAO to investigate the national security risks posed by climate change to the @DeptofDefense supply chain. I’m pleased that the GAO accepted our request. https://thehill.com/policy/energy-environment/441383-gao-will-review-military-contractors-climate-change-readiness …",1123344743734358016,2019-04-30,21:53:52,senwarren,90,257,960
This morning I sent a letter to the @DHSOIG requesting an investigation into how @DHSgov obtained surveillance data from family separation protests & how DHS officials & law enforcement agencies have used that information. I want answers. pic.twitter.com/tG7347UjfJ,1123282457745338369,2019-04-30,17:46:22,senwarren,109,465,1630
"Today, my friend @AdyBarkan is testifying in the House about why we need #MedicareForAll. He makes a powerful case for why health care is a human right. Read it here:  https://medium.com/@beahero/ady-barkans-testimony-on-medicare-for-all-submitted-to-the-house-committee-on-rules-april-30-acf98a381894 … pic.twitter.com/095c5touml",1123230943752404993,2019-04-30,14:21:40,senwarren,251,1129,4764
".@Chase: why aren’t customers saving money?
Taxpayers: we lost our jobs/homes/savings but gave you a $25b bailout
Workers: employers don’t pay living wages
Economists: rising costs + stagnant wages = 0 savings
Chase: guess we’ll never know
Everyone: seriously?
 
#MoneyMotivation pic.twitter.com/WcboMr5MCE",1122954072867450880,2019-04-29,20:01:29,senwarren,2765,26260,92425
"It is not a crime to attend a peaceful rally against this admin’s horrific family separation policy – in fact, I joined thousands of people at the Families Belong Together protest in Boston. The @DHSgov IG should investigate this serious abuse of power. https://theintercept.com/2019/04/29/family-separation-protests-surveillance/ …",1122947145567436805,2019-04-29,19:33:57,senwarren,300,1137,3417
"Happy to celebrate a big conservation victory: the official designation of the Nashua River system as National Wild & Scenic Rivers. Thank you @RepLoriTrahan & Niki Tsongas for leading this fight to protect the Nashua, Squannacook, & Nissitissit Rivers at the federal level. https://twitter.com/RepLoriTrahan/status/1122641475723042817 …",1122889813869441024,2019-04-29,15:46:08,senwarren,53,231,1370
"Last year, 69 workers in Massachusetts died on the job. On #WorkersMemorialDay, we honor their memory, and the millions of workers across the country who are hurt or killed at work each year. I’ll keep fighting for protections to ensure every worker is safe on the job.",1122557517232578560,2019-04-28,17:45:42,senwarren,272,774,3738
"The tragedy at the Chabad of Poway synagogue was an attack on the Jewish community — not just in Poway, but everywhere. We will not be divided by hate & fear. An attack on one of us is an attack on all of us.",1122486951448387584,2019-04-28,13:05:18,senwarren,325,1389,7651
"70% of adults who misuse prescription opioids get them from friends or family. I passed a bipartisan bill that lets patients partially fill opioid prescriptions. By disposing of unused medication on #TakeBackDay, you can help fight the #OpioidEpidemic. Find a collection site: https://twitter.com/DEAHQ/status/1122154690278563840 …",1122209735611179008,2019-04-27,18:43:45,senwarren,217,286,1154
"Today on her birthday, we remember Coretta Scott King, a civil rights hero who dedicated her life to the fight for racial & economic justice. On the floor of the Senate & all across this country, we won't let anyone silence her powerful voice.  https://www.facebook.com/senatorelizabethwarren/videos/724337794395383/ …",1122164059594481664,2019-04-27,15:42:15,senwarren,143,789,3542
Great news for Massachusetts families & terrible news for the @NRA! I’m deeply grateful for @MassAGO Maura Healey’s courageous work to stand up to the gun lobby & keep weapons of war off our streets. MA is a leader in gun safety & the federal govt should follow its example. https://twitter.com/MassAGO/status/1121898468522565632 …,1122135788383289344,2019-04-27,13:49:54,senwarren,451,3582,16560
My affordable housing bill would help start to close the wealth gap between Black & white families caused by decades of housing discrimination by helping first-time homebuyers in formerly redlined or officially segregated areas. pic.twitter.com/qUQl2XPwLr,1122128279891251200,2019-04-27,13:20:04,senwarren,243,684,3833
We cannot ignore the history of housing discrimination in this country & its lasting impact on African American families. I'm very glad that the @TheBACBoston has taken on this powerfully important subject. http://www.wbur.org/artery/2019/04/25/redlining-exhibit …,1122127976173318144,2019-04-27,13:18:52,senwarren,170,796,3771
I’m very glad that a federal judge blocked @realDonaldTrump's unlawful scheme to attack the #TitleX family planning program. Judge Bastian is right: this administration's rule “creates unreasonable barriers for patients to obtain appropriate medical care.” https://www.washingtonpost.com/national/health-science/trump-abortion-gag-rule-blocked-by-federal-judge/2019/04/25/c147359a-67ac-11e9-a1b6-b29b90efa879_story.html …,1121836717617635329,2019-04-26,18:01:30,senwarren,245,1072,4881
"I’ve got a plan that would force housing providers to clean up their act. @RepDebHaaland & I are introducing legislation to increase oversight & transparency, & give military families greater rights to ensure their homes are safe. It's what they deserve. https://www.reuters.com/article/us-usa-housing-bill/senator-warren-introduces-military-housing-bill-to-boost-inspections-transparency-idUSKCN1S2142 …",1121762370932682752,2019-04-26,13:06:05,senwarren,119,680,3291
"Our military families deserve safe, clean housing. But some are living with mice, mold, or lead paint. Why? Because the private companies that build and maintain these homes are padding their own pockets instead of serving military families – and DoD hasn't held them accountable. pic.twitter.com/3QukCmQwac",1121761841103945728,2019-04-26,13:03:58,senwarren,384,2661,8485
This is a big win for coastal communities and our environment – but the Trump Admin never should have pushed to expand offshore drilling to begin with. It’s time for @SecBernhardt to bury this plan once and for all. https://twitter.com/CNBC/status/1121497681908649985 …,1121565016572997632,2019-04-26,00:01:52,senwarren,140,609,2881
"I’ve spent years fighting back against shady for-profit colleges, & the officials & organizations that enable them to defraud students & taxpayers.

We should ban for-profit colleges from sucking down federal dollars. pic.twitter.com/iK17H7whmM",1121512834842673153,2019-04-25,20:34:31,senwarren,720,1489,6646
"Too many Americans are being crushed by student debt. Our government should be investing in creating opportunities for people like Alexis and Akilah, not grinding them down even further. https://www.cnbc.com/2019/04/23/more-student-loan-borrowers-are-getting-their-tax-refunds-seized.html …",1121196803255304193,2019-04-24,23:38:43,senwarren,758,842,3628
"The first bill I introduced in the Senate was to slash the interest rate on federal student loans to the same deal the big banks got. For years, I’ve been pushing ways to roll back student loan debt because students don't have an army of lobbyists & lawyers. pic.twitter.com/eNPdtKjNhZ",1120835153641857029,2019-04-23,23:41:39,senwarren,505,1472,6490
"The #2020census must count every single person. Our Constitution demands it. Our democracy requires it. By adding an unnecessary citizenship question, @realDonaldTrump and @SecretaryRoss are fanning the flames of hate and bigotry and jeopardizing the Census’ accuracy. It’s wrong. https://twitter.com/NPR/status/1120659080454950912 …",1120721556529872896,2019-04-23,16:10:15,senwarren,1214,1851,6790
"Student loan debt was the first fight I picked when I got to the Senate – because if we drown our students in debt, we drown this country’s future. pic.twitter.com/vWWX2cVDOG",1120464471368060928,2019-04-22,23:08:41,senwarren,1126,2267,10741
"Let’s recognize #EarthDay by stating the simple facts:
🔬 We believe in science.
🏝 We know the climate crisis is happening.
🚫 We aren’t doing enough to #ActOnClimate. 

It's time for big, bold action. It's time for a #GreenNewDeal.",1120428451276697601,2019-04-22,20:45:33,senwarren,498,1685,7688
"Long before I ever came within a hundred miles of politics, I was a teacher. I just wanted every kid to get a chance to build something. That’s why I’ve fought so hard to end the student debt crisis & invest in opportunities for America’s young people: https://www.warren.senate.gov/newsroom/press-releases/as-a-long-time-champion-of-students-senator-warren-leads-the-fight-to-end-the-student-debt-crisis-and-truly-invest-in-opportunities-for-young-people …",1120394147440013313,2019-04-22,18:29:15,senwarren,468,815,4105
"Congratulations to @UFCW and the 31,000 @StopandShop workers who are back on the job today after striking to secure fair wages, health and retirement benefits for workers. When we fight together, we win. https://www.bostonglobe.com/metro/2019/04/21/tentative-deal-reached-between-stop-shop-striking-workers-company-says/f8oZ3CJaOqlBpRgJlFL0oO/story.html …",1120344244177256449,2019-04-22,15:10:57,senwarren,139,518,2421
"I believe there is God in each and every one of us. I believe the Lord calls on us to act. And that when we do act, the Lord will give us the strength we need. Wishing a Happy Easter to all those celebrating today. pic.twitter.com/Wd9Xy32U5o",1119986909663637506,2019-04-21,15:31:02,senwarren,979,1810,10812
"Space Force won’t increase our competitive advantage in space, or make America any safer. It’s just another layer of military bureaucracy that we’ll have to pour buckets of money into. I think taxpayers deserve better. pic.twitter.com/AKPokqlsFM",1119292600496869376,2019-04-19,17:32:06,senwarren,1159,2917,12610
"When disaster strikes, everyone should get the help they need. But the evidence shows this isn’t always the case. @BennieGThompson & I want @USGAO to review how disaster aid programs may worsen inequality in our country so we can do something about it. pic.twitter.com/PL4bMmLpTe",1119022477974360064,2019-04-18,23:38:43,senwarren,144,310,1131
"My oldest brother was career Air Force, so I know how much servicemembers contribute even after they retire – and that deserves special thanks. I worked to pass a bipartisan resolution designating today as Military Retiree Appreciation Day to recognize their continued service. https://twitter.com/AMVETSHQ/status/1118869717970837505 …",1118971471358042118,2019-04-18,20:16:02,senwarren,219,507,3417
"The AG is supposed to serve as the country’s top law enforcement officer – someone who stands up for the rule of law & defends the US Constitution against all enemies, foreign or domestic.

William Barr is standing up for only one person: the President of the United States.",1118890472330678274,2019-04-18,14:54:11,senwarren,2642,6093,23290
".@realDonaldTrump’s cruel immigration policies are filling detention centers, many of which are run by private companies that are raking in taxpayer dollars. Some of the conditions are appalling and there's zero accountability. @ICEgov needs to own up to this and fix it – now. https://twitter.com/rollcall/status/1118579464827494401 …",1118625779619901441,2019-04-17,21:22:23,senwarren,801,1672,4554
"The @BostonGlobe is right: “It’s time to create a government-run TurboTax-like service, provide a return-free option for taxpayers, and end the Tax Day rip-off from these companies.” And I’ve got the bill to do it. https://www.bostonglobe.com/opinion/editorials/2019/04/16/the-government-should-doing-your-taxes-for-free/BrS2I20cFPmxSLO707KxXN/story.html …",1118539184824827904,2019-04-17,15:38:17,senwarren,553,2452,9540
Congress passed a bipartisan bill to stop US support for Saudi Arabia’s war in Yemen. @realDonaldTrump has just vetoed it. We can’t keep writing the Saudis blank checks. It's time to end our complicity in this humanitarian crisis – I’ll keep on fighting to get it done.,1118348623195058176,2019-04-17,03:01:04,senwarren,835,5429,21664
"Title X provides basic health care services like birth control, cancer screenings, & HIV testing for millions of Americans. I’m in this fight to protect & expand Title X funding all the way. #ProtectX https://twitter.com/PPact/status/1118258816708169730 …",1118294283730264065,2019-04-16,23:25:08,senwarren,163,1531,5603
"Thank YOU for leading this fight, @tressiemcphd! We make each other stronger. https://twitter.com/tressiemcphd/status/1118259076234924033 …",1118286982533218306,2019-04-16,22:56:08,senwarren,45,186,1035
"Dr. @tressiemcphd has spent years studying how for-profit colleges prey on the poor, women, & people of color – sucking down taxpayer dollars & loading up students with debt for useless degrees, while Wall Street rakes in the cash. I just think that’s fundamentally wrong. pic.twitter.com/TqEBqcPDq7",1118249929275842561,2019-04-16,20:28:53,senwarren,368,3095,10510
"The fact remains: Military student loan borrowers overpaid $100M+ in student loan interest charges because of @usedgov & @DeptofDefense’s lack of communication. Service members & veterans should receive refunds for interest they never owed, but paid anyway.",1118198362317185024,2019-04-16,17:03:59,senwarren,45,461,1717
I successfully included a provision in the 2018 @DeptofDefense budget authorization to automate service members' student loan benefits. I’m very glad DoD proposed an agreement with @usedgov this week to ensure military student loan borrowers receive the benefits they’re owed. pic.twitter.com/vns2tnIpwM,1118198041708724225,2019-04-16,17:02:42,senwarren,26,340,1554
Active duty service members in war zones are supposed to be exempt from paying any interest on their federal student loans. But hundreds – if not thousands – of military borrowers did not see that benefit due to bureaucratic obstacles at @DeptofDefense & @usedgov.,1118197770194759681,2019-04-16,17:01:38,senwarren,96,869,2408
"David Bernhardt should have never been confirmed to lead @Interior with a slew of outstanding ethics complaints. I'm glad the Department's watchdog has now agreed to investigate. Bernhardt's supposed to protect our public lands, not his business interests​. https://www.latimes.com/business/hiltzik/la-fi-hiltzik-bernhardt-ethics-investigation-20190415-story.html …",1118157271815663616,2019-04-16,14:20:42,senwarren,106,737,2855
"Months ago, I called for an investigation into David Bernhardt's work at @Interior to weaken important water and wildlife protections that benefited his former lobbying clients. But the Senate still voted to confirm him last week, despite his blatant conflicts of interest.",1118157270435663874,2019-04-16,14:20:42,senwarren,178,1289,3971
"That means if you paid one dollar in taxes on #TaxDay, you paid more than Amazon, Chevron, and Eli Lilly – combined. 

When giant corporations contribute nothing while hard-working families pay their fair share, that’s a rigged system.",1117939283694895104,2019-04-15,23:54:30,senwarren,188,1289,4131
Corporations spent millions of dollars and sent armies of lobbyists to push for the #GOPTaxScam. The result? A tax code so full of loopholes that dozens of giant companies paid nothing on #TaxDay. https://itep.org/notadime/ ,1117938958514774018,2019-04-15,23:53:12,senwarren,104,995,2824
"Over the last 60 years, corporations have paid less and less in taxes, while working families foot the bill for critical government services. This #TaxDay, it’s time to ask who this country works for. pic.twitter.com/IzNRH5ndou",1117938553378562048,2019-04-15,23:51:36,senwarren,438,2534,8750
"Today we remember the victims of the #BostonMarathon tragedy, & we honor them with a new Boston tradition: #OneBostonDay. It’s a day for random acts of kindness to celebrate Bostonians' strength & the generosity that people showed us from around the world. How will you celebrate? pic.twitter.com/BiD11iMpSK",1117785338414497795,2019-04-15,13:42:46,senwarren,96,176,942
"Happy Patriots’ Day, Massachusetts – and good luck to everyone running in the #BostonMarathon! Our Commonwealth & our country are cheering for you today.",1117763846373105674,2019-04-15,12:17:22,senwarren,80,312,2335
"My bill would let millions of Americans simply sign and return a pre-filled tax form, and require the IRS to create a free online tax preparation and filing service – making #TaxDay easier and cheaper for everyone. https://www.washingtonpost.com/opinions/2019/04/12/good-elizabeth-warren-wanting-make-it-simpler-file-taxes/?utm_term=.0bcd85012f15 …",1116741568612974592,2019-04-12,16:35:12,senwarren,270,823,3568
"Every year, taxpayers waste too much time and money on tax preparation. And low-income and minority taxpayers are hit the hardest, according to a new report that @SenDuckworth and I requested: https://www.gao.gov/products/GAO-19-269 …",1116741567207940096,2019-04-12,16:35:12,senwarren,89,314,1709
