tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Is this heaven?........ It’s Iowa.
Man’s best friend? https://pgj.cc/uYWeGE ",1079051136303353863,2018-12-29,16:26:53,stevekingia,124,606,2440
"On this day, December 28, 1846, Iowa became a state. What does Iowa mean to Iowans? Here’s a scene from my deck.  Iowa became a ‘Field of Dreams’.  “Is this heaven?” “It’s Iowa.” “I could have sworn it was heaven.” pic.twitter.com/xw3Oltp0ne",1078750259268984832,2018-12-28,20:31:18,stevekingia,76,84,370
Merry Christmas to all as we celebrate the Birth of Jesus and God’s Promise of Redemption. “O Night Divine” https://pgj.cc/XRTz2S ,1077554840270761984,2018-12-25,13:21:08,stevekingia,82,76,452
.@realDonaldTrump hang in there with us on $5.7 billion for the wall funding! It’s your mandate from the American People. I will be the last to blink!,1075881892908556288,2018-12-20,22:33:26,stevekingia,785,2551,10367
Finally! Flour in a resealable Zip-Lock bag! The resilient & perpetual break-open&spill paper package is defunct after a century of countless messes. 😋Happy daze! pic.twitter.com/uNkwzvihr0,1075200930520489985,2018-12-19,01:27:32,stevekingia,205,55,406
"Admiral Ace Lyons was a warrior, a Patriot, a strategic thinker, a straight shooter & a master of plain speak. God Bless him & may he RIP. https://twitter.com/AndrewCMcCarthy/status/1074142813976231936 …",1074797735855996928,2018-12-17,22:45:23,stevekingia,19,13,57
".@RealDonaldTrump is right on The Weekly Standard’s deserved demise (“pathetic and dishonest”). If the articles targeting me were redacted until only truth remained, there would not be much left to read. https://pgj.cc/tmhTuP ",1074345863600893959,2018-12-16,16:49:48,stevekingia,964,719,2384
"My gratitude to my Iowa Ag Leadership Committees who worked with me to ensure the #FarmBill reflects our needs. I'm pleased my efforts to reform CRP, promote Ag trade, establish an FMD vaccine bank & improve broadband were included & I look forward to #realdonaldtrump signing it.",1073711614250106880,2018-12-14,22:49:32,stevekingia,45,30,132
.@JohnSamplesCato you did what liberals do. You assigned me a motive & a position. Didn’t you hear me say I don’t want to regulate Google but this is what can happen if they don’t self regulate? https://pgj.cc/xpAW6z ,1073291105591025664,2018-12-13,18:58:35,stevekingia,139,34,84
"Tomas Homan, a most knowledgeable & strong advocate for the Rule of Law and border security, was my guest speaker at Conservative Opportunity Breakfast this morning. pic.twitter.com/hSJ5ctBKT0",1072979997688823808,2018-12-12,22:22:21,stevekingia,171,77,325
"Pres George H.W. Bush joined millions of Americans in enlisting after the sneak attack on Pearl Harbor 77 years ago. He understood that “eternal vigilance is the price of liberty.” On #PearlHarbor Day we owe thanks to everyone who, like Bush, answered the call.",1071111036537896960,2018-12-07,18:35:46,stevekingia,210,30,154
Former FBI Director James Comey is now testifying before a closed session of House Judiciary & OGR Committees. pic.twitter.com/2cWD1MvJPx,1071067512668872704,2018-12-07,15:42:49,stevekingia,107,52,138
"It was a powerful experience honoring the life of George H.W. Bush. He was a kind & gentle man who served at the highest level of excellence in every capacity. Bush 41 wrote thousands of personal notes, one of which I will cherish forever.",1070466666155442176,2018-12-05,23:55:16,stevekingia,82,28,196
"Your Iowa District #4 Congressional staff, including little Jackson & the youngest Chief of Staff on the Hill. Due to budget cuts, Marilyn & I shared a sweater. pic.twitter.com/fs2lNM61eL",1070325555218796552,2018-12-05,14:34:32,stevekingia,60,16,112
USDA @SecretarySonny expects China to begin purchasing soybeans again on Jan 1. That’s a New Year’s Resolution that our farmers will appreciate. Iowans look forward to a New Year of soybean exports to China & the prospect of a finalized trade deal. https://reut.rs/2QclxZ8 ,1069722835017322496,2018-12-03,22:39:33,stevekingia,65,24,78
"Thomas Sowell, One of America’s wisest of Wise Men. https://twitter.com/RealCandaceO/status/1069585361888784384 …",1069606068345552896,2018-12-03,14:55:33,stevekingia,31,27,97
"While France experiences its worst riots since the 1960’s, Macron is wobbly & a new French opinion poll is released.  https://pgj.cc/dAbwBZ ",1069345993475407872,2018-12-02,21:42:06,stevekingia,173,783,1467
".@RealDonaldTrump, Xi & China have moved trade negotiations in a positive direction. Exports to China to increase immediately. Good News! An opening that could put all our trade back on the rails & a potential IP Piracy fix, too.  https://pgj.cc/AF14kO ",1069230622663675906,2018-12-02,14:03:40,stevekingia,49,90,197
"President George H. W. Bush, now called home to the Lord. Bush 41 was a noble statesman, a Greatest Generation Warrior, the loved and revered kind hearted patriarch of one of America’s greatest families. RIP",1068976880873865219,2018-12-01,21:15:23,stevekingia,59,20,137
