tweet,id,date,time,username,replies_count,retweets_count,likes_count
"@VDHanson pens the clearest, consummate perspective on @realDonaldTrump impeachment effort by Leftists. Who wins? Find out here. https://esca4.app.goo.gl/PzQZ ",1200535869867855872,2019-11-29,22:03:50,stevekingia,2,6,13
"Today, we celebrate the 398th Thanksgiving, thanking God for another bountiful harvest and for the promise it gives for many more. Faith, family, Freedom in abundance as measured by history.",1200037886604824594,2019-11-28,13:05:02,stevekingia,37,56,291
"@VDHanson pens the clearest, consummate perspective on @realDonaldTrump impeachment effort by Leftists. Who wins? Find out here.  https://pgj.cc/xnjZ3i ",1199875817687408640,2019-11-28,02:21:02,stevekingia,1,5,6
"@VDHanson pens the clearest, consummate perspective on @realDonaldTrump impeachment effort by Leftists. Who wins? Find out here.  https://pgj.cc/cxQEah ",1199679122278100993,2019-11-27,13:19:26,stevekingia,1,7,7
"Atty Gen Barr’s insightful speech to the @FedSoc. “...after...Trump won...opponents inaugurated...“The Resistance,” and they rallied around an explicit strategy of using every tool and maneuver available to sabotage the functioning of his Administration.“ https://pgj.cc/52zOq1 ",1195750276487163904,2019-11-16,17:07:36,stevekingia,58,59,157
"I have long said, “The best thing for our country is for good people to have a lot of babies and raise them right.”",1195725413823197185,2019-11-16,15:28:48,stevekingia,277,749,3594
"Adam Schiff said, “I do not know the identity of the whistleblower.” Me either, but @RepAdamSchiff here’s a better clue. pic.twitter.com/0DP9lOClpB",1195050755272650752,2019-11-14,18:47:57,stevekingia,1914,2831,5178
"Oh, Canada! The black facing Prime Minister is re-elected and the face of Canadian hockey is fired for patriotic speak. https://twitter.com/tomselliott/status/1193991343116374016 …",1194249336688758786,2019-11-12,13:43:24,stevekingia,213,477,1374
The United States of America is the flagship for Western Civilization. https://esca4.app.goo.gl/aJ3Z ,1194018601461788672,2019-11-11,22:26:33,stevekingia,69,31,83
"On this Veterans Day, let us remember the service of our veterans, and let us renew our national promise to fulfill our sacred obligations to our veterans and their families who have sacrificed so much so that we can live free. – Dan Lipinski pic.twitter.com/Nf4mekyzb2",1194001765563338752,2019-11-11,21:19:39,stevekingia,27,8,50
"Today, Nov. 9, 2019, marks 30 years since “the single most significant historical event of my lifetime,” the fall of the Berlin Wall. The Wall was the Iron Curtain which came crashing down all over Europe. Freedom, for a time, echoed all the way to the Pacific. pic.twitter.com/mCnLWzvDa5",1193167714199711745,2019-11-09,14:05:25,stevekingia,34,37,118
It was a pleasure meeting with Ambassador Denis @EmbassyofHaiti to discuss the ongoing humanitarian crisis in that nation. @USAID_Haiti is doing the right thing by sending emergency food and I am happy to help this effort succeed.   https://tinyurl.com/y4yvkapq  pic.twitter.com/IUOQpRHAAR,1191828343102066688,2019-11-05,21:23:14,stevekingia,22,7,25
