tweet,id,date,time,username,replies_count,retweets_count,likes_count
Congratulations to all of the #IN05 schools that were recognized by @usnews as 2019 Best High Schools by Metro Area! @chsinfo @MyZvilleSchools @EastbrookHS1 @Oak_HillHS @MGJSHSPrincipal & @MCSCSchools >> http://www.insideindianabusiness.com/story/40632916/hoosier-high-schools-ranked-by-metro-area …,1145438859066523648,2019-06-30,21:07:59,susanwbrooks,3,3,9
@chsinfo’s girls lacrosse team took home the state title at the Indiana High School Lacrosse Associations girl state championship. Well done! “It was the second consecutive state title for Carmel (17-3-1) and fifth since 2011.” >> http://youarecurrent.com/2019/06/07/carmel-high-school-girls-lacrosse-team-overcomes-rough-start-to-win-second-consecutive-state-title/ …,1144605623226699778,2019-06-28,13:57:00,susanwbrooks,1,0,0
"I am proud that today, Congress is showing the American people we can work together in a bipartisan way to address the ongoing humanitarian crisis at our southern border. 

 https://susanwbrooks.house.gov/media-center/press-releases/brooks-votes-to-provide-humanitarian-aid-relief-for-the-crisis-at-our … pic.twitter.com/o2UuS8O3tn",1144359263588012033,2019-06-27,21:38:04,susanwbrooks,10,18,49
Providing urgently needed relief for the thousands upon thousands of migrant families & unaccompanied children at our southern border as well as our federal agents who are working to care for these individuals is something every Republican & Democrat should support.,1144359262946283522,2019-06-27,21:38:04,susanwbrooks,7,1,7
"""More than two dozen GOP lawmakers on Thursday lined up on the House floor to call for a unanimous consent vote on the bipartisan Senate-passed bill to provide emergency humanitarian border aid."" ⬇️ https://thehill.com/homenews/house/450670-house-republicans-line-up-on-floor-to-call-for-unanimous-consent-on-senate …",1144292576645832705,2019-06-27,17:13:04,susanwbrooks,2,2,8
House Democrats: take up the #bipartisan Senate amendment to HR3041. It passed the Senate 84-8 & @POTUS already publicly supported it. There is an ongoing humanitarian crisis at our southern border that MUST be addressed. Let's work together to provide urgently needed relief. pic.twitter.com/AkROroggwt,1144280333401153538,2019-06-27,16:24:25,susanwbrooks,35,126,361
".@HSEHighSchool also had a winner in the girls state meet, Kennedy Drish, who won the pole vault for the 3rd year in a row. “Drish broke her own regional record with a vault of 12 feet, 6 inches and then went 12 feet, 9 inches in winning state.”
>> http://youarecurrent.com/2019/06/15/hamilton-southeastern-sprinter-sets-para-record-in-winning-state/ …",1144274040749776896,2019-06-27,15:59:25,susanwbrooks,0,0,0
"“Malone, who is visually impaired, broke a para world record in winning the 200-meter dash in a time of 21.307 seconds, breaking the previous standard of 21.56.”",1144274039583780865,2019-06-27,15:59:25,susanwbrooks,2,0,1
Congratulations to Noah Malone of @HSEHighSchool for breaking a para world record after winning the 200-meter dash at the IHSAA Boys State Track &Field Meet! He will participate in Paralympic events in Switzerland & Peru in August.,1144274038413496320,2019-06-27,15:59:24,susanwbrooks,1,1,4
"Three #IN05 high schools recently took home state titles in baseball — congratulations to @amhstigers, @HSEHighSchool & @UHSathletics!",1143868992580464640,2019-06-26,13:09:54,susanwbrooks,1,1,1
