tweet,id,date,time,username,replies_count,retweets_count,likes_count
"Every year, @AnneHolton and I go to the movies between Thanksgiving and New Year’s Day with family in VA and KC. 5 great movies this year: Harriet, Knives Out, Parasite, Uncut Gems, Little Women.",1212100575149445121,2019-12-31,19:57:51,timkaine,39,20,248
Wishing luck to Coach Fuente and the @HokiesFB in their matchup against Kentucky in the @belkbowl today. Go Hokies!,1212057123053424642,2019-12-31,17:05:11,timkaine,6,9,59
The US conducted airstrikes in Iraq over the objections of the Iraqi government. Now Iraqi protesters broke into the US Embassy. Trump’s malpractice in the region is making us less safe. Time for Congress to stop this foolish rush to war.,1212034179765960704,2019-12-31,15:34:01,timkaine,1058,4139,13579
Congratulations to @UVAFootball on a remarkable season! Same goes to @GatorsFB and @ScottforFlorida. Expect a delicious Virginia ham very soon.,1211872092565585920,2019-12-31,04:49:57,timkaine,8,10,146
Friends and family know that I love reading. This year’s Christmas gift books will keep me busy for a while! pic.twitter.com/IZJnpWlnbl,1211725999768948737,2019-12-30,19:09:25,timkaine,25,20,259
You’ve got a deal!,1211684391954472960,2019-12-30,16:24:05,timkaine,1,2,15
"I’m feeling confident about the Cavaliers in the #CapitalOneOrangeBowl tonight. Care to make a bet, @ScottforFlorida? #GoHoos",1211656441834008576,2019-12-30,14:33:01,timkaine,11,9,97
This is heartbreaking news from an American hero — Anne and I are keeping Congressman Lewis and his family in our prayers. https://twitter.com/NBCNews/status/1211423666388508673 …,1211433316269735936,2019-12-29,23:46:24,timkaine,24,141,1383
"If the Trump Administration was serious about fighting corruption and bigotry abroad, they would have taken a stronger stand in support of Amb. Foote. LGBTQ rights are human rights and the US needs to call out human rights violations whenever we see them. https://www.cnn.com/2019/12/26/opinions/trump-administration-undercuts-us-ambassador-zambia-filipovic/index.html …",1210617121492721664,2019-12-27,17:43:08,timkaine,24,103,363
"We took Anne’s folks to their church this morning and then reprised a Holton family tradition—reading A Christmas Carol aloud. God bless us, every one! pic.twitter.com/qughKyqPo7",1209913834627948545,2019-12-25,19:08:31,timkaine,21,38,932
"I’m thinking of our servicemembers who are not able to spend the holidays with loved ones. Military families make immense sacrifices for our nation, and I’m grateful for their service.",1209888971431374848,2019-12-25,17:29:44,timkaine,22,84,698
Merry Christmas! I’m grateful to celebrate with Anne and our kids this year. Wishing everyone a joyful holiday season.,1209860295633469441,2019-12-25,15:35:47,timkaine,20,51,629
Senior Saudi officials continue to escape accountability for the state-sponsored murder of Jamal Khashoggi. The Trump Administration should be demanding justice for the brutal killing of a journalist and VA resident instead of ignoring the CIA’s assessment of who killed him.,1209166382480281600,2019-12-23,17:38:25,timkaine,98,183,582
"Wishing everyone celebrating the Festival of Lights a warm and joyous holiday. Chag Sameach, Happy Hanukkah!",1208874999664087040,2019-12-22,22:20:34,timkaine,20,62,475
"Our bill to raise the tobacco age to 21 just passed! This is an enormous victory for the health of young people. By raising the age to buy tobacco products nationwide, we can save 223,000 lives and reduce youth tobacco use. A big step forward to improve public health.",1207732097718222848,2019-12-19,18:39:05,timkaine,111,120,1116
"This year, one of my top priorities was addressing the dangerous conditions that I saw firsthand in military housing across Virginia—I’m thankful that my colleagues supported my provisions to tackle this issue. These reforms will go a long way towards fixing the problem. https://twitter.com/connorobrienNH/status/1206997179686150149 …",1207008888639250432,2019-12-17,18:45:18,timkaine,18,31,115
I’m thrilled that my bill to raise the tobacco age will get a vote in the House and Senate this week. This legislation will have an enormous positive impact on public health in our country—and it’s needed now more than ever as we grapple with the youth e-cigarette epidemic. https://twitter.com/politico/status/1206586049322999809 …,1206708004013297664,2019-12-16,22:49:42,timkaine,56,67,362
So proud of @UVAMenSoccer on a fantastic season and a hard-fought game tonight. Cavaliers always in the hunt.,1206404399439892480,2019-12-16,02:43:17,timkaine,12,8,109
Does the President really not have anything better to do today than attack a 16 year old? https://twitter.com/CNN/status/1205140265461321729 …,1205214815091863552,2019-12-12,19:56:18,timkaine,175,217,1410
"Glad the Senate Foreign Relations Committee passed my bipartisan bill to prevent any U.S. president from leaving NATO without congressional approval. After 70 years, Congress sees the vitality of this alliance—no matter what Trump says or does to raise concern among our allies.",1204874454234304512,2019-12-11,21:23:50,timkaine,78,486,2045
"The House and Senate have found consensus to end surprise medical bills that show up long after treatment AND raise the age for tobacco products to 21. This bill would prevent 223,000 premature deaths. It's a no brainer.  http://www.nationalacademies.org/hmd/~/media/Files/Report%20Files/2015/TobaccoMinAge/tobacco_minimum_age_report_brief.pdf …",1204590699988930562,2019-12-11,02:36:17,timkaine,19,64,306
Confirmation that the President can’t treat the U.S. military like his own personal piggy bank. https://twitter.com/CNNPolitics/status/1204541566364332033 …,1204563887929954304,2019-12-11,00:49:45,timkaine,50,249,1393
"So now President Trump is mad at Director Wray for not accepting the President’s bizarre and debunked conspiracy theories... 

It’s really awful to have a President who keeps attacking our nation’s law enforcement officials and veterans. https://twitter.com/realDonaldTrump/status/1204374382715506690 …",1204427343906799617,2019-12-10,15:47:10,timkaine,52,92,380
I’m so relieved Xiyue Wang can finally come home to his family. https://twitter.com/Princeton/status/1203285319870799877 …,1203359916112506880,2019-12-07,17:05:36,timkaine,19,43,386
"Today we remember all the brave Americans who lost their lives at Pearl Harbor 78 years ago, and honor the heroes who fought for us during and after the horrific attacks. https://twitter.com/USSArizona/status/1203174061515231233 …",1203353945801805824,2019-12-07,16:41:52,timkaine,11,107,631
"I'm horrified by the multiple shootings on our military bases this week, and I'm praying for the families of the victims. We must do everything we can to support and protect those who are serving our nation.",1203044204588326913,2019-12-06,20:11:04,timkaine,28,53,357
"In the past few weeks, the Iranian government has killed hundreds of its own civilians. I’m horrified by the regime’s barbarous crackdown on protesters.",1202754160183013376,2019-12-06,00:58:32,timkaine,82,77,351
