tweet,id,date,time,username,replies_count,retweets_count,likes_count,tdatetime
"ATTENTION HIGH SCHOOL STUDENTS AND PARENTS: My office will host an informational event on Saturday, April 20 for students interested in pursuing an appointment to one of our nation’s fine military service academies. 🇺🇸 RSVP here:  https://facebook.com/events/651840365247179/ …",1111709544273580032,2019-03-29,19:19:44,tomcoleok04,0,1,5,2019-03-29 19:19:44
It's always a pleasure to see fellow Oklahomans and #OK04 constituents when I'm working in DC. Was glad I got to speak with @LFSChamber during their annual visit to our nation's capital earlier this week. #FourthDistrictFriday pic.twitter.com/284bXzNZZe,1111684255720050688,2019-03-29,17:39:15,tomcoleok04,0,1,3,2019-03-29 17:39:15
There is no place in our communities for such despicable symbols and language so clearly meant to threaten other human beings and those with differing points of view.,1111398321736671233,2019-03-28,22:43:03,tomcoleok04,5,5,29,2019-03-28 22:43:03
"I am appalled by the destructive acts of hate in two Oklahoma City locations today, and I strongly condemn both counts of vandalism. https://cole.house.gov/media-center/press-releases/cole-and-mullin-condemn-hateful-vandalism …",1111398319115255809,2019-03-28,22:43:02,tomcoleok04,7,5,27,2019-03-28 22:43:02
"Staff Sergeant Atkins is added to the more than 3,500 Medal of Honor recipients, including #OK04's Sergeant Troy A. McGill of Ada:  https://www.okhistory.org/historycenter/militaryhof/inductee.php?id=288 …",1111036548823302144,2019-03-27,22:45:29,tomcoleok04,0,2,12,2019-03-27 22:45:29
Today @POTUS posthumously awarded Staff Sgt. Travis Atkins with the Medal of Honor. The selfless and courageous actions Atkins took during the Iraq War are now rightly categorized among the most heroic in American military history. https://www.nbcnews.com/politics/politics-news/trump-presents-medal-honor-family-iraq-war-hero-n988186 …,1111035933648973824,2019-03-27,22:43:03,tomcoleok04,1,3,18,2019-03-27 22:43:03
"When in DC for legislative business, lawmakers can still film segments for TV back home. Yesterday, I enjoyed recording an interview about the Mueller report for @KSWO_7NEWS. WATCH HERE:  https://bit.ly/2JJTKg6  pic.twitter.com/ofy1hla1Bb",1110924304454242305,2019-03-27,15:19:28,tomcoleok04,6,0,3,2019-03-27 15:19:28
One month left for #OK04 high school students to enter the Congressional Art Competition! Artwork is accepted at any of my district offices or the Ardmore Chamber of Commerce until April 26. More info:  https://cole.house.gov/services/art-competition … pic.twitter.com/1B142664T4,1110561541231915009,2019-03-26,15:17:59,tomcoleok04,2,0,4,2019-03-26 15:17:59
"It's been nearly three months since the 116th Congress was sworn in. Between several weeks of legislative business and time spent in #OK04, there's a lot to cover. But I tried to provide a thoughtful wrap-up in my latest e-news here:  https://bit.ly/2YmRmz4 ",1110343597759569920,2019-03-26,00:51:57,tomcoleok04,3,0,7,2019-03-26 00:51:57
"ICYMI: To cap off a dedicated week at home, I sat down with @NewsOKPolitics on Friday to talk about what I heard and learned from my constituents during town halls and other visits across the Fourth District. WATCH here:  https://youtu.be/JLd5z1x8ozg  pic.twitter.com/zgX4zsQnbR",1110325713058566154,2019-03-25,23:40:53,tomcoleok04,0,2,3,2019-03-25 23:40:53
There was NO collusion between Russia and President Donald Trump or his campaign. pic.twitter.com/rZyeYvJ7kh,1110018779646435328,2019-03-25,03:21:14,tomcoleok04,19,9,22,2019-03-25 03:21:14
#BoomerSooner! Of course I'll be cheering for @OU_MBBall today as they take on Ole Miss in Round 1 of the NCAA Tournament! #MarchMadness https://twitter.com/OU_MBBall/status/1109067199325618178 …,1109133653605519367,2019-03-22,16:44:04,tomcoleok04,1,0,5,2019-03-22 16:44:04
"ICYMI: Last week, the Arbuckle Project Maintenance Complex and District Office Conveyance Act was signed into law as part of S. 47. This is a big win for Oklahoma's Fourth District: https://bit.ly/2Yc6YoN ",1108477546155462657,2019-03-20,21:16:56,tomcoleok04,1,2,5,2019-03-20 21:16:56
