tweet,id,date,time,username,replies_count,retweets_count,likes_count
Wishing you and your family a happy holiday season! pic.twitter.com/sJuKvunh3E,1077725979496407041,2018-12-26,00:41:11,usrepmikedoyle,2,1,16
I couldn't agree more! https://twitter.com/ABC/status/1077271895081472000 …,1077276498581692416,2018-12-24,18:55:06,usrepmikedoyle,7,10,31
"@POTUS promised to sign bill the Senate passed UNANIMOUSLY, but shut down govt over Wall he said Mexico’d pay for. Law enforcement officers & other govt employees working w/o pay - many others sent home w/no pay. Dems want effective border security but won't waste $ on his Wall.",1076524907691982853,2018-12-22,17:08:33,usrepmikedoyle,6,4,3
"Today Congress approved S.512, which includes language I spearheaded in the House with @RepKinzinger. This bill will provide transparency and certainty for nuclear power plants, so that they can continue producing carbon free energy that is essential to curbing climate change.",1076265157167366144,2018-12-21,23:56:24,usrepmikedoyle,3,3,17
Thank you to Brenda Jones for signing the CRA discharge petition to restore #NetNeutrality rules! We must act now to save the free and open internet!,1075844467079417856,2018-12-20,20:04:43,usrepmikedoyle,1,33,40
Thank you to @RepMGS for signing the CRA discharge petition to restore #NetNeutrality rules!,1075835357143416832,2018-12-20,19:28:31,usrepmikedoyle,1,32,38
That’s signatures by Members of Congress on the #NetNeutrality discharge petition. Sorry for any misunderstanding!  https://clerkpreview.house.gov/DischargePetition?Page=2 …,1074317044961763328,2018-12-16,14:55:18,usrepmikedoyle,1,3,2
"Today marks one year since the FCC repealed #NetNeutrality. Millions of Americans have spoken up in support of #NetNeutrality rules, and it is time to act on my CRA discharge petition to force a vote on the House Floor! pic.twitter.com/41IqB6kdn9",1073639507914883072,2018-12-14,18:03:00,usrepmikedoyle,3,16,17
"We have 180 signatures on the CRA discharge petition to restore #NetNeutrality - we need 218 to force a vote on the House Floor. There is still time to save the internet, but we need to act now! pic.twitter.com/SbMCjK5yP3",1073301285418479616,2018-12-13,19:39:02,usrepmikedoyle,1,22,19
"Tomorrow marks one year since the FCC repealed #NetNeutrality. Over the past year, millions of Americans have voiced their support for restoring #NetNeutrality rules - and it is time to act. Has your Representative signed the CRA discharge petition? pic.twitter.com/lKEWwMpJ4b",1073294757525446656,2018-12-13,19:13:05,usrepmikedoyle,2,50,56
"I recently met with @bendthearcpgh and agree we all must stand against hate. I join them in rejecting white nationalism & recognizing it as threat to individuals, communities & American democracy. America is a diverse, pluralistic nation -  that’s something we need to defend.",1072865380811579392,2018-12-12,14:46:54,usrepmikedoyle,4,6,23
"More disturbing acts in Pittsburgh, this time by the KKK. I am appalled that such hate continues to fester and has reared its ugly head in our community. We all have to do more to prevent it. https://www.wtae.com/article/hate-speech-flyers-scattered-throughout-pittsburgh-neighborhoods/25446578 …",1072864847132540928,2018-12-12,14:44:47,usrepmikedoyle,2,9,20
"23% of PA’s uninsured could get a bronze plan in the ACA marketplace with $0 premiums after tax credits – that’s 75,000 Pennsylvanians who haven’t signed up! #GetCovered on or before Saturday! https://www.kff.org/health-reform/issue-brief/how-many-of-the-uninsured-can-purchase-a-marketplace-plan-for-free/ …",1072590000771006466,2018-12-11,20:32:38,usrepmikedoyle,3,11,10
"As the city of Three Rivers, Pittsburgh has seen firsthand what unregulated pollution does to our rivers, streams, and wetlands. We have come too far to turn back the clock on these commonsense clean water protections. #ProtectCleanWater",1072577966272667648,2018-12-11,19:44:49,usrepmikedoyle,2,10,35
"For 45 years, the Clean Water Act has protected our water sources from pollution. @POTUS just released a #DirtyWaterRule to undermine these safeguards and favor polluters over clean water for our communities. #ProtectCleanWater",1072577450641711106,2018-12-11,19:42:46,usrepmikedoyle,3,21,35
"Now more than ever, we know that the consequences of climate change are severe and inevitable. Looking forward to @ParisPittsburgh and its discussion of how communities like #PGH are stepping up to combat climate change. https://twitter.com/ParisPittsburgh/status/1039901946725904385 …",1072553657139372034,2018-12-11,18:08:13,usrepmikedoyle,1,4,9
