tweet,id,date,time,username,replies_count,retweets_count,likes_count
"I was also told that SW Florida -- Sarasota, Manatee and Hillsborough counties -- needs to be prepared for heavy rain, flooding and wind as the storm’s pathway remains unpredictable.",1167478335175348227,2019-08-30,16:45:00,vernbuchanan,5,1,1
SW Florida is not out of the woods yet -- that’s the message I just received from the @FEMA director regarding Hurricane Dorian as Florida’s emergency disaster request was approved by President Trump for all 67 Florida counties. pic.twitter.com/TD9AZgj6Da,1167478235409653761,2019-08-30,16:44:36,vernbuchanan,6,1,4
"@MarcoRubio, @SenRickScott @RepHastingsFL and I led the entire #Florida congressional delegation in urging President Trump to approve @GovRonDeSantis' request for a pre-landfall emergency declaration ahead of #HurricaneDorian. #Sayfie pic.twitter.com/A4QxWt9CSV",1167442248163897345,2019-08-30,14:21:36,vernbuchanan,0,2,5
🚨 HURRICANE ALERT: The National Weather Service is predicting a Category 3 hurricane is going to hit Florida as early as Sunday. Please ensure you and your loved ones are prepared. Refer to the hurricane preparedness section on my website. 🚨 https://bit.ly/2Lh6U1k ,1166795917791567872,2019-08-28,19:33:19,vernbuchanan,2,2,1
Thank you to Melissa Larkin-Skinner and the wonderful folks at @Centerstone in Bradenton for the opportunity to meet and learn more about the fantastic work you are doing to treat mental health and drug addiction in our community. pic.twitter.com/xajCNQSYDl,1164201731124813824,2019-08-21,15:44:57,vernbuchanan,4,2,11
"Today, I urged Senate Majority Leader Mitch McConnell to swiftly pass legislation I voted for in the House to expand gun background checks when the Senate reconvenes next month. More than 90 percent of gun owners - and the rest of America - support this approach. pic.twitter.com/qVE554BSYD",1160953154931965952,2019-08-12,16:36:16,vernbuchanan,24,6,28
"Great news for @MoteMarineLab and our community! Dr. Michael Crosby and his entire team work tirelessly to combat red tide, improve water quality, and protect our coral reefs. I remain committed to continuing my fight in Congress for Southwest Florida’s environment. #Sayfie https://twitter.com/FL_Daily/status/1159453029067821056 …",1159898158056583168,2019-08-09,18:44:05,vernbuchanan,2,11,14
"Congrats to Pine View School in Sarasota for being named the top elementary school in the nation. Children are 25% of the population, but 100% of our future. https://www.heraldtribune.com/news/20190807/pine-view-schools-elementary-ranked-no-1-in-national-poll …",1159458791160721411,2019-08-08,13:38:12,vernbuchanan,3,11,15
"Something very disturbing is going on in society with so many young men showing no regard for their own lives or the lives of others. We should all be working to find meaningful ways to address senseless violence rooted in hatred, prejudice and intolerance.",1158707698025803778,2019-08-06,11:53:37,vernbuchanan,13,3,11
"These shootings were a vile act of hatred by deeply deranged individuals. Our hearts go out to the victims and their families in Texas and Ohio. A special thanks to law enforcement, whose quick and brave response saved many lives.",1158491265136234497,2019-08-05,21:33:35,vernbuchanan,14,2,18
Thanking the summer interns in my Sarasota and Bradenton offices. They have done a fantastic job helping my team serve the people of Southwest Florida. pic.twitter.com/UUlFzvErtr,1157265950720372739,2019-08-02,12:24:38,vernbuchanan,5,3,13
