tweet,id,date,time,username,replies_count,retweets_count,likes_count
Our border agents are facing an overwhelming surge of migrants at the southern border. Perhaps Speaker Pelosi and Chair Nadler could get to work w the Judiciary Cmt. addressing and solving these problems? We need to change the laws perpetuating this crisis. #SecureOurBorders,1134448305264627712,2019-05-31,13:15:27,warrendavidson,71,102,585
Leading a Bleach Bit seminar?,1134266050265190401,2019-05-31,01:11:14,warrendavidson,10,17,92
#GoodNews #OH08 https://twitter.com/WCPO/status/1134241543445983232 …,1134263533338800128,2019-05-31,01:01:14,warrendavidson,3,1,15
#GoodNews https://twitter.com/daytonregion/status/1134088298027204608 …,1134263348667867136,2019-05-31,01:00:30,warrendavidson,4,36,200
Mmm donuts... Troy Strawberry Festival strawberry donuts 😍,1134262138137194496,2019-05-31,00:55:41,warrendavidson,0,0,3
"Having read the Mueller report, it is shocking how little attention has been focused on Volume I. It provides clarity on what Russia did - with no collusion. Volume II, however, is essentially a political document, IMO. This succinct article explains why-> https://www.nationalreview.com/corner/not-exonerated-is-not-a-standard-any-free-country-should-accept/amp/?__twitter_impression=true …",1134114426712444928,2019-05-30,15:08:44,warrendavidson,15,2,12
Crop insurance has a June 5th deadline that needs extended for farmers affected by flooding and heavy rain. We are working to amend the +$19-billion disaster relief bill to enact the extension. #OH08 https://www.wsj.com/articles/corn-prices-climb-on-worries-over-size-quality-of-harvest-11559208600 …,1134078327340163072,2019-05-30,12:45:18,warrendavidson,8,2,18
The Mueller Report... pic.twitter.com/9wXX256OpM,1134073431572590593,2019-05-30,12:25:50,warrendavidson,35,21,79
The newly formed House FinTech Task Force meets for the first time next week. We're working to get a hearing scheduled on The Token Taxonomy Act. 🤞,1133728191049342976,2019-05-29,13:33:59,warrendavidson,22,49,151
“This is going to make innovation in the space in the U.S. impossible. Virtually every crypto project that has some form of token out there has a material possibility of being considered a security. Our view is that this will have a chilling effect.” #fact https://www.forbes.com/sites/laurashin/2019/05/29/crypto-companies-and-investors-fed-up-with-the-sec/amp/?__twitter_impression=true …,1133724293177729024,2019-05-29,13:18:29,warrendavidson,23,59,149
I pic.twitter.com/IYXANIpBYZ,1133424193956175872,2019-05-28,17:26:00,warrendavidson,1,1,17
"Lisa & I were hunkered down in the basement last night. Today, we're praying for all affected by last night's tornadoes, and giving thanks for our amazing first responders. Stay safe.",1133360210473574401,2019-05-28,13:11:45,warrendavidson,30,52,481
The reverence of this great American sacred space at Arlington is a reminder that those who gave their lives to make & keep our nation free knew they lived with purpose. Serving as a member of The Old Guard & caretaker (for that brief tour) of that legacy was an amazing honor. 🇺🇲 https://twitter.com/ArlingtonNatl/status/1132307465448689664 …,1132792657103773698,2019-05-26,23:36:30,warrendavidson,1,9,44
"You aren't going to bank ""those people"" are you? Sadly, many Americans have found themselves targeted by bias and bigotry over the years. Ideological bigotry is on the rise... https://nypost.com/2019/05/25/jpmorgan-chase-accused-of-purging-accounts-of-conservative-activists/amp/?utm_source=twitter_sitebuttons&utm_medium=site%20buttons&utm_campaign=site%20buttons&__twitter_impression=true …",1132780791245737985,2019-05-26,22:49:21,warrendavidson,16,41,63
"The fruit of socialism is scarcity ->  https://m.soundcloud.com/user-671880160/the-fruit-of-socialism-is-scarcity-warren-davidson-highlights-the-new-agenda-of-the-left …
Every week @CongressmanHice produces the Freedom Caucus Podcast. This week he spoke with me about socialism. My remarks begin ≈ 8:20. #socialism #freedom pic.twitter.com/u0fULOhPgq",1132270887284215808,2019-05-25,13:03:10,warrendavidson,22,19,28
#GoodNews Functioning markets require transparency. Numerous federal laws (as referenced) should be used to compel full disclosure of the actual net priced paid (inclusive of discounts and rebates). Adding antitrust enforcement will combine to lower costs. https://www.wsj.com/articles/trump-administration-preparing-executive-order-on-health-cost-disclosure-11558690320 …,1131957371130077184,2019-05-24,16:17:22,warrendavidson,3,4,18
"BTW, governing is essentially what @SpeakerPelosi has said she wants to do. Nevertheless, far-left activists and impeach-45 zealots have largely co-opted the @DNC agenda - so far. Gridlock or greatness? Let's govern and pursue greatness!",1131932885777362944,2019-05-24,14:40:04,warrendavidson,9,3,19
#fact https://twitter.com/leezeldin/status/1131674116354990080 …,1131739425929617408,2019-05-24,01:51:20,warrendavidson,15,3,26
"#GoodNews about a bad situation. If the Patriot Act, FISA, and the powers of our highest law enforcement officials can be abused to target the President - think what could happen to any American... This action is absolutely essential to restore justice to the Justice Department. https://twitter.com/realDonaldTrump/status/1131716322369392646 …",1131738101037129729,2019-05-24,01:46:04,warrendavidson,50,78,218
"For all of the talk on income inequality, democratic access to capital seems like a great opportunity to do the right thing and enable those who have been well-informed to participate while increasing penalties for those who commit fraud. #opportunity",1131728673520930817,2019-05-24,01:08:36,warrendavidson,11,2,21
A software engineer asked why @GOP blocked people like him (who wrote code for a start-up) from investing in startups. Accredited investor laws protect deal flow for “high-net-worth individuals”- in the name of consumer protection. #wrong @DNC blocks democratic access to capital. https://twitter.com/APompliano/status/1131659288357814277 …,1131727854172090370,2019-05-24,01:05:21,warrendavidson,6,2,18
#ICYMI https://twitter.com/RepMarkMeadows/status/1131550127519338499 …,1131689544141725697,2019-05-23,22:33:07,warrendavidson,11,1,14
"Excellent mtg w/ @realDonaldTrump today as he fights to #SecureTheBorder. In the midst of a national emergency, the Senate & @SpeakerPelosi are stuck on status quo. Nevertheless, @POTUS completes 500-miles  12/2020. Many news miles, while weak roadblocks replaced as pictured-> pic.twitter.com/GTYaHWa93h",1131689199709638656,2019-05-23,22:31:45,warrendavidson,17,67,136
"The ongoing assault on civil liberties should make clear the nature of the ""insurance police"" that partisans continue to advance. My hope is that even people at odds over Mueller’s report can unite to deal with flagrant civil rights abuses directed @POTUS. https://humanevents.com/2019/05/22/obama-judges-kill-americans-privacy-to-help-democratic-house-harass-trump/ …",1131374841578369024,2019-05-23,01:42:36,warrendavidson,17,10,25
Thank you Brian!,1131370681319469056,2019-05-23,01:26:04,warrendavidson,0,1,2
#ICYMI #prolife https://twitter.com/drawandstrike/status/1130932327616528387 …,1131307318845554689,2019-05-22,21:14:18,warrendavidson,9,2,10
It's actually worse than nothing as they refuse to stop payments that keep caravans moving through Mexico to our shared border. #SecureTheBorder https://twitter.com/realDonaldTrump/status/1130870086531727360 …,1131159917732278272,2019-05-22,11:28:34,warrendavidson,12,9,30
