tweet,id,date,time,username,replies_count,retweets_count,likes_count
".@allysonfelix is a six-time Olympic gold medalist and a mom to baby Camryn. She knows first-hand how serious the #maternalmortality crisis is. Dems stand with you, Allyson, and we'll never stop fighting for families like yours. pic.twitter.com/H0Lw0XDQE2",1167817317855592448,2019-08-31,15:12:00,waysmeanscmte,1,7,17
ICYMI: Chairmen @RepRichardNeal & @FrankPallone are demanding answers on the Trump Administration’s efforts to disrupt enrollment in the #ACA. http://bit.ly/2MzPqBi ,1167488652244652033,2019-08-30,17:26:00,waysmeanscmte,2,19,22
#RT if you agree. pic.twitter.com/zN9jGln04l,1167454678386393090,2019-08-30,15:11:00,waysmeanscmte,2,20,12
"According to the latest data, the #GOPTaxLaw isn’t having the long-term, positive effects Republicans promised it would. Check it out: https://on.wsj.com/2IXpXwy ",1167095813815885824,2019-08-29,15:25:00,waysmeanscmte,2,9,7
The #GOPTaxLaw is set to add $1.4 TRILLION to our deficit over the next 10 years. pic.twitter.com/Bf1XPqQYsj,1167092039080525825,2019-08-29,15:10:00,waysmeanscmte,3,17,10
The drugs you need to stay alive shouldn’t cost an arm and a leg. Ways & Means Democrats are working toward solutions to bring down rising prescription costs. You with us? #RT. pic.twitter.com/8klMY08JBp,1166759598256054272,2019-08-28,17:09:00,waysmeanscmte,10,18,19
What's one big reason why the deficit will surpass one TRILLION this year? The #GOPTaxLaw. https://thehill.com/policy/finance/453177-wh-projects-1-trillion-deficit-for-2019 …,1166379342655410177,2019-08-27,15:58:00,waysmeanscmte,7,21,31
"REMINDER: the #ACA covers essential health benefits like cancer screenings and some hospitalization fees. If the #GOP succeeds in dismantling this landmark law, here’s a look at what Americans will lose: pic.twitter.com/Z47MHEEItB",1166360468656656386,2019-08-27,14:43:00,waysmeanscmte,1,25,21
“Republicans touted a postcard-sized individual tax form as they tried to sell the 2017 tax overhaul to the public—that vision was short-lived.” http://bit.ly/2YtEQg1 ,1166031551009710081,2019-08-26,16:56:00,waysmeanscmte,2,7,12
"“It is hard to fully express the feeling of devastation and deep loss when one’s home – with every single thing in it – is gone.”
 
W&M Dems stand with families like Judy’s and will continue working to enact permanent tax policies for disaster victims. pic.twitter.com/zVfD0CELiQ",1166012676826423297,2019-08-26,15:41:00,waysmeanscmte,1,0,5
