tweet,id,date,time,username,replies_count,retweets_count,likes_count
Almost two-thirds of workers have ZERO retirement account assets. W&M Dems have been working on a fix to the retirement income crisis and we aren’t stopping. All retirees should have financial peace of mind. pic.twitter.com/Ldejf5NfGP,1134539290829041664,2019-05-31,19:17:00,waysmeanscmte,0,2,11
A quarter of the American public did not fill a prescription last year because they could not afford it. That’s unacceptable and it’s dangerous. Ways and Means Dems are working toward solutions in committee. pic.twitter.com/8KGgVUGLul,1134519912905371648,2019-05-31,18:00:00,waysmeanscmte,3,19,26
"Yep, that’s right.
 
According to nonpartisan exerts, the #GOPTaxLaw has done “virtually no economic good.” https://lat.ms/2JL9TAU ",1134503729363849221,2019-05-31,16:55:41,waysmeanscmte,6,29,42
"“Sorry, America’s middle class: #POTUS’ signature tax code overhaul has not generated any meaningful new economic growth that wasn’t already underway, the nonpartisan Congressional Research Service has found.” http://bit.ly/2QAvM6I ",1134482921438556161,2019-05-31,15:33:00,waysmeanscmte,4,33,36
#NEWS: Chairman @RepRichardNeal comments on renegotiated #NAFTA statement of administrative action. https://waysandmeans.house.gov/media-center/press-releases/neal-comments-new-nafta-statement-administrative-action …,1134212224736735232,2019-05-30,21:37:21,waysmeanscmte,1,5,4
"Over $50 TRILLION.
 
That’s how much #climatechange will cost the world economy by the end of this century. Democrats stand with the majority of the American people who believe climate change demands our urgent attention – we’re committed to fighting this crisis. pic.twitter.com/exkAXLxiWB",1134157526813908992,2019-05-30,18:00:00,waysmeanscmte,1,13,16
Black women are THREE TIMES as likely to die of complications related to pregnancy and childbirth than white women. It’s an alarming statistic – and it’s one that W&M Dems addressed earlier this month in committee. We won’t stop tackling this problem. https://n.pr/2KcdO9n ,1134143935394140160,2019-05-30,17:06:00,waysmeanscmte,13,55,92
"Your weekly reminder that the #GOPTaxLaw was designed for the well-off and well-connected, not working Americans. 👇 pic.twitter.com/rPAcxbEEJ0",1134135630957432838,2019-05-30,16:33:00,waysmeanscmte,0,7,13
Update: the #GOPTaxLaw wasn’t the “rocket fuel” #POTUS promised it would be for our economy. More here: https://wapo.st/2W0uGlV ,1134123750025322497,2019-05-30,15:45:47,waysmeanscmte,5,6,8
#NEWS: nonpartisan experts from the Congressional Research Service say the #GOPTaxLaw has created a “relatively small (if any)” first-year growth effect on the U.S. economy. Read more here: http://bit.ly/2EEVSRe ,1133782805987467264,2019-05-29,17:11:00,waysmeanscmte,10,93,129
