tweet,id,date,time,username,replies_count,retweets_count,likes_count
As our Jewish neighbors gather for #RoshHashanah I would like to wish all those who celebrate great joy and meaningful reflection as they welcome the New Year. Shanah Tovah!,1178768261162426369,2019-09-30,20:27:08,whipclyburn,5,55,158
More than 300 former national security officials—from both Dem & GOP administrations—support the House’s impeachment inquiry describing the President’s actions as “a profound national security concern.” We are moving forward based on the facts. https://www.washingtonpost.com/context/statement-from-national-security-professionals/07f4f1e1-f393-4e11-97e5-1361dcbc6fc3/ …,1177676263701565441,2019-09-27,20:07:56,whipclyburn,12,163,260
"Congratulations to @HDHoodDesign for being named a MacArthur Fellow and recipient of the “Genius Grant.” 

Your work on @iaamuseum is outstanding and I look forward to seeing what you create in the future. https://www.postandcourier.com/business/architect-for-charleston-s-african-american-museum-awarded-national-genius/article_9363cae0-dfdd-11e9-a242-cf08b1e58659.html …",1177628214237130752,2019-09-27,16:57:00,whipclyburn,5,20,39
"This president’s attempt to strip funds from our military in order to fund his ineffective, wasteful border wall makes America less safe, disrespects military families, & dishonors the Constitution.

We must terminate his executive order & return those funds to the military.",1177603197801766912,2019-09-27,15:17:35,whipclyburn,21,264,664
The House must complete its impeachment inquiry with all deliberate speed to resolve this abuse of presidential powers that has tremendous bearing on the future of our republic.,1177313062866554880,2019-09-26,20:04:42,whipclyburn,13,54,119
"The whistleblower complaint shows that instead of seeking solely to advance America’s national interest, President Trump has sought to advance his own political interest.

Rather than putting America’s national security first, President Trump has put himself first.",1177313062090608641,2019-09-26,20:04:42,whipclyburn,25,243,457
"This is about protecting our national security, standing up for the rule of law, and patriotism. 

I support the official impeachment inquiry announced by the Speaker today. https://www.majoritywhip.gov/?press=u-s-house-majority-whip-clyburn-supports-impeachment-inquiry …",1176616118905184258,2019-09-24,21:55:17,whipclyburn,40,253,743
"Recent revelations & allegations that the President used the power of his office to force a foreign government to attack a political rival, & may be directing subordinates to violate the law constitute an egregious violation of his constitutional duties.",1176616118204735490,2019-09-24,21:55:17,whipclyburn,18,146,316
"I want to extend my deepest gratitude to all who shared memories & offered prayers to me & my family during this difficult time.
 
It has been moving to see how many lives Ms. Emily touched & to celebrate the impact she had throughout SC & our country, which she loved so dearly.",1176587585772298246,2019-09-24,20:01:55,whipclyburn,93,269,2412
 https://www.majoritywhip.gov/?press=south-carolina-is-mourning-the-passing-of-emily-england-clyburn …,1174689847962980352,2019-09-19,14:20:59,whipclyburn,445,437,1430
"Trump & the EPA have been quietly taking steps to undermine our nation’s clean water.

Clean water is a fundamental human need & Americans rely on rivers & streams to supply clean drinking water to their families.

We must #ProtectOurWater. https://www.nytimes.com/2019/09/12/climate/trump-administration-rolls-back-clean-water-protections.html …",1174345446426402820,2019-09-18,15:32:27,whipclyburn,19,156,208
"Cokie Roberts was a legendary journalist and a pioneer in the media industry.

She paved the way for a number of women in news and served as a role model to so many. 

She will be greatly missed.",1174020907356086272,2019-09-17,18:02:51,whipclyburn,1,21,99
"The Trump Administration’s #PublicCharge rule is just another attempt to strengthen this president's anti-immigrant agenda. 

This nation’s immigrants & its diversity are what have always made America great. 

We must protect immigrant families against this hateful attack. pic.twitter.com/IoOTaAms9V",1174005620128845824,2019-09-17,17:02:06,whipclyburn,17,55,76
"On this day in 1787, delegates signed the U.S. Constitution. 

As we recognize this moment in history, we the People must continue forming a more perfect Union by securing the Blessings of Liberty for ALL Americans, not just privileged few. #ConstitutionDay",1173967109757558785,2019-09-17,14:29:04,whipclyburn,43,129,245
"Happy #HispanicHeritageMonth to all those celebrating in South Carolina & across the country!

Hispanic Americans contribute immeasurably to their communities and their pride, patriotism, & accomplishments make our nation more vibrant and prosperous. pic.twitter.com/rOMYwfdbCW",1173655789891969024,2019-09-16,17:52:00,whipclyburn,4,74,117
"Yesterday marked the beginning of #HispanicHeritageMonth. 

Despite the continued attacks against the Hispanic & Latinx community by this president & his administration, we recognize the value and contributions that these communities bring our nation and we celebrate them.",1173581504238280704,2019-09-16,12:56:49,whipclyburn,9,76,156
"#DACA has helped over 800,000 #Dreamers legally work, go to school, and build successful lives in our country. They are our neighbors, our colleagues, our family, and our friends. If you are a #DACA recipient, please renew your status today ⬇️ https://www.uscis.gov/humanitarian/deferred-action-childhood-arrivals-response-january-2018-preliminary-injunction …",1172592533106495488,2019-09-13,19:27:00,whipclyburn,7,99,126
"For 25 years, VAWA has helped protect women against domestic violence, sexual assault, dating violence, and stalking. 

Senate Republicans let VAWA expire jeopardizing the safety of women. 

Senator McConnell must allow a vote on HR1585! #VAWA25",1172583879233998848,2019-09-13,18:52:37,whipclyburn,20,352,531
Thank you to the @SCState1896 & @DenmarkTechSC Jazz Ensembles for joining us at the Whip breakfast this morning and blessing us your amazing voices! pic.twitter.com/Z2VDhO6jTM,1172181500562948099,2019-09-12,16:13:42,whipclyburn,0,6,22
"The Arctic National Wildlife Refuge is one of the crown jewels of our public lands and should be protected. 

We must preserve this sacred land and prevent oil drilling. #ProtectTheArctic pic.twitter.com/JeMN1YHKTo",1172176036903170048,2019-09-12,15:51:59,whipclyburn,6,112,154
"Today we celebrate the 25th anniversary of @AmeriCorps.

This incredible program affords Americans the opportunity to give back to their communities and change this nation for the better.",1172164532875255813,2019-09-12,15:06:17,whipclyburn,1,11,23
"This administration puts America’s coastal communities at risk of oil spills and environmental degradation by promoting new offshore drilling.

I’m proud to support @RepCunningham’s bill to permanently end offshore drilling by our coasts. #ProtectOurCoast",1171900979379343360,2019-09-11,21:39:01,whipclyburn,6,63,129
"In South Carolina tourism is a $22.6 billion industry and supports 1 in every 10 jobs in the state. 

Like every coastal state, we need to #ProtectOurCoast and our local economy.",1171887120476192768,2019-09-11,20:43:56,whipclyburn,6,68,238
